1 1:220.84656 2:5.6054845 3:13.186345 4:0.41462365 5:5.5973353 6:-0.2419539 7:4.6829805 8:-1.4396905 9:2.1888542 10:-2.849882 11:4.5833035 12:-1.9720422 13:5.1106954 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.92845 2:6.1541677 3:12.054461 4:0.2055081 5:6.229525 6:-1.2470217 7:4.4185524 8:-2.8910625 9:3.272618 10:-0.8477354 11:2.9997373 12:-1.176361 13:5.5293646 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:220.27486 2:4.84444 3:12.08639 4:0.11694848 5:5.4801664 6:1.665458 7:5.944682 8:-4.509134 9:2.070034 10:-1.2411072 11:5.005379 12:-1.0228943 13:4.481339 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.91882 2:2.8774514 3:10.240088 4:-3.3865125 5:-0.17101006 6:-1.479222 7:3.9612482 8:-1.6934822 9:3.1776133 10:-1.2828292 11:7.0020347 12:-1.3661519 13:4.4262934 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:215.99077 2:3.6305587 3:11.762287 4:-0.748184 5:4.546161 6:3.651788 7:6.1801553 8:-0.49943063 9:4.245149 10:-2.6957345 11:4.5542574 12:-3.1510727 13:4.7996993 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:216.49492 2:4.8015666 3:11.484458 4:-2.7710962 5:4.035818 6:2.8375168 7:5.304301 8:-0.17980856 9:4.015828 10:-2.4019592 11:4.985606 12:-3.8855417 13:4.101094 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:218.28586 2:3.55742 3:12.75396 4:0.5055156 5:3.7035913 6:0.78663874 7:2.596828 8:-3.2647634 9:2.2930207 10:-2.5253987 11:5.5803113 12:-1.1998563 13:6.9629817 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:219.53128 2:4.2062664 3:13.203928 4:-3.589076 5:2.8040936 6:0.87671083 7:1.8002814 8:-2.5500293 9:0.6708265 10:-4.000838 11:1.8819978 12:-2.71488 13:5.0043397 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:222.25519 2:5.777736 3:11.745506 4:-1.5158582 5:4.630673 6:0.18665235 7:3.5252078 8:-0.612293 9:3.9335709 10:-1.5499632 11:4.657203 12:-2.509439 13:5.0859814 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:223.17119 2:5.044732 3:11.256954 4:0.53522104 5:5.61893 6:-0.3789333 7:4.64908 8:-0.9039284 9:3.3394582 10:-0.98965865 11:4.330701 12:-2.7442744 13:5.221824 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
