1 1:220.05876 2:4.6294484 3:10.9558935 4:-1.7197202 5:4.960906 6:-0.624178 7:1.9297003 8:-1.117554 9:4.076585 10:-1.7870649 11:3.0483477 12:-1.7464653 13:4.039696 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:219.08162 2:4.391751 3:12.301444 4:0.3398066 5:6.655749 6:1.0767652 7:2.9311805 8:1.165371 9:3.9746528 10:-4.0600586 11:4.1986136 12:-1.4312232 13:4.673635 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:223.84651 2:6.133514 3:12.972273 4:0.23215179 5:7.6035705 6:0.38458085 7:5.4469743 8:0.03670072 9:5.541605 10:-2.6477914 11:3.6439626 12:-2.950275 13:5.466389 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:225.42084 2:6.500993 3:12.443517 4:-1.131256 5:5.707035 6:1.3543112 7:4.932124 8:-1.4937122 9:4.4728055 10:-3.528192 11:4.045945 12:-2.4612086 13:3.3200395 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:218.12291 2:4.4145827 3:11.621418 4:1.2467076 5:8.015563 6:-1.3637015 7:2.6001558 8:-0.1667309 9:4.5190034 10:-2.7027493 11:3.275226 12:-2.8887174 13:1.6052707 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:217.34866 2:2.2728996 3:12.117169 4:-0.2994218 5:6.7502456 6:1.7173284 7:2.9779487 8:-1.9022508 9:2.672443 10:-2.6802258 11:3.0618691 12:-2.4965024 13:2.0152392 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:219.88945 2:1.5090268 3:9.778168 4:-1.1745564 5:4.854962 6:1.7621768 7:1.1931763 8:-3.7572765 9:2.2806337 10:-2.340141 11:4.3397074 12:-2.5300977 13:5.3448687 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:220.16261 2:4.103763 3:10.917701 4:-1.6180571 5:3.9193683 6:1.686404 7:2.58413 8:-4.6383867 9:-0.14750229 10:-3.0258462 11:4.4821124 12:-4.3238997 13:3.311036 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:220.74696 2:2.4735463 3:10.102676 4:1.6424993 5:8.19742 6:2.286218 7:3.525438 8:-2.226974 9:5.7177353 10:-0.37769827 11:6.984725 12:-2.7141707 13:2.5636609 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:223.3836 2:1.4172041 3:10.356464 4:2.0389142 5:7.886062 6:3.1248534 7:4.1222844 8:-1.1631271 9:6.1542354 10:-1.6175617 11:4.2258477 12:-1.7794693 13:4.856639 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:221.03831 2:4.344983 3:11.576784 4:-0.6484472 5:9.015057 6:0.82429814 7:2.88862 8:-2.4588106 9:3.3507824 10:-1.2159631 11:5.2680783 12:-0.7082504 13:2.5015635 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:222.8821 2:3.0353124 3:9.826135 4:-0.9883047 5:4.7228646 6:-0.25839108 7:1.5385222 8:-1.8578289 9:3.7217135 10:-0.8355509 11:5.044434 12:-1.1785483 13:4.174152 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:228.43024 2:5.405395 3:7.669747 4:-0.622769 5:6.0361357 6:1.4683871 7:2.283081 8:-1.4536091 9:3.9213924 10:-4.560944 11:2.9669287 12:-2.0766125 13:5.7684236 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:229.99193 2:5.735141 3:8.4231415 4:-2.0529475 5:5.200444 6:-0.04100796 7:2.123639 8:-2.6061084 9:2.5596378 10:-4.4427586 11:3.3110027 12:-1.2527033 13:5.872405 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:225.33362 2:4.714303 3:10.6364 4:0.9179351 5:6.1029553 6:-0.47049236 7:1.5023594 8:-1.2259376 9:1.4490877 10:-3.2911994 11:5.0711994 12:-3.384941 13:4.0469832 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:227.08002 2:4.9452624 3:11.707618 4:0.15475819 5:5.9884715 6:0.40842906 7:3.415302 8:-2.2706213 9:2.2426386 10:-4.0361357 11:4.0101056 12:-2.2637453 13:3.7850761 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:247.8156 2:-12.355366 3:9.479381 4:5.5695834 5:5.244716 6:-2.7297285 7:7.1452603 8:-0.83258015 9:-0.40677896 10:0.74430573 11:2.4257567 12:0.47758174 13:0.8817539 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:261.65646 2:-18.32153 3:6.7516375 4:7.4227166 5:5.7772026 6:-4.430185 7:5.707235 8:-1.5424875 9:-0.96511984 10:0.8221232 11:1.5816971 12:0.404189 13:-0.62022704 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:245.35838 2:-5.7257214 3:8.101041 4:3.341002 5:4.849371 6:-4.382885 7:7.1953225 8:-0.12282454 9:0.8935017 10:1.9003172 11:1.5186858 12:-0.17703319 13:2.4056814 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:251.29129 2:-9.805139 3:8.206484 4:1.0442225 5:4.479788 6:-5.650628 7:6.3617616 8:-1.2460306 9:-1.6822362 10:3.1477609 11:1.2971617 12:1.9623709 13:3.1023242 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:244.80554 2:-1.5156337 3:9.228146 4:1.9379466 5:6.7685976 6:-2.042359 7:6.46222 8:-2.8595924 9:-2.2249918 10:-0.21395351 11:4.378024 12:-3.0127494 13:2.083819 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
