1 1:225.77393 2:9.407742 3:8.893053 4:-4.046457 5:3.393989 6:-1.1990343 7:6.3170624 8:-1.7890444 9:3.8922021 10:-3.263231 11:2.4872403 12:-2.3304594 13:3.805152 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:293.0008 2:-8.811307 3:3.9216864 4:5.301699 5:7.0826936 6:-8.886387 7:4.5782366 8:-2.539756 9:-0.7724219 10:-0.9508889 11:4.3564796 12:0.44275123 13:0.5858105 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:306.2725 2:-9.530315 3:4.6447325 4:5.9989376 5:8.079573 6:-8.768938 7:3.723451 8:-1.7904056 9:-0.70736825 10:-1.2872074 11:4.0899687 12:0.9024627 13:0.95076174 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:303.50427 2:-12.1383505 3:8.815666 4:6.4181967 5:3.0808747 6:-7.0598946 7:5.1133094 8:-0.23742111 9:-2.6127586 10:-1.2375565 11:3.0084307 12:-0.0074770167 13:-0.12066688 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:323.28052 2:-8.549291 3:4.8889866 4:5.7604017 5:3.1296995 6:-5.3720093 7:5.6083055 8:-1.2035974 9:-0.6297746 10:-1.2693782 11:4.3767734 12:-0.9086339 13:1.3939552 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:317.14734 2:-8.778775 3:2.855061 4:5.4365525 5:4.6694593 6:-7.4709153 7:6.336217 8:1.2412454 9:0.8310906 10:-0.6574723 11:4.2775183 12:-0.498602 13:1.6047586 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:294.6114 2:-10.622331 3:6.9915094 4:7.056919 5:3.174702 6:-6.14616 7:6.424605 8:0.8187939 9:-1.0189152 10:-1.3720696 11:3.77558 12:-1.9551109 13:1.474744 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:278.21802 2:-14.863548 3:7.490246 4:5.656273 5:3.667656 6:-4.630076 7:9.434304 8:0.38083732 9:-2.0215883 10:1.2903798 11:5.717502 12:1.9533113 13:1.9984415 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:276.41992 2:-13.872222 3:7.522957 4:7.560087 5:4.877567 6:-3.1565351 7:9.301438 8:-0.15149982 9:-0.16113544 10:1.2861139 11:5.494841 12:0.90219295 13:1.6265709 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:294.1632 2:-4.9818726 3:9.864406 4:14.293615 5:12.064391 6:-6.8708935 7:8.372342 8:-1.2236544 9:0.368309 10:1.2188998 11:4.811125 12:-3.0551047 13:2.7467165 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:303.84326 2:-2.257728 3:5.451857 4:17.962078 5:15.490232 6:-7.879685 7:7.4807963 8:-3.7425232 9:-0.28455815 10:1.4208674 11:5.602181 12:-4.2497215 13:5.086157 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:313.77615 2:0.90282196 3:1.5112112 4:18.180565 5:13.985377 6:-11.297394 7:9.576495 8:-4.2562585 9:3.9172895 10:0.12383167 11:4.9088817 12:-5.186043 13:3.6168969 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:317.7439 2:2.0479867 3:1.043448 4:18.701832 5:15.033102 6:-11.475485 7:11.076526 8:-5.8372617 9:4.198597 10:-0.5566639 11:5.113663 12:-4.142701 13:3.4494445 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:316.8115 2:2.8679733 3:2.5834856 4:19.605122 5:15.539254 6:-10.879299 7:9.28607 8:-6.4136 9:4.074574 10:-0.49615115 11:5.582868 12:-4.0251737 13:2.7281897 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:317.02368 2:1.8185891 3:4.492679 4:19.767872 5:15.597978 6:-11.390634 7:7.84554 8:-4.8942027 9:4.098191 10:0.22546074 11:5.0978928 12:-4.637765 13:2.5240982 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:319.6997 2:3.0907347 3:3.863813 4:18.583101 5:17.8639 6:-12.528088 7:10.597803 8:-5.7539415 9:2.088196 10:-1.9060676 11:3.116555 12:-2.8257072 13:1.8390858 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:320.75455 2:4.7868967 3:4.038169 4:19.050106 5:17.598728 6:-14.212819 7:8.749942 8:-7.244906 9:3.1015277 10:-2.2641346 11:3.107088 12:-3.4360502 13:1.5642397 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:321.9143 2:9.130677 3:4.8373933 4:13.5365305 5:16.868616 6:-15.309966 7:7.6080174 8:-5.4294295 9:1.7724067 10:-1.705693 11:0.9436846 12:-3.0213864 13:2.4068947 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:318.47324 2:12.312904 3:3.1664224 4:12.424529 5:16.042854 6:-14.7570715 7:6.35772 8:-5.32158 9:1.6018108 10:-1.1560359 11:1.9472299 12:-5.508445 13:3.9422104 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:304.24234 2:15.889496 3:5.6396694 4:9.682423 5:14.149197 6:-10.712396 7:8.110988 8:-4.605854 9:4.4669757 10:-2.1365921 11:3.9280362 12:-4.8154817 13:4.252294 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:298.0052 2:16.315905 3:7.7798567 4:8.234036 5:13.650493 6:-7.176577 7:8.669728 8:-3.7721252 9:4.937829 10:-2.8035557 11:4.5104795 12:-3.4349782 13:5.828489 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:305.71378 2:18.74709 3:6.4539566 4:4.7172813 5:13.240845 6:-5.5346475 7:9.052108 8:-4.513926 9:2.85694 10:-4.221684 11:6.850789 12:-3.9978566 13:5.3270726 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:309.38626 2:18.171587 3:6.9784827 4:3.7730963 5:12.516647 6:-5.3536553 7:9.850167 8:-4.836969 9:1.6234574 10:-3.4837315 11:6.1083226 12:-3.3858325 13:4.6093974 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
