1 1:240.82372 2:10.090354 3:9.8169985 4:-1.2974697 5:5.0744505 6:-2.0520642 7:2.4310699 8:-3.873991 9:2.4807024 10:-2.8206024 11:3.594809 12:-3.936569 13:2.742819 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:235.62506 2:8.189291 3:9.250677 4:-0.18531562 5:6.1894917 6:-0.7779214 7:1.9667472 8:-2.491191 9:2.947514 10:-3.2351031 11:4.563522 12:-3.959008 13:4.498799 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:236.63632 2:10.327993 3:12.805582 4:0.5627993 5:5.4158854 6:-1.3136156 7:1.1031619 8:-2.4970093 9:4.882006 10:-3.3777199 11:4.698647 12:-3.2967787 13:3.6245675 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:239.43037 2:12.944083 3:14.234897 4:0.16558711 5:7.7197795 6:-0.3526382 7:4.9920044 8:-2.9720964 9:5.1873956 10:-3.035421 11:5.697784 12:-3.1978836 13:4.355742 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:236.53204 2:9.977641 3:10.697145 4:-0.87394917 5:6.678893 6:-0.13598616 7:3.764146 8:-3.1462665 9:4.3746448 10:-3.9125652 11:5.4895124 12:-3.3560047 13:4.814265 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:237.35124 2:9.103786 3:9.528881 4:-0.46678978 5:8.98543 6:1.2947679 7:0.91029865 8:-4.6762376 9:3.5289693 10:-2.7265244 11:6.6852975 12:-3.5942802 13:5.494705 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.85275 2:7.7695436 3:10.224335 4:0.12118231 5:9.222765 6:0.8369868 7:0.782564 8:-3.7228844 9:2.552342 10:-4.3668013 11:5.810088 12:-3.1788416 13:3.47695 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:232.96718 2:8.035998 3:9.253036 4:0.37885085 5:7.6786795 6:-0.042665105 7:1.9036087 8:-2.8087938 9:1.8335761 10:-3.2882092 11:6.5317445 12:-2.8136895 13:3.0352554 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:236.08125 2:9.086718 3:8.098505 4:-0.3052429 5:7.881023 6:1.0790942 7:2.6968675 8:-2.209816 9:3.2961967 10:-3.2774315 11:4.8028746 12:-4.2435355 13:3.6869254 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:238.15506 2:11.008364 3:10.048645 4:0.4045578 5:6.009635 6:0.3538194 7:4.269623 8:-4.042167 9:4.174653 10:-3.073323 11:5.8992147 12:-4.7220497 13:3.2910478 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:230.92693 2:6.4096627 3:8.962873 4:0.6422117 5:6.091745 6:-0.07925146 7:3.576568 8:-2.469082 9:3.573372 10:-2.4242496 11:5.0165286 12:-3.3828082 13:3.1724942 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:231.8114 2:6.1102433 3:8.505669 4:-1.5091858 5:6.000759 6:1.3222504 7:1.6915765 8:-3.0697618 9:2.3449175 10:-2.642748 11:4.3951893 12:-4.63341 13:3.038149 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:231.21793 2:6.819604 3:7.5383797 4:-0.15311548 5:5.8768616 6:0.06750997 7:1.1242706 8:-4.4112005 9:2.8805249 10:-2.7980301 11:5.5654755 12:-4.259986 13:4.75045 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:235.93268 2:8.630463 3:8.617958 4:-0.39768565 5:6.046574 6:-0.448691 7:3.7463272 8:-2.5323017 9:5.8369923 10:-4.038299 11:2.1019754 12:-2.8670309 13:3.5318952 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:232.42288 2:9.492509 3:10.285588 4:0.98978454 5:7.912426 6:-1.4928671 7:0.20521055 8:-2.8644824 9:4.9006343 10:-2.594687 11:3.8554125 12:-3.6287324 13:3.4039433 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
