2 1:228.25212 2:5.4446263 3:5.6701283 4:-2.9784656 5:3.1427214 6:-2.502969 7:3.442016 8:-2.9507186 9:1.9646506 10:0.46761245 11:6.8661427 12:-2.7281597 13:1.6131345 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.3492 2:5.097261 3:5.8953347 4:-1.0840243 5:3.3741174 6:-2.4065955 7:5.703299 8:-2.0567794 9:2.4226665 10:0.56141263 11:5.8779006 12:-2.0543585 13:2.1496603 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:238.35605 2:5.8905315 3:4.404577 4:-2.683674 5:3.8819518 6:0.44498932 7:2.9065027 8:-2.1237762 9:2.8869061 10:-3.2667048 11:4.320098 12:-2.4486027 13:3.1231668 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:236.38554 2:7.1893883 3:3.4282901 4:-3.0753257 5:3.4631476 6:-0.4013675 7:5.2649355 8:-0.55798495 9:3.5062807 10:-3.976969 11:4.160694 12:-3.6746447 13:2.8232017 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:231.49673 2:4.9709334 3:3.1300101 4:-5.209504 5:4.6873875 6:-1.1950676 7:4.800858 8:-2.218207 9:2.663426 10:-2.578081 11:4.888137 12:-1.1384047 13:4.7326035 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.76228 2:4.1303096 3:6.188932 4:-3.0077178 5:3.0367246 6:-1.2533306 7:3.614134 8:-3.106 9:0.12344705 10:-3.044536 11:4.343924 12:-1.5100918 13:4.8873262 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:231.07854 2:6.058686 3:6.032454 4:-2.7157865 5:1.5977026 6:-1.6337892 7:3.957765 8:-3.5122807 9:2.8819537 10:-2.0466685 11:4.4150124 12:-3.0026095 13:3.473174 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:228.43805 2:5.130622 3:5.93501 4:-3.3188453 5:2.0290735 6:-2.8797884 7:4.6316214 8:-1.5360347 9:2.969724 10:-1.3341285 11:6.0994353 12:-0.7731739 13:3.6540987 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:229.52652 2:4.6087446 3:5.7058673 4:-2.308261 5:1.8557181 6:-4.1137056 7:2.7086775 8:-4.6237803 9:2.8322136 10:-1.3896202 11:4.347176 12:-0.37451947 13:4.1967196 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:231.94128 2:4.109762 3:6.191946 4:-2.2816453 5:1.5824728 6:-3.8371391 7:1.8868688 8:-3.997338 9:0.23923486 10:-3.7779272 11:3.5750077 12:-0.9298277 13:4.700043 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
