1 1:102.19094 2:-0.33968318 3:5.115364 4:-2.1528482 5:4.8245516 6:-0.25907975 7:3.5646982 8:-0.38013712 9:2.793297 10:0.60116684 11:4.6905155 12:-3.0512967 13:3.1859713 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:102.19094 2:-0.33968318 3:5.115364 4:-2.1528482 5:4.8245516 6:-0.25907975 7:3.5646982 8:-0.38013712 9:2.793297 10:0.60116684 11:4.6905155 12:-3.0512967 13:3.1859713 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:101.4759 2:-2.186081 3:3.8114522 4:-2.6885097 5:7.0929418 6:-0.8476233 7:1.5665377 8:-3.6716707 9:1.4082263 10:-2.2562687 11:2.5976696 12:-2.7938285 13:0.8885367 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:101.4759 2:-2.186081 3:3.8114522 4:-2.6885097 5:7.0929418 6:-0.8476233 7:1.5665377 8:-3.6716707 9:1.4082263 10:-2.2562687 11:2.5976696 12:-2.7938285 13:0.8885367 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:99.21842 2:-0.4547272 3:5.9332767 4:-1.4788874 5:5.839259 6:-1.0932384 7:0.6235948 8:-2.7727826 9:1.3347124 10:-3.362095 11:2.870402 12:-3.2307456 13:4.054067 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:99.21842 2:-0.4547272 3:5.9332767 4:-1.4788874 5:5.839259 6:-1.0932384 7:0.6235948 8:-2.7727826 9:1.3347124 10:-3.362095 11:2.870402 12:-3.2307456 13:4.054067 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:104.0359 2:-1.5989385 3:7.249297 4:2.5118577 5:5.6880417 6:-0.59868723 7:3.1202009 8:-3.55268 9:1.2503829 10:-0.036814064 11:4.271685 12:-0.6177952 13:5.3305225 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:104.0359 2:-1.5989385 3:7.249297 4:2.5118577 5:5.6880417 6:-0.59868723 7:3.1202009 8:-3.55268 9:1.2503829 10:-0.036814064 11:4.271685 12:-0.6177952 13:5.3305225 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:99.62659 2:-5.5841403 3:0.5685662 4:-1.0778499 5:4.466088 6:-2.3918808 7:5.4268627 8:-4.574588 9:1.2463834 10:0.07310527 11:3.0703347 12:-0.33286098 13:4.359997 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
1 1:99.62659 2:-5.5841403 3:0.5685662 4:-1.0778499 5:4.466088 6:-2.3918808 7:5.4268627 8:-4.574588 9:1.2463834 10:0.07310527 11:3.0703347 12:-0.33286098 13:4.359997 14:72.736046 15:5.455054 16:4.696525 17:0.60972255 18:3.5835295 19:-0.48330322 20:0.9710982 21:-2.710148 22:1.6153922 23:-0.99235266 24:0.8197588 25:-1.8126054 26:1.5627307 
