2 1:277.83838 2:6.0350685 3:14.572236 4:-2.5896103 5:5.0989103 6:-0.01810905 7:4.632471 8:-2.1434674 9:5.0935197 10:1.6492708 11:4.886156 12:-1.887108 13:4.0210767 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:281.8959 2:8.272581 3:13.743292 4:-4.6760364 5:4.2659388 6:0.9117517 7:5.138292 8:-2.746272 9:4.780706 10:-0.1276886 11:6.0273323 12:-1.7513957 13:3.8640347 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:285.49838 2:9.83755 3:13.137233 4:-5.3733125 5:4.0587645 6:-0.3077662 7:4.6404285 8:-3.444145 9:3.7449374 10:-0.96116513 11:6.826075 12:-0.43574616 13:4.079913 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:287.16086 2:10.343856 3:12.664919 4:-6.685412 5:3.405296 6:-0.63087326 7:4.173242 8:-4.2646794 9:2.9400537 10:0.029976305 11:6.8208303 12:-0.86336756 13:3.9881825 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:294.9567 2:12.186011 3:13.627159 4:-6.990022 5:4.340887 6:0.93668145 7:3.1365767 8:-4.784936 9:3.0990098 10:-1.4128435 11:5.1597037 12:-2.4097536 13:3.722706 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:299.3203 2:17.613056 3:17.877413 4:-7.2723317 5:3.2324297 6:-0.44833478 7:2.4488986 8:-8.272396 9:2.6370707 10:-1.5956851 11:5.7802496 12:-3.55181 13:2.7023196 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:307.42462 2:21.111368 3:16.268057 4:-8.1742525 5:3.5443242 6:-2.3662212 7:2.942384 8:-9.216838 9:2.952418 10:-1.8872124 11:6.1723557 12:-3.8918645 13:2.8127558 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:312.08536 2:21.884281 3:15.954831 4:-9.665642 5:1.9053724 6:-2.2157273 7:3.7840915 8:-9.667018 9:3.8263483 10:-2.2396584 11:7.4186606 12:-3.257291 13:1.610497 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:313.21323 2:24.785244 3:15.637083 4:-12.517847 5:2.229074 6:-1.1666849 7:3.334476 8:-9.37105 9:4.2550693 10:-1.7290963 11:6.537928 12:-3.811082 13:2.5252423 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:315.51257 2:25.14468 3:14.425342 4:-13.081019 5:0.99662924 6:-1.2112973 7:3.1823385 8:-8.548589 9:5.1606903 10:-2.05425 11:6.521989 12:-4.5155125 13:2.8452911 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:318.6871 2:23.714928 3:12.601354 4:-14.095014 5:0.5674189 6:-0.34177282 7:5.3972445 8:-8.302077 9:5.236751 10:-1.9556934 11:4.884797 12:-4.534656 13:2.0281477 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:318.27542 2:23.754295 3:12.443301 4:-15.381579 5:0.272764 6:1.5172175 7:6.4231796 8:-7.1762133 9:4.391923 10:-3.940231 11:4.9776235 12:-5.114303 13:2.0154552 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:318.91122 2:23.30274 3:11.160101 4:-16.090717 5:-0.12686653 6:2.7092252 7:7.2975216 8:-5.6883 9:4.050605 10:-5.5782194 11:3.9414036 12:-5.8244386 13:3.1850216 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:317.76163 2:24.369492 3:10.356201 4:-16.35574 5:1.85838 6:4.7143717 7:7.8405433 8:-5.1629577 9:4.458449 10:-7.4299455 11:4.0751624 12:-6.7461257 13:2.696002 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:321.11267 2:21.916098 3:9.543762 4:-15.662296 5:2.7789767 6:5.519627 7:9.060925 8:-4.838894 9:4.3001394 10:-6.7045994 11:2.8639448 12:-6.671627 13:1.6938571 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
2 1:325.10837 2:20.98446 3:8.792528 4:-13.2964735 5:2.2132742 6:5.6105213 7:9.461112 8:-5.884577 9:3.1908336 10:-6.3783603 11:2.769041 12:-5.904187 13:2.706803 14:90.660286 15:4.916081 16:4.749262 17:-2.620404 18:0.814318 19:0.8631389 20:2.7544878 21:-0.30657586 22:1.6022997 23:-1.0638542 24:1.1883215 25:-0.90764093 26:0.87148666 
