2 1:285.8574 2:9.213779 3:11.277817 4:-5.2352185 5:6.4286532 6:-0.30943382 7:3.0731506 8:-3.0326133 9:7.4247074 10:1.0906943 11:6.5093365 12:-1.7768178 13:5.202207 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:288.5216 2:10.889771 3:13.523677 4:-3.6300333 5:6.952437 6:1.3785208 7:2.9364204 8:-4.775381 9:4.559049 10:-1.0876971 11:4.4240646 12:-4.0230803 13:4.234717 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:298.12128 2:19.106737 3:20.121641 4:-4.5051436 5:6.624355 6:-1.1795381 7:0.8670452 8:-8.9648485 9:3.2606943 10:-2.007385 11:4.1427193 12:-5.204982 13:4.485036 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:304.9311 2:20.330126 3:18.208006 4:-6.8231745 5:3.9900846 6:-3.3848295 7:0.4984974 8:-10.117551 9:3.5459967 10:-1.7409058 11:5.5194545 12:-4.7861094 13:5.065062 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:308.66516 2:20.750307 3:17.005245 4:-8.848706 5:4.081818 6:-2.811424 7:-1.0297066 8:-9.206816 9:3.871951 10:-2.1496005 11:5.7340775 12:-4.604916 13:4.5131326 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:313.19873 2:23.428957 3:15.583427 4:-10.554787 5:2.883794 6:-2.7880049 7:0.2301588 8:-10.398205 9:4.502767 10:-1.5817459 11:6.3726172 12:-5.2805743 13:4.071195 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:317.91617 2:23.386936 3:14.439029 4:-11.946791 5:1.4222316 6:-1.8981944 7:1.3282841 8:-10.616994 9:4.740092 10:-2.1246376 11:5.9716353 12:-5.165184 13:3.4683373 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:321.59644 2:25.2066 3:13.124715 4:-14.108736 5:-0.26623255 6:-0.365618 7:0.7084822 8:-12.019048 9:7.364491 10:-3.072514 11:5.8014207 12:-4.6378818 13:3.587363 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:325.93427 2:24.859207 3:12.851955 4:-15.858753 5:-1.0030266 6:-0.049440008 7:0.61086744 8:-10.947726 9:7.2353754 10:-3.6795397 11:5.3161397 12:-4.597925 13:3.6682851 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
2 1:327.1364 2:24.497944 3:11.164731 4:-16.036371 5:-2.1738636 6:0.4863678 7:2.9804075 8:-10.861041 9:7.835263 10:-5.0267725 11:4.4443727 12:-4.6183367 13:3.2326293 14:89.126755 15:3.3175514 16:3.4660723 17:-1.6670085 18:1.574069 19:0.34330148 20:2.1223729 21:-0.37394795 22:1.6039822 23:-1.2961277 24:1.1341975 25:-0.5547874 26:0.986674 
