2 1:261.061 2:-1.7741604 3:11.136423 4:-0.48121068 5:2.0438383 6:-2.4360888 7:0.7114032 8:-2.7558715 9:2.713965 10:-2.4626293 11:1.3772669 12:-1.9489526 13:2.3115616 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.08286 2:-2.2825837 3:10.465522 4:-2.5487182 5:1.8838506 6:-2.6079006 7:1.2707437 8:-1.6518435 9:3.254241 10:-0.99493015 11:2.3060398 12:-1.2875105 13:1.9680374 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:257.61984 2:-5.740656 3:8.237308 4:-3.4598148 5:2.5662246 6:-2.5892224 7:0.1573778 8:-2.3559158 9:2.963276 10:-0.73712444 11:2.1882522 12:-0.57844037 13:2.8137038 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.934 2:-2.5367377 3:10.019009 4:-2.7493818 5:2.8592339 6:-2.5773273 7:0.1299016 8:-1.8872793 9:2.4011214 10:-1.2818226 11:3.449894 12:-0.89959484 13:2.2050045 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.2799 2:-4.9737005 3:9.035308 4:-2.7089005 5:2.0369136 6:-1.1968359 7:2.4242532 8:-0.18693452 9:2.6325598 10:-0.16269192 11:1.7566836 12:-0.7693317 13:2.5652118 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.8561 2:-5.4999275 3:9.868058 4:-2.6390421 5:1.2384486 6:-1.761611 7:1.166455 8:-0.4201859 9:1.3334718 10:-1.4755263 11:2.399379 12:-0.5155674 13:2.2995977 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.41696 2:-4.8371177 3:9.790593 4:-2.7346568 5:0.55311936 6:-3.1456568 7:1.4240509 8:-0.5995147 9:0.89870167 10:-2.01635 11:2.348723 12:-1.4523089 13:1.2729956 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.0358 2:-4.6506395 3:9.196118 4:-2.12995 5:0.68213487 6:-4.0501547 7:0.90473735 8:-1.7277544 9:1.1609375 10:-0.99429196 11:3.1914885 12:-1.0249112 13:1.3339354 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.68088 2:-2.222337 3:10.8423195 4:-1.9868844 5:2.8744717 6:-1.9860232 7:2.0304518 8:-1.5687566 9:1.5438199 10:-0.8678867 11:2.3463922 12:-0.87335825 13:2.188678 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.3665 2:-3.7851505 3:9.807847 4:-2.5936596 5:1.0370606 6:-2.6641243 7:-0.11270864 8:-2.72198 9:0.34429875 10:-2.1146357 11:0.84205973 12:-1.645036 13:2.8704977 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
