2 1:289.96375 2:11.338223 3:12.115067 4:-7.6568336 5:6.2647386 6:1.7315717 7:6.457084 8:-2.6913211 9:4.9181447 10:-1.0249975 11:5.2927656 12:-0.55786794 13:5.8670497 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:294.46265 2:14.610722 3:15.81991 4:-7.075951 5:5.0730634 6:2.3352637 7:5.3464904 8:-5.217177 9:1.5955869 10:-3.0327911 11:4.396476 12:-1.3624667 13:5.401486 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:302.5534 2:19.431293 3:18.354948 4:-7.474907 5:4.0384254 6:0.38732922 7:3.395636 8:-10.002192 9:1.2345837 10:-2.70718 11:5.4295325 12:-3.7005906 13:4.228629 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:306.02072 2:23.09136 3:17.220139 4:-8.559637 5:4.2210093 6:-0.982577 7:1.791159 8:-10.602269 9:1.9586468 10:-2.8343356 11:5.9188457 12:-3.7484066 13:5.6835966 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:309.294 2:23.882818 3:17.19925 4:-11.0975065 5:3.3575878 6:0.36334231 7:1.6447976 8:-10.496111 9:3.2729478 10:-2.3705804 11:6.619287 12:-4.0106206 13:5.493103 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:314.76352 2:24.184088 3:14.658663 4:-12.886329 5:3.37965 6:0.7326768 7:3.2307498 8:-10.224484 9:3.503062 10:-1.8402916 11:6.2884817 12:-4.1849904 13:4.0304475 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:317.29053 2:24.97427 3:13.579884 4:-13.540054 5:2.2632391 6:0.6887555 7:3.2591214 8:-9.960833 9:3.3933063 10:-3.2385643 11:6.4664974 12:-4.509399 13:4.031553 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:319.51688 2:24.693695 3:14.0392475 4:-14.704638 5:1.1013017 6:1.6299844 7:2.1195624 8:-9.811312 9:4.0897775 10:-3.4050589 11:6.261254 12:-3.825617 13:3.4251022 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:320.19202 2:25.719454 3:13.3994465 4:-16.36835 5:0.3763981 6:1.2197059 7:3.276973 8:-10.150852 9:5.85673 10:-3.6583169 11:5.49734 12:-2.4695477 13:2.7184145 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:325.94257 2:24.457748 3:11.332202 4:-15.870986 5:0.086482 6:-0.14133033 7:5.280569 8:-8.169971 9:3.7969718 10:-3.5473201 11:6.0302773 12:-3.3775558 13:3.0361466 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:322.21906 2:25.912374 3:11.191817 4:-18.191673 5:-0.36050758 6:1.0887707 7:5.231197 8:-8.18425 9:4.4897003 10:-4.552375 11:4.532017 12:-4.051925 13:4.132028 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:324.65625 2:25.620626 3:10.092863 4:-18.73103 5:-0.57874596 6:2.3656428 7:5.953243 8:-7.966319 9:5.539306 10:-6.5108576 11:3.7463224 12:-5.128271 13:3.0403028 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:325.92093 2:25.372095 3:10.478943 4:-18.698277 5:-0.16317159 6:3.4582005 7:5.2605877 8:-8.568886 9:4.7606163 10:-5.889564 11:3.4946682 12:-6.9481945 13:2.5559554 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:327.8987 2:25.132294 3:9.801176 4:-18.854223 5:2.3923452 6:4.0690985 7:6.1142626 8:-7.898005 9:3.4767826 10:-6.130949 11:3.2147357 12:-6.56657 13:4.1711884 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:327.9954 2:26.09263 3:8.255818 4:-19.729942 5:3.3637226 6:5.7974977 7:6.871143 8:-7.9105873 9:4.8194275 10:-6.192792 11:2.8687556 12:-4.3904443 13:4.7516646 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
2 1:330.25043 2:22.388529 3:4.2535067 4:-17.967789 5:5.578256 6:6.601426 7:9.928407 8:-5.5576344 9:5.2605977 10:-5.5499086 11:4.7283974 12:-4.1456633 13:4.822987 14:91.53508 15:5.079493 16:3.4747303 17:-3.43545 18:1.0410691 19:1.2198968 20:3.0033634 21:-0.3303043 22:1.9824053 23:-0.9837737 24:1.1450276 25:-0.95893496 26:0.92457926 
