2 1:261.07443 2:-3.266156 3:11.09432 4:-1.3314087 5:2.8741162 6:-0.9360437 7:1.0298457 8:-1.5681424 9:0.7583903 10:-2.8153975 11:0.2020387 12:-2.2127848 13:2.3493104 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:258.2923 2:-6.2067266 3:9.11964 4:-1.2646275 5:2.5272498 6:-1.1146841 7:0.9222503 8:-0.10279818 9:2.235167 10:-0.4882368 11:1.7342316 12:-0.53141004 13:3.2152383 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:264.34882 2:-10.978408 3:12.104279 4:-0.8215948 5:-0.02990781 6:1.0689259 7:-1.261532 8:0.7830967 9:2.8552308 10:-0.8206491 11:1.5268865 12:-3.6116362 13:1.9177492 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:261.5667 2:-6.9204173 3:11.468677 4:-1.0790151 5:1.9288148 6:0.45349032 7:1.8020076 8:-1.0447123 9:1.221454 10:-1.7857873 11:0.832642 12:-1.9982724 13:0.28996462 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.55844 2:-5.9192934 3:9.8275 4:-1.967877 5:1.7285585 6:0.15951128 7:1.6573676 8:0.7204122 9:3.3747432 10:-1.3905059 11:2.1484568 12:-0.7841073 13:1.7188231 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.91394 2:-4.765959 3:11.598135 4:-1.1295571 5:1.7246451 6:-1.5903484 7:2.4120557 8:0.017570455 9:1.536427 10:-1.0831206 11:0.85932755 12:-2.3494794 13:2.6135812 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.26514 2:-5.428223 3:10.15768 4:-2.462178 5:1.8207831 6:-1.8900018 7:0.26962915 8:-2.9545875 9:0.017959211 10:-2.6955879 11:1.8379576 12:0.1899934 13:2.5445762 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:261.85953 2:-4.10325 3:9.646149 4:-3.548473 5:1.508386 6:-2.0805836 7:0.35296395 8:-0.17786941 9:2.252104 10:-2.1485047 11:0.88975 12:-1.846229 13:2.2863429 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:258.4936 2:-5.8275747 3:9.935082 4:-2.3724775 5:2.4741004 6:0.23771521 7:2.0058765 8:-1.2711363 9:2.6368988 10:-0.020909723 11:2.6930654 12:-1.3451294 13:2.320418 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.91266 2:-4.0319433 3:10.638881 4:-1.133504 5:2.6470568 6:-1.2116501 7:1.1248791 8:-1.4878204 9:3.1141818 10:0.112361506 11:1.6133416 12:-2.0640154 13:2.2767482 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:259.1515 2:-5.184943 3:9.0419655 4:-2.1864116 5:1.5069871 6:-2.4580214 7:1.5362476 8:-0.1243417 9:1.9390998 10:-1.2333888 11:1.1581441 12:-1.9535501 13:3.6117525 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
