2 1:268.84695 2:0.72145635 3:8.943775 4:-1.8555325 5:3.0036094 6:-2.07324 7:0.79019547 8:-4.28225 9:1.0761566 10:-2.5171103 11:3.6856477 12:-0.25478432 13:2.9453068 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.38248 2:2.1479616 3:11.823345 4:-2.1241086 5:1.8830715 6:-2.623348 7:1.3247824 8:-3.2902467 9:1.8107376 10:-2.6579998 11:3.1994138 12:-1.4889466 13:2.8548973 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.55356 2:0.01600264 3:9.836904 4:-1.5305017 5:2.032917 6:-2.1768534 7:1.3967128 8:-1.8033707 9:4.118774 10:-1.4544162 11:1.6456635 12:-2.5352592 13:2.0053368 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:272.2775 2:1.773088 3:11.717543 4:-2.0016143 5:4.555672 6:-1.0291872 7:3.3116896 8:-1.8861251 9:1.7289177 10:-1.4460999 11:1.6081139 12:-2.3894286 13:2.3491173 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.28192 2:1.2100273 3:10.748523 4:-1.4343864 5:3.447085 6:-1.7304469 7:1.837572 8:-3.3564434 9:0.48995504 10:-1.4073734 11:3.014546 12:-1.6191196 13:3.1324358 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:272.38718 2:1.0572184 3:9.849685 4:-1.515744 5:4.37549 6:-2.3349931 7:1.3611507 8:-1.062018 9:2.5227787 10:-0.7088227 11:2.159342 12:-1.5658798 13:3.4954062 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.68637 2:0.057525557 3:11.523333 4:-0.24365313 5:3.1438177 6:-2.513111 7:1.9290183 8:-2.3310826 9:1.3604413 10:-1.9074922 11:2.284797 12:0.9649823 13:4.1240506 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:273.17297 2:1.1616096 3:10.802258 4:-2.4856188 5:3.284207 6:-2.2188122 7:2.7309182 8:-2.189462 9:1.0959733 10:-1.8906511 11:1.0238988 12:0.23092583 13:4.691952 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.5931 2:-0.4146908 3:9.2770605 4:-3.982995 5:1.3475797 6:-3.262601 7:1.6120766 8:-2.8159866 9:1.7107465 10:-1.5704719 11:0.76225615 12:-0.5909827 13:3.6364431 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.73096 2:0.33303007 3:10.587631 4:-3.3162224 5:4.807654 6:0.053247854 7:3.0355325 8:-1.6772231 9:2.469582 10:-1.8599683 11:2.0816476 12:-0.25126976 13:3.854338 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.62027 2:-0.37845656 3:9.252289 4:-3.4825048 5:1.9172796 6:-1.2862417 7:1.5988935 8:-3.447089 9:0.8804178 10:-2.517288 11:1.6843164 12:-1.7573295 13:3.2130544 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.61627 2:0.32710558 3:9.110979 4:-0.9647964 5:4.1465273 6:-1.7621678 7:1.8700793 8:-1.9128721 9:1.1083812 10:-2.4601302 11:2.8052132 12:-0.88144314 13:3.2927244 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
