1 1:228.0314 2:4.0742474 3:10.62419 4:0.91206294 5:5.5629344 6:-0.38777944 7:5.96753 8:-0.41204497 9:4.576707 10:0.4662673 11:7.829155 12:-2.996805 13:3.3978586 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.29483 2:3.345373 3:6.5857115 4:0.03181775 5:3.1372123 6:-1.7728494 7:3.9733214 8:-1.5943397 9:2.4441063 10:-2.5045593 11:5.9922357 12:-4.1496716 13:4.7903733 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.55302 2:2.4790087 3:7.977156 4:0.31250077 5:5.7598076 6:1.6756097 7:4.8373337 8:-2.194975 9:1.1410611 10:-1.8401335 11:8.238299 12:-3.7602391 13:4.173398 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.88374 2:6.281468 3:11.932158 4:-0.2438615 5:7.202325 6:2.428606 7:4.156412 8:-1.2901404 9:1.9816273 10:-2.6914861 11:7.3811545 12:-3.722296 13:2.3778882 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:231.1417 2:6.371597 3:13.25909 4:0.85351247 5:5.994023 6:1.4749625 7:4.284975 8:-0.94977754 9:1.9153944 10:-4.6879187 11:6.8763957 12:-3.277431 13:4.305393 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:230.5469 2:3.5318592 3:11.0448675 4:1.2859033 5:6.0595393 6:0.8713929 7:3.8386776 8:-1.8866454 9:2.3197968 10:-5.053061 11:5.5053024 12:-2.9925532 13:2.7526774 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:232.06912 2:4.4297037 3:10.307281 4:0.5616344 5:4.1071577 6:-0.21474151 7:3.0519402 8:-0.72826093 9:1.5366026 10:-4.524288 11:6.834692 12:-2.7385044 13:1.8964174 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:229.00757 2:6.3212743 3:10.70836 4:-0.10222684 5:3.1742394 6:-0.21192051 7:3.3714247 8:-1.3568286 9:4.1320734 10:-4.48651 11:6.9819736 12:-2.2978852 13:2.5818815 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.90285 2:4.804836 3:10.433643 4:0.65309066 5:4.378431 6:-0.9312956 7:1.7597083 8:-3.1658335 9:3.080809 10:-2.175158 11:7.918727 12:-1.3848337 13:4.572876 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:227.25468 2:3.1899326 3:13.992377 4:2.2750902 5:5.3541484 6:0.123441115 7:0.060375493 8:-2.280987 9:3.1474283 10:-2.6467683 11:3.8164203 12:-2.939774 13:3.5254421 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:231.36188 2:5.1612887 3:10.879982 4:-0.4167296 5:5.69228 6:2.5079665 7:3.3200686 8:-2.9220762 9:4.632718 10:-2.8615746 11:3.5986855 12:-2.6503804 13:1.9846705 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
1 1:228.8529 2:7.736471 3:11.613003 4:0.07174049 5:5.6364717 6:0.9612768 7:4.0722723 8:-1.6409328 9:4.33112 10:-3.0725334 11:6.0239806 12:-2.7996447 13:4.258722 14:79.03148 15:4.1108694 16:4.583603 17:0.9741585 18:2.7372284 19:0.072139464 20:2.223506 21:-0.61758816 22:1.6269412 23:-1.4212278 24:1.8309026 25:-1.0970144 26:1.1076051 
