1 1:221.27213 2:4.3594446 3:16.128778 4:2.372798 5:-0.23087025 6:-4.670256 7:1.7810292 8:1.9809994 9:5.5387263 10:-3.5033636 11:5.7665224 12:-2.7735925 13:3.5436645 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:224.58626 2:7.267589 3:11.467073 4:1.8331431 5:1.2987566 6:-0.22558473 7:1.962787 8:-2.4461854 9:6.631454 10:-2.4863994 11:6.789786 12:-3.1920533 13:4.4346695 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.92638 2:5.649206 3:10.057505 4:-1.660662 5:0.7213219 6:-2.3358407 7:1.1961004 8:-0.5109519 9:4.1647487 10:-4.32013 11:6.167392 12:-1.2099662 13:5.2585135 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:240.3137 2:1.5838224 3:1.4226519 4:-1.8950765 5:7.4485965 6:-3.9648278 7:0.20040321 8:0.93577987 9:2.4113932 10:-6.3860416 11:2.7798188 12:-3.8172102 13:4.251122 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:229.58969 2:3.9876037 3:6.8254004 4:-0.3408797 5:7.192983 6:-0.62715626 7:1.3939735 8:0.47356817 9:4.587864 10:-4.8269296 11:5.3105497 12:-2.318872 13:4.8395267 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:227.11978 2:9.4481945 3:13.65564 4:-1.4101508 5:2.297155 6:-0.5967507 7:3.3816743 8:-0.5614905 9:5.5471067 10:-2.095352 11:5.931737 12:-4.131368 13:4.5663657 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:225.50807 2:7.800041 3:12.671797 4:-0.52187204 5:0.96445245 6:-2.4553568 7:1.3366078 8:-2.469623 9:2.822567 10:-2.730924 11:5.224846 12:-3.6796265 13:4.530919 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:224.25597 2:6.7684813 3:11.910155 4:-0.33117908 5:1.9294009 6:-1.0186718 7:3.3675299 8:-0.83478606 9:4.0561314 10:-1.994649 11:5.6864076 12:-3.5657113 13:4.088177 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:226.7581 2:8.053997 3:11.016093 4:-1.4051077 5:3.048552 6:-2.1419256 7:2.108622 8:0.14542477 9:4.749788 10:-3.6071134 11:4.146517 12:-3.3120885 13:5.0132236 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
1 1:233.29866 2:8.974594 3:10.005885 4:-1.6429826 5:4.790323 6:-2.5643027 7:3.3222034 8:1.11674 9:5.0885973 10:-5.115648 11:5.57464 12:-0.19963884 13:5.832942 14:87.4446 15:6.4749413 16:8.591907 17:-0.064945675 18:1.5039368 19:-1.2366577 20:0.10877608 21:-1.1423756 22:2.528857 23:-1.1875806 24:0.26772314 25:-1.2942805 26:0.80894876 
