1 1:243.90198 2:13.985209 3:15.024668 4:3.427135 5:7.9232273 6:-0.2110947 7:8.676042 8:-2.7887769 9:3.119474 10:-5.1153736 11:4.466181 12:-4.34812 13:6.8132873 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:259.42923 2:17.846521 3:16.109285 4:0.1407798 5:4.67597 6:-1.1928236 7:8.906729 8:-2.3097434 9:4.7548943 10:-4.574576 11:3.9127085 12:-4.8232074 13:4.6606445 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:269.64883 2:23.64962 3:16.049932 4:-1.916883 5:2.7152386 6:-3.9803898 7:5.4236784 8:-3.8099875 9:4.284499 10:-4.3104463 11:4.4812098 12:-4.5321703 13:5.393332 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:274.21375 2:28.487793 3:15.003388 4:-6.1169596 5:1.6522448 6:-4.640034 7:8.037884 8:-4.094746 9:4.3353224 10:-4.4089828 11:6.0054746 12:-6.799453 13:5.967439 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:279.71786 2:27.106546 3:13.949192 4:-8.460158 5:1.7612598 6:-4.0502253 7:7.5579734 8:-3.9042816 9:4.5344105 10:-4.939901 11:4.902515 12:-5.397168 13:6.137266 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:281.6978 2:29.276878 3:10.252149 4:-10.494526 5:2.195406 6:-2.9485593 7:9.468845 8:-5.2650476 9:2.4657652 10:-5.197956 11:5.6971984 12:-4.775978 13:8.534542 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:285.87457 2:28.640856 3:7.660866 4:-11.061248 5:4.959243 6:-3.8669827 7:9.375127 8:-5.5058165 9:1.7128218 10:-6.140587 11:6.21049 12:-3.8370817 13:7.3386507 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:292.83743 2:27.227713 3:1.8179371 4:-9.135789 5:5.9288354 6:-3.8839211 7:7.6530147 8:-5.299531 9:2.3435879 10:-5.3728776 11:8.573927 12:-4.4942856 13:6.6365423 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:296.3891 2:24.34684 3:2.8492036 4:-10.545511 5:7.1779327 6:-2.7360055 7:7.7570486 8:-4.8622794 9:3.0586705 10:-5.916503 11:7.9477158 12:-2.8730025 13:4.9988956 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:300.3157 2:26.22801 3:1.0076289 4:-9.890148 5:10.333244 6:-3.773551 7:5.9176006 8:-5.5431156 9:3.2060733 10:-6.2242947 11:7.8858356 12:-2.9761446 13:4.110296 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:299.2879 2:26.204903 3:0.08490201 4:-10.11721 5:11.964447 6:-3.5001345 7:4.649632 8:-4.4995995 9:3.2157032 10:-6.472556 11:8.360564 12:-3.235825 13:4.6006074 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:303.96478 2:23.454437 3:-1.6893325 4:-4.799727 5:11.876217 6:-5.0697017 7:4.6589284 8:-6.2559342 9:4.9469514 10:-4.491503 11:7.251409 12:-2.965544 13:3.9709005 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:303.64505 2:21.799196 3:-2.1051626 4:-1.9088042 5:12.336915 6:-4.746491 7:4.1195483 8:-7.8152704 9:4.5247607 10:-4.480135 11:7.3394217 12:-1.7229077 13:4.6821685 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:305.6856 2:22.923086 3:-1.6260352 4:-1.6092036 5:14.562025 6:-7.2350693 7:3.6590686 8:-5.3489237 9:4.4487586 10:-5.5790787 11:5.858814 12:-4.335824 13:4.6115093 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:305.71332 2:21.640825 3:-1.5411793 4:0.0433454 5:15.226275 6:-6.5241346 7:2.87026 8:-5.9576917 9:4.5714593 10:-5.7664914 11:6.030759 12:-4.1177135 13:4.497983 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:302.98108 2:21.684168 3:-2.7892706 4:1.896894 5:17.084074 6:-4.42843 7:4.432724 8:-6.4880476 9:5.1543856 10:-6.0515547 11:5.4895787 12:-5.294309 13:4.505992 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:302.59808 2:21.5424 3:-2.6571486 4:2.318375 5:18.569204 6:-4.002445 7:4.9351544 8:-6.47352 9:4.5667424 10:-5.1792755 11:4.9515333 12:-5.7982864 13:5.2660456 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:290.017 2:20.239086 3:1.3020647 4:-2.0368698 5:16.820002 6:0.56089437 7:6.074384 8:-4.711594 9:4.123803 10:-3.9893403 11:4.415408 12:-5.1772246 13:5.6442456 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:283.0606 2:22.438395 3:5.0444994 4:-6.2945566 5:14.638931 6:0.87627935 7:6.725003 8:-4.0241265 9:5.2071457 10:-2.6349678 11:7.343961 12:-4.6294303 13:4.2576394 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
