1 1:236.83704 2:5.59133 3:7.285607 4:-2.2043386 5:1.4099554 6:-1.4781307 7:5.760203 8:-0.36830804 9:3.096098 10:-2.976516 11:3.9137993 12:-3.7748182 13:2.747844 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.06805 2:7.739805 3:9.81773 4:-0.36327404 5:4.774762 6:-1.3025537 7:3.7721877 8:-2.3586752 9:3.0916333 10:-2.362689 11:6.0300374 12:-4.557925 13:6.1657543 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.82137 2:5.013429 3:8.812963 4:0.9002117 5:4.613923 6:-1.8144763 7:3.5775318 8:0.61128193 9:2.7876074 10:-1.0322052 11:7.425339 12:-5.9400487 13:4.862388 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:227.03848 2:6.695884 3:9.495079 4:1.018456 5:3.9769933 6:-3.238712 7:3.8437312 8:-1.0462512 9:4.2884917 10:0.19703077 11:7.4015527 12:-3.2012665 13:6.016335 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.33028 2:5.381551 3:10.340109 4:0.92074347 5:5.1776977 6:-2.932091 7:4.0576553 8:0.07445852 9:3.5484324 10:0.18141975 11:5.079221 12:-3.7647407 13:6.3849945 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.60341 2:2.9014127 3:10.74557 4:3.613566 5:3.8836513 6:-0.9239448 7:6.0317116 8:-1.271234 9:2.793778 10:-0.045505922 11:3.3398588 12:-3.7542505 13:5.268621 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:227.92964 2:4.741211 3:11.0124855 4:1.5732844 5:0.8321023 6:-1.9277014 7:5.051807 8:-3.8417518 9:3.4818301 10:-0.9032939 11:2.2900937 12:-3.0857449 13:3.834113 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.27643 2:3.786674 3:13.902652 4:4.771237 5:4.219689 6:0.0048471955 7:5.2261243 8:-4.746669 9:4.428774 10:0.34165773 11:4.7450356 12:-0.45619762 13:4.3656335 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.15811 2:2.2266955 3:8.944241 4:1.6709565 5:4.3167386 6:0.5549269 7:3.6019151 8:-4.756054 9:4.7113304 10:-1.3075211 11:4.1931024 12:-0.27647233 13:4.258545 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:225.14001 2:1.462462 3:9.731679 4:2.958305 5:3.146341 6:1.6524218 7:4.4079385 8:-5.37519 9:2.701865 10:-4.227884 11:4.4586825 12:-1.6114693 13:3.039474 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.168 2:0.32514593 3:9.246673 4:2.5856986 5:1.6083202 6:0.29430452 7:4.9269204 8:-4.016208 9:2.4279692 10:-4.526299 11:3.8338625 12:-2.7392883 13:0.46309134 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:230.30045 2:2.772703 3:12.629923 4:4.116848 5:4.33601 6:3.998986 7:7.1489453 8:-5.126621 9:3.9311054 10:-3.1178384 11:4.8256946 12:-1.6253521 13:4.4886117 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:228.71439 2:2.0957122 3:9.7281 4:2.0060701 5:4.173521 6:2.0821495 7:5.6963224 8:-4.30571 9:6.4562764 10:-2.2079756 11:4.0480046 12:-1.4028474 13:3.4323964 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.61995 2:3.9831693 3:12.994442 4:2.858447 5:1.1730094 6:-0.10562418 7:4.0595903 8:-5.1937594 9:4.475868 10:-1.9502703 11:2.143945 12:-3.4224257 13:2.105276 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
