1 1:228.65019 2:7.1541195 3:8.366916 4:-2.9626958 5:3.626581 6:-1.00928 7:2.1778836 8:-2.5940955 9:5.591144 10:-0.5389518 11:7.5644636 12:-1.2392209 13:3.290469 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.19951 2:6.1696734 3:9.570013 4:-1.2500372 5:5.604918 6:-1.0168954 7:1.6168407 8:-1.85589 9:3.5747526 10:0.19878949 11:6.807903 12:-1.4856628 13:4.605333 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:228.62196 2:8.195429 3:10.274799 4:-3.1245313 5:3.862127 6:-1.526529 7:2.9689753 8:-1.2509958 9:2.2302103 10:-1.0846237 11:6.8146367 12:-3.1068165 13:3.5161095 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:227.22086 2:6.0417404 3:10.063774 4:-1.9824772 5:7.2724857 6:0.08226579 7:4.015878 8:-1.1770985 9:4.444128 10:-1.0637934 11:4.345451 12:-3.7504733 13:3.6011267 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.87544 2:8.722496 3:10.304703 4:-1.0430621 5:8.320977 6:-0.8283751 7:0.056004226 8:-3.811521 9:3.1388428 10:-2.2550445 11:6.0112634 12:-3.6729558 13:3.9251127 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:231.16997 2:7.2939787 3:12.697896 4:0.31929713 5:8.843856 6:0.18584041 7:2.1276047 8:-1.2850772 9:5.6376195 10:-1.6802471 11:6.20715 12:-2.8410926 13:3.5023122 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.9021 2:4.91792 3:10.385554 4:-0.47414958 5:6.4049587 6:-0.40443912 7:2.0277681 8:0.001394909 9:7.0192175 10:-0.550377 11:5.809627 12:-1.4660716 13:4.6707 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:232.50397 2:7.3642917 3:10.148714 4:-1.4400569 5:4.1735044 6:-2.0765414 7:3.5142717 8:-0.91038436 9:4.6702147 10:-2.0457454 11:6.664106 12:-1.4805403 13:4.9717546 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:226.4049 2:5.6725793 3:9.507632 4:-0.70883906 5:5.1389403 6:-2.0741315 7:2.838039 8:0.02431102 9:6.905084 10:-1.0880413 11:5.248849 12:-2.0539439 13:5.6964207 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:229.66655 2:5.884767 3:7.997719 4:-2.539986 5:3.785573 6:-1.3578947 7:1.115232 8:-3.1274347 9:3.155873 10:-2.5726821 11:4.853388 12:-2.774256 13:4.798663 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:230.91937 2:6.2390356 3:9.444595 4:-0.76945627 5:4.579521 6:-3.649612 7:0.67954874 8:-3.3905966 9:3.1867046 10:-3.0025396 11:3.8791952 12:-2.5973382 13:3.075218 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:225.97775 2:6.0301633 3:9.167975 4:-1.9136338 5:7.460927 6:-0.64606255 7:1.2885299 8:-0.8226987 9:5.6660695 10:-0.8372082 11:4.536236 12:-2.3492877 13:4.8842864 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:240.32587 2:6.905277 3:12.036485 4:-3.2750266 5:9.851458 6:0.82221955 7:4.3003926 8:-1.118189 9:4.2428455 10:-1.9712553 11:3.3750162 12:-3.6165323 13:6.1638303 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
1 1:238.74347 2:3.3352818 3:9.075994 4:-1.0900484 5:6.826528 6:-1.389404 7:3.030309 8:-2.1517165 9:2.4568658 10:-0.5421852 11:5.0079184 12:-2.416446 13:4.3749523 14:96.23588 15:3.5360644 16:3.3611577 17:-0.75546163 18:3.2494774 19:-0.02827671 20:0.6410912 21:-0.11548923 22:-1.0056976 23:-1.208314 24:0.3423968 25:-0.7900897 26:2.2093446 
