1 1:238.78185 2:3.410336 3:5.906126 4:-2.054666 5:1.3750169 6:-3.364073 7:4.929547 8:-1.4424715 9:0.1281572 10:-2.1638062 11:3.0187638 12:-2.3020866 13:6.748972 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:244.55264 2:6.9388604 3:7.571236 4:0.3555331 5:5.0258884 6:-3.756443 7:6.452129 8:-2.269286 9:2.560213 10:-0.7725511 11:4.9789877 12:-1.9961222 13:5.440471 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:241.88635 2:7.5137253 3:10.434988 4:2.6640499 5:5.202177 6:-4.657146 7:6.212054 8:-2.2996619 9:0.014962565 10:-2.4423437 11:5.199786 12:-3.1196463 13:4.244733 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:240.08202 2:7.424213 3:10.623533 4:0.18800266 5:2.9212878 6:-2.3237784 7:5.086111 8:-3.0217052 9:3.4857504 10:-1.8778582 11:2.9855733 12:-5.285134 13:3.5778458 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:236.74976 2:7.6456156 3:10.928849 4:-0.0399415 5:5.85346 6:1.7022173 7:5.9313164 8:-3.5050318 9:1.3856227 10:-2.597259 11:4.4605746 12:-4.054709 13:5.592996 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:235.78737 2:8.469614 3:9.697748 4:1.2740446 5:4.638649 6:-0.68813306 7:4.968842 8:-2.9083862 9:1.5152118 10:-0.18803063 11:4.6434956 12:-4.313563 13:4.47867 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:233.97939 2:8.61695 3:6.8679237 4:-1.2914547 5:4.58698 6:-1.2820425 7:4.028333 8:-3.8262262 9:0.66623825 10:-2.9848695 11:5.060137 12:-2.220191 13:5.240787 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:232.4494 2:10.407002 3:10.9253025 4:-3.0676239 5:2.1122482 6:0.06097784 7:4.5345397 8:-1.0933582 9:3.4527228 10:-4.2562404 11:4.670421 12:-2.2406433 13:5.288614 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:235.25806 2:12.462951 3:12.793632 4:-3.554264 5:0.0817095 6:-0.36368144 7:7.2297325 8:-1.5536491 9:4.601293 10:-4.904953 11:5.3319073 12:-3.550532 13:5.590409 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:234.41934 2:11.669872 3:11.464717 4:-6.8386564 5:-3.2217493 6:-1.1765021 7:5.4618096 8:-1.8820807 9:2.6638887 10:-4.682357 11:5.725014 12:-1.697321 13:5.7521214 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:234.81793 2:11.667309 3:9.376723 4:-7.2416787 5:-0.33682996 6:-1.2214031 7:4.9245663 8:-3.1484115 9:2.7239316 10:-5.823705 11:4.772083 12:-0.06594185 13:5.7855062 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:239.26326 2:13.07496 3:12.25406 4:-4.9129024 5:-0.063204214 6:-3.1429982 7:2.9439223 8:-2.2371147 9:3.001812 10:-7.136663 11:4.7544546 12:-0.8688771 13:8.023173 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:240.76755 2:11.261463 3:11.733363 4:-1.8969973 5:1.2025974 6:-2.939229 7:3.683689 8:-2.1484916 9:1.9902859 10:-6.149829 11:5.305946 12:-1.0812656 13:9.476148 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:238.42355 2:11.387175 3:12.336432 4:-4.2575426 5:1.6099997 6:1.2236931 7:3.5926294 8:-2.333003 9:1.66855 10:-6.0691257 11:5.638425 12:-2.4405794 13:6.4310393 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:234.60617 2:9.93033 3:12.015859 4:-2.5510035 5:1.391807 6:0.61023396 7:4.0606966 8:-1.5491447 9:3.0177486 10:-6.521452 11:7.2478337 12:-0.19002703 13:7.283894 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:230.92729 2:9.500555 3:10.350638 4:-2.5356417 5:2.7454033 6:1.3030542 7:1.6781034 8:-0.2988147 9:3.1560233 10:-6.943471 11:6.060556 12:-2.0330932 13:5.3346562 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.69464 2:9.419385 3:12.186501 4:-2.5517714 5:4.2424583 6:4.4601703 7:3.156186 8:-0.84598374 9:2.288646 10:-6.0102043 11:7.003159 12:-2.5665543 13:4.220554 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
