1 1:225.56024 2:7.303222 3:11.555319 4:0.9551559 5:3.8875048 6:-2.3636208 7:2.3333707 8:-0.6194928 9:6.7298117 10:0.6100234 11:6.9515014 12:-4.5939016 13:3.9985523 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:233.1851 2:5.307563 3:10.90921 4:-0.21097596 5:2.8174314 6:-0.98337907 7:0.6575724 8:-4.3996224 9:2.4444304 10:-2.114673 11:5.0933404 12:-2.441812 13:2.4148626 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:231.18394 2:3.46822 3:7.9940367 4:-0.9865993 5:3.7709985 6:-0.01562596 7:2.1869526 8:-0.61441284 9:4.820302 10:-1.5249758 11:5.032532 12:-1.7589774 13:1.5546423 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.26997 2:8.263148 3:13.228041 4:-1.0249134 5:0.9692644 6:-2.9468992 7:2.9841828 8:-0.4283276 9:5.7563295 10:-5.4278135 11:4.436728 12:-2.3052998 13:1.8296632 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:227.15573 2:8.420838 3:15.051112 4:0.46894526 5:2.1324754 6:-2.0533998 7:3.5363066 8:-0.069395676 9:6.5973973 10:-4.2557817 11:5.6754 12:-1.8254344 13:3.3633704 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:231.2807 2:7.957715 3:13.770929 4:0.5885137 5:1.1503003 6:-1.2643317 7:2.1747065 8:-0.5514237 9:7.371604 10:-2.8364155 11:5.2603803 12:-2.4957616 13:5.310784 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:229.6143 2:7.3125854 3:15.045774 4:1.0204761 5:2.9252985 6:-0.30597302 7:1.5446863 8:-0.36169046 9:7.109485 10:-2.7810643 11:4.9840994 12:-4.2599783 13:3.6295977 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:228.71736 2:7.684293 3:13.561124 4:-1.1702242 5:3.1237717 6:1.0141097 7:2.389228 8:0.66216016 9:3.935834 10:-3.826451 11:6.0992675 12:-4.6763372 13:4.3281507 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:233.50072 2:10.02399 3:14.626701 4:-0.25874346 5:4.2347407 6:2.056003 7:5.238665 8:1.3368256 9:5.9422383 10:-4.5419354 11:6.6958723 12:-5.170351 13:4.415695 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:238.20374 2:9.996327 3:16.122927 4:3.5810466 5:8.07228 6:0.25660455 7:4.4052114 8:1.2012591 9:9.522226 10:-1.9009844 11:6.6036696 12:-4.5490685 13:2.931887 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
