1 1:235.55667 2:7.774788 3:8.554045 4:-2.7479737 5:2.9619322 6:0.25993422 7:4.635922 8:-1.1803179 9:1.629149 10:-4.5137305 11:4.3596926 12:-2.8373985 13:3.9855583 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:239.15697 2:10.487779 3:9.586318 4:-2.9929056 5:2.818049 6:-0.89034873 7:6.2376876 8:-1.2638799 9:1.4885647 10:-3.5724218 11:6.372868 12:-1.1150836 13:4.9592566 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:235.81528 2:10.166551 3:10.460999 4:-1.2128162 5:4.198152 6:-0.47538984 7:5.9882846 8:-2.496392 9:-0.20216598 10:-3.4997225 11:5.5010796 12:-0.81394464 13:6.2700086 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:234.2533 2:9.904271 3:12.501984 4:-3.4376569 5:6.52374 6:1.9624426 7:5.1605754 8:-0.91045916 9:4.073098 10:-2.520976 11:5.0776677 12:-1.799801 13:4.0021286 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:233.7812 2:9.615536 3:13.493041 4:-2.6633604 5:5.733321 6:-0.850077 7:6.4759874 8:-1.4419539 9:3.0558984 10:-2.9855554 11:4.7202473 12:-0.2572244 13:4.473022 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:235.35556 2:11.103407 3:12.784353 4:-1.1443994 5:4.4888854 6:-2.416173 7:5.0956903 8:-2.6845624 9:1.5398889 10:-3.5380728 11:3.9766147 12:-3.4652288 13:5.872681 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:237.10522 2:11.144117 3:12.858343 4:-2.2787335 5:6.3442216 6:-0.9974715 7:3.2611065 8:-2.2899497 9:1.0705222 10:-2.948866 11:6.0646763 12:-2.9428687 13:6.9752135 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:231.9451 2:5.538555 3:11.863635 4:0.6856049 5:6.753548 6:2.7714968 7:3.5887191 8:-3.530066 9:2.048716 10:-3.6689887 11:4.1782427 12:-2.8064806 13:4.286824 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:231.23337 2:3.7426445 3:9.603826 4:-0.78095007 5:4.926956 6:1.5561998 7:2.2324908 8:-4.647885 9:1.3711091 10:-2.8534176 11:3.1384103 12:-3.0929937 13:5.0128956 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:236.20753 2:4.1039305 3:11.77193 4:-0.79389566 5:5.5260844 6:2.4338536 7:5.1625824 8:-0.66341096 9:4.346863 10:-3.3439739 11:1.881711 12:-1.0153421 13:3.2006917 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:240.75984 2:6.025607 3:11.4438095 4:0.6787971 5:5.541099 6:3.0802476 7:5.159283 8:-1.7181284 9:5.3814974 10:-4.398095 11:4.674733 12:-1.7933573 13:4.311176 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:268.6733 2:10.783752 3:5.4726357 4:3.151675 5:13.616934 6:-0.36483213 7:5.9098916 8:-3.9007826 9:5.8416214 10:-1.9281147 11:4.1713147 12:-4.176325 13:4.755261 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:290.6836 2:16.64044 3:-0.50256985 4:4.9880233 5:15.1554 6:-2.681801 7:7.4165077 8:-5.712068 9:5.9755793 10:-1.7454668 11:2.7530587 12:-6.0419855 13:4.9999557 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:297.04282 2:17.216433 3:-0.0628818 4:4.2650666 5:14.091841 6:-4.580329 7:7.1024647 8:-6.5494623 9:5.8492994 10:-1.6470798 11:2.5313082 12:-5.5131373 13:3.9190664 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:300.0837 2:16.864014 3:-1.0179714 4:5.267486 5:14.307995 6:-3.8326442 7:7.1646495 8:-7.0202346 9:4.901738 10:-2.1966074 11:3.2196693 12:-5.242468 13:3.540009 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:312.4311 2:15.700121 3:1.6839467 4:2.0277023 5:11.755101 6:-5.661071 7:4.563074 8:-5.28387 9:4.9058723 10:-1.7689066 11:4.853476 12:-6.920582 13:4.527546 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
