1 1:316.19833 2:24.35107 3:-5.3092136 4:-3.849444 5:8.15895 6:-7.49721 7:8.351506 8:-5.2950716 9:3.3980892 10:-4.4448695 11:7.385061 12:-4.663563 13:6.771799 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:316.16495 2:24.559225 3:-7.2935543 4:-3.6495686 5:9.134309 6:-7.167074 7:8.167965 8:-6.2694464 9:4.347627 10:-4.2499385 11:8.418047 12:-4.7617116 13:6.974035 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:319.55304 2:23.068993 3:-8.459573 4:-2.9171927 5:9.86948 6:-6.7747984 7:7.274814 8:-7.64919 9:4.211753 10:-4.316318 11:9.150336 12:-4.066123 13:5.4160266 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:322.8759 2:20.68555 3:-5.551382 4:-2.386005 5:11.603794 6:-7.7486053 7:5.9143305 8:-8.281134 9:3.8156126 10:-3.4838696 11:7.747419 12:-3.033624 13:3.5104432 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:322.93524 2:19.270477 3:-5.5457463 4:0.16629632 5:11.715798 6:-8.113957 7:3.9833074 8:-7.89634 9:3.5220776 10:-2.715373 11:8.496061 12:-3.9583042 13:3.3109908 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:324.0176 2:19.383593 3:-6.193681 4:1.886988 5:13.322253 6:-9.1620865 7:4.958716 8:-8.327682 9:4.6741323 10:-4.3450956 11:7.0806866 12:-4.2065616 13:2.938745 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:322.75894 2:17.457903 3:-5.5152764 4:4.2206235 5:13.657807 6:-9.573061 7:4.8674726 8:-8.186498 9:5.610553 10:-4.3625593 11:6.401565 12:-4.229463 13:3.0241036 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:323.46536 2:15.726516 3:-4.9760175 4:6.805685 5:15.973372 6:-8.812804 7:5.327843 8:-10.000806 9:5.040179 10:-3.6632557 11:6.7787204 12:-3.002854 13:3.726294 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:318.9108 2:15.062203 3:-4.5478773 4:7.6543055 5:16.41213 6:-6.8681417 7:4.7464137 8:-9.528534 9:4.868902 10:-3.765061 11:7.4742703 12:-3.701647 13:4.7305055 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
1 1:313.91708 2:17.956512 3:-5.7145915 4:5.2356887 5:17.800764 6:-4.776913 7:7.8127794 8:-8.949447 9:4.5621142 10:-4.295501 11:5.103725 12:-5.3542695 13:4.2959313 14:68.07947 15:0.34865487 16:3.3419347 17:-0.058633216 18:1.0695591 19:-0.33612463 20:1.9971006 21:-0.03567944 22:0.5430964 23:-0.510242 24:1.399241 25:-0.807654 26:1.1366736 
