1 1:224.93742 2:6.785844 3:13.656804 4:2.4487326 5:5.6614275 6:0.7961511 7:-0.49321848 8:-2.0600424 9:4.2091155 10:-4.599332 11:5.320518 12:-2.6422112 13:5.1083927 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:227.05763 2:7.0415444 3:16.134117 4:-2.3311296 5:1.7644485 6:-0.3208486 7:0.704299 8:-2.0056665 9:5.1725225 10:-3.059259 11:7.3819017 12:-1.9439007 13:4.6425304 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:227.30643 2:5.8221335 3:14.984707 4:0.37505293 5:2.720649 6:-0.57365185 7:2.4233954 8:-0.52429354 9:4.8386464 10:-5.304223 11:6.827124 12:-1.2646503 13:4.1580296 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:234.25526 2:5.3457184 3:8.744188 4:5.752343 5:4.3939614 6:-2.143611 7:2.12129 8:0.564389 9:6.999938 10:-6.3955917 11:7.7261424 12:-3.65162 13:0.7263579 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:231.09467 2:6.2138634 3:10.48671 4:1.7942792 5:3.197129 6:-0.8137564 7:1.7415509 8:0.882743 9:4.353823 10:-5.658898 11:7.392576 12:-3.4301188 13:3.456633 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.46953 2:5.3903546 3:8.536803 4:-1.890144 5:1.0630186 6:-2.4150927 7:1.9829805 8:-0.33541557 9:5.157565 10:-5.2734284 11:6.0629315 12:-2.8678885 13:1.7169186 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:225.4727 2:8.764212 3:10.974209 4:-2.3370268 5:1.0383654 6:-2.0826356 7:4.8776493 8:-0.35914555 9:5.4757524 10:-3.601101 11:8.597555 12:-1.6090741 13:3.3003218 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.32706 2:7.6100483 3:11.738348 4:-1.2935911 5:3.340344 6:-0.5876861 7:3.577427 8:-0.15254913 9:3.4784825 10:-5.545955 11:4.036701 12:-2.9067893 13:5.0977187 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.88019 2:9.269355 3:13.350533 4:-1.4323987 5:3.5249348 6:0.3836076 7:5.5834994 8:-1.2102838 9:2.5608773 10:-3.2280586 11:5.554335 12:-2.9269416 13:6.037217 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:224.60158 2:7.105776 3:12.173176 4:-2.260151 5:3.251222 6:-0.04449828 7:3.834779 8:-0.032321665 9:4.144301 10:-3.690327 11:6.0628257 12:-4.057291 13:4.816635 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
