1 1:231.95518 2:9.556495 3:13.721412 4:-1.6196276 5:5.263595 6:0.9009178 7:3.0368342 8:-4.467398 9:0.8754274 10:-5.363309 11:2.590768 12:-2.6617825 13:5.2223144 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:235.28796 2:9.362937 3:14.006644 4:-1.2009982 5:2.7161055 6:-1.1412643 7:4.046594 8:-1.102928 9:2.4815092 10:-7.2675858 11:3.6249025 12:-1.6430634 13:4.6419415 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.60423 2:10.390906 3:14.255855 4:-0.52921283 5:4.346003 6:-1.9911188 7:3.1991057 8:-0.72050834 9:1.8100259 10:-8.637366 11:4.344272 12:-1.4133323 13:5.918602 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:241.15741 2:12.539282 3:13.877775 4:-0.4909942 5:6.46272 6:-1.3025275 7:5.280744 8:-2.734381 9:1.7137707 10:-5.862251 11:5.2561574 12:-0.27350155 13:7.691707 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:240.91685 2:11.267659 3:12.3214245 4:-1.0093061 5:5.4310308 6:-0.31588 7:4.2675185 8:-4.0413203 9:1.8605341 10:-6.505952 11:3.7644873 12:-0.47400013 13:7.0713353 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.44896 2:9.699427 3:12.103624 4:0.43222415 5:4.5907307 6:-0.9308111 7:5.156856 8:-2.943034 9:2.4794624 10:-4.1995916 11:6.1087146 12:-0.016486676 13:7.0190945 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.21887 2:7.7059655 3:12.960119 4:1.4394684 5:2.4782858 6:-2.084911 7:3.830203 8:-1.9575859 9:2.0189745 10:-4.709243 11:6.792366 12:1.1358151 13:6.689066 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:236.4994 2:6.7627873 3:12.280589 4:2.3450365 5:4.311836 6:-2.6165862 7:2.553078 8:-1.2762195 9:2.2287958 10:-3.2542 11:6.3831544 12:-0.38008136 13:5.894753 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:235.88539 2:7.093834 3:12.854294 4:2.7370412 5:5.173406 6:-2.8825572 7:2.0521655 8:-2.4049964 9:2.012982 10:-2.5390666 11:6.321521 12:-1.513498 13:4.2363186 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
1 1:237.44669 2:7.4339914 3:11.751353 4:-0.81003803 5:6.078472 6:-1.5095931 7:-0.7058886 8:-2.9579935 9:4.1303473 10:-2.4957643 11:3.421382 12:-3.8291852 13:3.7944508 14:67.631 15:2.0577915 16:3.3353372 17:-0.1875732 18:1.6272464 19:0.14230886 20:1.0971782 21:-0.70912343 22:1.1236297 23:-1.0576752 24:1.6210883 25:-0.55541176 26:0.89566916 
