1 1:225.85135 2:6.7827473 3:12.960787 4:-0.22369988 5:4.4009314 6:0.48101562 7:3.341035 8:0.30826324 9:5.068661 10:-2.9014103 11:6.774116 12:-2.2061393 13:4.8663354 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:236.71504 2:4.5104365 3:9.147962 4:1.0430182 5:9.031587 6:-3.2050931 7:1.7729487 8:4.580973 9:6.767691 10:-6.848632 11:5.769476 12:-1.2004849 13:1.2329702 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:238.2297 2:3.147952 3:6.338808 4:1.7446858 5:10.188213 6:-5.5819626 7:1.376025 8:7.215731 9:6.132941 10:-10.0345 11:3.788163 12:-1.5580802 13:1.8632905 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:231.70323 2:5.133629 3:11.416829 4:0.5060979 5:4.282869 6:-0.6327384 7:0.6836048 8:1.0035261 9:8.510829 10:-4.4976683 11:3.9181504 12:-2.3680685 13:3.5845644 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.6975 2:3.7972085 3:15.634698 4:0.8593676 5:2.8106728 6:2.2015324 7:1.8317327 8:-0.8130121 9:5.8375344 10:-2.099956 11:5.233436 12:-3.891168 13:2.7015486 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:228.59904 2:2.3261242 3:10.60558 4:-2.412114 5:-0.26377055 6:0.38967666 7:1.4120117 8:0.18841931 9:6.9613442 10:-4.128285 11:4.863513 12:-3.2583187 13:4.2033234 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:230.0923 2:3.6656756 3:12.567601 4:-0.92010814 5:0.43720916 6:0.6127637 7:2.865287 8:1.2190111 9:8.825011 10:-2.4976275 11:4.7267084 12:-4.7232966 13:3.5645308 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:225.47469 2:3.543557 3:14.54725 4:2.5002913 5:3.4537263 6:2.2499247 7:4.0533123 8:3.1698544 9:6.172783 10:-4.794485 11:6.699326 12:-2.284548 13:5.736007 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:228.98663 2:3.4020247 3:12.69083 4:3.349375 5:2.8452353 6:0.7859928 7:3.4928787 8:0.9750281 9:2.308731 10:-7.796324 11:6.9179277 12:-3.2058198 13:3.681042 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:230.42108 2:5.3866625 3:11.93528 4:0.21582624 5:2.9699621 6:0.25948462 7:2.6115835 8:0.18499132 9:3.6307526 10:-3.7645643 11:8.050304 12:-6.165461 13:3.0719337 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:226.89885 2:6.279246 3:14.3623495 4:-1.1861544 5:1.3086908 6:1.0730364 7:3.4454968 8:-0.26174822 9:4.8270054 10:-2.5518692 11:7.4239926 12:-5.130021 13:4.4160056 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:227.91873 2:2.6524088 3:14.474518 4:-1.2774991 5:1.5222301 6:-1.8606492 7:3.8408036 8:2.1015375 9:4.9049773 10:-3.6600995 11:6.522813 12:-1.3095882 13:2.6186678 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:230.67389 2:3.9397914 3:14.059187 4:-2.5784376 5:3.7224019 6:0.085966885 7:3.1149015 8:1.2306079 9:3.4363215 10:-3.4029124 11:6.180925 12:-1.9557886 13:3.1592712 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:231.21477 2:3.5468972 3:14.927226 4:0.74337333 5:4.658228 6:-0.81019706 7:2.4059212 8:2.145836 9:4.1408143 10:-2.4380713 11:7.7006273 12:-3.3617353 13:3.7728276 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:231.65726 2:0.092080325 3:15.628828 4:0.6173246 5:3.625462 6:-3.3985124 7:1.0050013 8:2.468183 9:2.665809 10:-1.5508072 11:7.2282424 12:-1.7120261 13:2.5267894 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:233.70676 2:1.7396721 3:16.869005 4:-2.1907248 5:1.8314469 6:-2.1393025 7:1.2418662 8:-1.2458149 9:2.5706358 10:-0.88874865 11:5.1473517 12:-2.427256 13:1.626184 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:240.33162 2:7.2580028 3:17.308325 4:-0.045751795 5:5.209449 6:-2.1301575 7:1.8667996 8:-1.1580477 9:5.0351505 10:-3.0101233 11:2.3106062 12:-5.2545404 13:2.2075777 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:250.28966 2:11.053851 3:22.24372 4:-0.45698977 5:8.192887 6:-1.7396507 7:4.899844 8:-1.828677 9:4.9100294 10:-3.2734666 11:5.2405 12:-2.763946 13:3.6436882 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:240.9073 2:2.2656775 3:18.08087 4:1.2156601 5:7.675897 6:1.9694179 7:6.5150933 8:-0.09057249 9:4.9487524 10:-3.5089715 11:4.462374 12:-1.4828721 13:4.175051 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:239.82224 2:3.6496906 3:15.250994 4:-1.7191787 5:3.0591621 6:-2.2353373 7:3.1721632 8:-0.26222083 9:3.6628778 10:-4.5185633 11:3.6391273 12:-0.30855113 13:2.374883 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:240.18448 2:1.334629 3:14.917374 4:-0.28229827 5:2.9244058 6:-3.3168378 7:2.2774184 8:0.77856666 9:4.2122025 10:-3.5886936 11:3.795242 12:-1.6007761 13:0.8789409 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:247.93272 2:0.68320096 3:8.683585 4:-2.622782 5:5.3622155 6:-1.7663946 7:2.1441813 8:0.7035788 9:6.027954 10:-3.0724692 11:4.3235593 12:0.28757042 13:3.550571 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:246.23035 2:2.2708168 3:7.1900334 4:-3.2494466 5:5.622073 6:-0.54492533 7:3.3411798 8:1.3898165 9:8.838459 10:-1.0492269 11:6.1119633 12:0.023034303 13:3.374134 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:259.53168 2:12.039399 3:19.080778 4:0.689623 5:5.702701 6:-2.4565115 7:-0.37653697 8:-4.307391 9:4.522602 10:-7.2665005 11:4.572574 12:-1.2146909 13:4.1949205 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:263.08282 2:15.032628 3:20.995329 4:0.32570985 5:6.151618 6:-2.1781542 7:0.6017356 8:-2.5604706 9:4.565387 10:-7.5852847 11:4.1633353 12:-2.2773592 13:4.9787087 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:256.90268 2:8.21517 3:14.457016 4:-1.7260811 5:7.5933228 6:1.103455 7:6.619851 8:4.2684054 9:8.946468 10:-5.0083942 11:4.102802 12:-2.3200266 13:2.3175216 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:259.40128 2:9.219578 3:16.287964 4:-2.2776365 5:8.603293 6:-0.01722711 7:4.8428593 8:4.8097777 9:11.14951 10:-5.458516 11:5.468249 12:-1.1553159 13:2.0241573 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:271.14487 2:11.572065 3:14.200654 4:0.17631052 5:8.454834 6:-1.1466241 7:6.449529 8:3.525817 9:9.286283 10:-6.659896 11:5.561015 12:-1.8152207 13:2.1923146 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
1 1:274.41977 2:11.211795 3:13.491817 4:0.81290406 5:8.62533 6:-1.676244 7:7.0866656 8:4.6972933 9:9.8960285 10:-6.7509804 11:4.4644933 12:-2.044571 13:2.4594438 14:80.76076 15:6.4523687 16:7.965522 17:0.3605493 18:1.1375941 19:-1.9318917 20:1.077986 21:-1.1750075 22:2.3498325 23:-1.8694924 24:1.4038382 25:-1.8925902 26:0.7240146 
