2 1:257.52213 2:-11.704946 3:4.292889 4:-0.11701035 5:-0.016477618 6:-6.3176475 7:1.7139103 8:-1.0368115 9:0.45209545 10:-1.0608987 11:2.6430721 12:-1.1461848 13:4.364561 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:259.26257 2:-10.284085 3:6.3244014 4:1.8804266 5:2.4327228 6:-4.065213 7:1.9025366 8:0.011749135 9:0.46886984 10:-1.227673 11:2.496614 12:-2.435748 13:2.6260047 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:257.8802 2:-10.498077 3:6.1307178 4:2.0217915 5:3.0591075 6:-2.3821805 7:2.5393052 8:-1.3265517 9:1.1058203 10:-0.82354873 11:2.326732 12:-1.8602121 13:2.3355703 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:257.59894 2:-11.325424 3:5.9231524 4:-0.3536228 5:1.1795588 6:-4.1214056 7:1.8474602 8:-0.945699 9:-0.8402686 10:-2.2178402 11:0.056603502 12:-2.9354663 13:2.601117 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.26135 2:-12.802889 3:6.2053356 4:2.2270632 5:2.9745162 6:-3.9561958 7:1.738926 8:-0.025572354 9:1.1630896 10:-0.56820405 11:2.317337 12:-1.8911612 13:2.7047813 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:257.1586 2:-11.963385 3:4.903398 4:1.261321 5:2.0891097 6:-2.12523 7:4.3310924 8:1.4401971 9:1.1474131 10:-1.2773812 11:1.4190058 12:-2.6330776 13:2.90399 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:283.27188 2:-4.7671223 3:6.72644 4:-3.4755023 5:-4.2107 6:-12.067049 7:-2.1593592 8:-3.1444902 9:3.2730935 10:3.0511217 11:5.392229 12:-2.198285 13:3.0858238 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:269.84995 2:-5.3879857 3:7.084048 4:-2.1920533 5:-2.2032924 6:-8.725443 7:0.32631096 8:-1.3898094 9:1.9683194 10:1.513381 11:5.2299123 12:-1.8224576 13:2.3472748 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:266.28064 2:-7.2015114 3:7.356023 4:-0.3435332 5:-0.34336913 6:-3.9426992 7:4.139014 8:-0.28240508 9:0.57229203 10:0.44404194 11:2.7833002 12:-2.3504324 13:2.3146942 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:263.2454 2:-9.642839 3:6.19908 4:0.5161311 5:1.1308575 6:-4.46894 7:3.104319 8:-0.3997688 9:0.44695938 10:-0.7843653 11:1.0732229 12:-3.6570377 13:1.8202976 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:262.93036 2:-11.126883 3:4.59073 4:0.19927604 5:0.5334768 6:-3.755277 7:4.1033587 8:0.46847317 9:1.3380377 10:-0.7255833 11:2.4539917 12:-2.086626 13:3.5893772 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:261.1582 2:-10.386501 3:5.2169933 4:0.3155853 5:0.47361323 6:-5.100295 7:3.1070995 8:-1.2292936 9:1.3842244 10:0.69626975 11:3.2622871 12:-2.2170992 13:1.8472481 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.0491 2:-10.739131 3:4.593618 4:2.2040305 5:2.0115662 6:-4.3659067 7:3.7217383 8:-0.2699184 9:0.37170872 10:-1.7802411 11:3.6986158 12:-1.9394126 13:3.1347654 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.7151 2:-10.218866 3:5.71634 4:2.9361172 5:3.0052993 6:-3.75888 7:4.1804314 8:0.64576244 9:2.5459313 10:-0.87754416 11:3.3944578 12:-0.7710565 13:3.931106 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.06583 2:-10.669644 3:5.085863 4:1.7315003 5:2.7528436 6:-4.823363 7:3.2573845 8:0.16029465 9:3.282322 10:0.9327076 11:3.8272736 12:-1.2652588 13:2.3370814 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:260.80084 2:-8.611749 3:4.415282 4:-0.96876246 5:0.80061024 6:-4.840058 7:3.2462652 8:0.5136519 9:0.5844602 10:-0.5025936 11:4.1908903 12:-2.620094 13:2.1650043 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:267.685 2:-5.928037 3:3.8133254 4:-2.2641704 5:-1.4943932 6:-5.0617957 7:4.912845 8:0.8953934 9:2.0998857 10:-2.1193168 11:3.7070549 12:-2.6756139 13:3.3895535 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
