1 1:312.50443 2:7.4740167 3:14.214545 4:0.76768804 5:7.437035 6:-0.9819473 7:7.515412 8:0.49031547 9:2.0375795 10:-5.9321647 11:8.05354 12:-0.052669615 13:6.6744795 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:320.0501 2:5.6537027 3:13.823118 4:1.5984205 5:5.2680492 6:0.4400096 7:6.5552998 8:-0.12918106 9:3.7460957 10:-7.0038505 11:7.8410716 12:1.1919214 13:5.7077646 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:320.11224 2:7.1024227 3:13.36169 4:0.3949378 5:6.792508 6:-0.42044437 7:6.4928675 8:-0.012956285 9:2.723441 10:-6.0618105 11:7.6147027 12:0.76685256 13:6.41446 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:342.53354 2:3.0363593 3:14.806495 4:1.2057825 5:7.7454343 6:2.8671906 7:5.422864 8:-4.017191 9:1.3700396 10:-4.6314216 11:3.9081128 12:-0.84329164 13:5.288388 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:356.9597 2:6.274909 3:18.254313 4:4.3674293 5:5.1222343 6:-4.552132 7:0.45954487 8:-2.6691787 9:0.89489365 10:-5.485546 11:6.7771916 12:-2.248962 13:-0.9370763 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:366.52734 2:9.441969 3:17.64857 4:4.722422 5:4.3090124 6:-5.967819 7:-0.5635304 8:-1.1817999 9:2.2819996 10:-7.545163 11:6.369239 12:-4.5566897 13:-0.5682155 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:368.4936 2:12.169192 3:17.892363 4:2.5826092 5:4.8275523 6:-8.101415 7:1.8646324 8:-2.2610013 9:2.598333 10:-4.812849 11:3.414215 12:-3.5824628 13:-2.4427161 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:376.93738 2:13.447542 3:16.399925 4:0.9015497 5:2.536339 6:-6.571544 7:4.2253466 8:-2.329053 9:2.9919696 10:-7.676501 11:4.635948 12:-2.77327 13:-2.60047 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:378.1922 2:14.074316 3:14.647 4:1.0176734 5:1.4722041 6:-4.4028463 7:5.075442 8:-0.9857346 9:0.8194512 10:-6.918239 11:5.6268787 12:-5.553427 13:-0.3784471 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
1 1:381.19623 2:12.108073 3:14.593612 4:0.7344563 5:2.2767463 6:-1.9066823 7:5.5428166 8:-1.795604 9:1.1614022 10:-8.075205 11:5.4173226 12:-5.5292125 13:-2.3407018 14:110.965324 15:2.6481972 16:5.426804 17:2.111354 18:2.0729232 19:-0.85479 20:1.6705006 21:-0.9248446 22:0.8070682 23:-2.7171276 24:2.274303 25:-0.8392569 26:-0.63744324 
