1 1:313.07635 2:2.746494 3:17.953957 4:2.2915804 5:3.1236405 6:3.9046118 7:7.8290205 8:0.16205154 9:4.8396754 10:-3.970524 11:2.8384244 12:-4.4506793 13:1.8557603 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:312.1038 2:-2.341799 3:18.65682 4:5.798795 5:2.0486436 6:2.4448552 7:6.0877275 8:-1.3113395 9:4.302896 10:-1.5036148 11:2.8040564 12:-4.9393954 13:2.3042023 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:313.89664 2:-2.49382 3:16.938759 4:8.88937 5:1.1000799 6:1.2392442 7:5.801659 8:-2.7950423 9:3.687197 10:-2.5072293 11:3.3586943 12:-3.4968052 13:4.595122 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:318.18784 2:1.0596277 3:19.424694 4:6.709138 5:2.9246902 6:-0.8610231 7:4.779913 8:-3.0084252 9:2.7996604 10:-2.5406344 11:4.844565 12:-1.9122632 13:4.471357 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:323.39853 2:4.3982043 3:21.301117 4:9.134436 5:3.709793 6:-2.57985 7:3.833976 8:-3.6047926 9:3.6077151 10:-3.460105 11:5.4914565 12:-1.7551343 13:5.628821 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:327.92972 2:14.142832 3:21.970844 4:4.5557384 5:3.0323756 6:-0.80548674 7:4.242013 8:-5.2851715 9:6.1284184 10:-4.3766127 11:4.933812 12:-3.8320022 13:7.760824 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:330.01608 2:19.302942 3:23.236364 4:2.62544 5:4.225662 6:-2.4204118 7:5.41348 8:-5.661743 9:4.861848 10:-6.516237 11:5.3678927 12:-3.0386486 13:6.946798 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:336.51874 2:20.212955 3:21.59279 4:2.6736808 5:5.505792 6:-1.917608 7:4.055673 8:-8.078071 9:4.9108753 10:-6.409167 11:3.6100578 12:-5.6434255 13:7.481429 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:340.42963 2:19.775866 3:21.815647 4:2.638712 5:6.1559668 6:-2.5268035 7:3.9918132 8:-6.5484757 9:3.3411834 10:-8.82883 11:3.7117498 12:-4.3005424 13:6.6195416 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
1 1:335.7003 2:22.172962 3:25.53259 4:3.4094799 5:5.226663 6:-2.8099527 7:3.2540195 8:-8.038218 9:4.6544294 10:-10.108883 11:2.7738628 12:-5.79018 13:7.170522 14:101.90717 15:3.8177762 16:4.330198 17:0.62237376 18:1.376984 19:-0.5332754 20:1.6552444 21:-0.7417249 22:2.2877402 23:-1.3440307 24:1.1982571 25:-1.3267798 26:1.5951536 
