2 1:277.3388 2:-4.3183346 3:6.6360607 4:-5.748106 5:-1.1688449 6:-1.9584395 7:2.9202948 8:0.8468116 9:1.0150832 10:-2.895014 11:0.44476572 12:-4.6267304 13:1.6247761 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:279.25998 2:-3.5529423 3:6.1512923 4:-5.6577744 5:-0.31956205 6:-0.18240754 7:4.6950274 8:1.0544394 9:2.1683733 10:-0.90028906 11:2.4086182 12:-2.3393672 13:2.1101806 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:280.7504 2:-2.7882462 3:7.1597695 4:-2.836475 5:1.3027016 6:-0.92406535 7:5.022014 8:0.8370441 9:2.301079 10:-2.0178752 11:1.4459034 12:-3.2974973 13:1.7909195 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:289.91943 2:-3.9519632 3:7.7913375 4:0.16524218 5:-0.16929428 6:-2.2167325 7:5.554455 8:-1.4296811 9:3.5934837 10:-0.24452434 11:1.1946297 12:-1.1158316 13:1.4568441 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:300.50235 2:-6.6977305 3:9.3422575 4:3.6616955 5:0.20537883 6:-1.1586496 7:6.7330594 8:-2.018976 9:3.0897825 10:0.9011405 11:2.88189 12:0.024026493 13:1.3394424 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:286.4035 2:-3.906835 3:5.4152822 4:-2.6945775 5:-0.34667578 6:-2.8318627 7:2.3119097 8:-2.2323415 9:1.9081737 10:-0.82679844 11:3.1645038 12:-1.8609151 13:1.165087 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:276.94653 2:-4.2334986 3:7.7178774 4:0.63376504 5:2.3582466 6:-2.245294 7:2.2912838 8:-3.350364 9:0.9056084 10:-0.87590456 11:1.6056803 12:-3.9989564 13:0.33609006 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:273.70416 2:-6.938174 3:5.4106956 4:-0.84545225 5:0.6366665 6:-2.4142802 7:2.98311 8:-2.6982572 9:-0.090575285 10:-2.2265005 11:-1.0401036 12:-4.3236995 13:0.81382394 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:271.92624 2:-5.5181775 3:4.121244 4:-4.534837 5:0.4206517 6:-2.68567 7:1.7857113 8:-1.7658054 9:1.4354135 10:-1.7159197 11:2.1862042 12:-2.9878237 13:3.6229887 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:275.09058 2:-4.479019 3:6.14735 4:-2.5703294 5:2.1795707 6:-2.6200533 7:1.9190319 8:-1.905024 9:0.93827516 10:-3.3005478 11:-0.7441939 12:-4.147388 13:2.3941267 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
