2 1:320.1827 2:18.336363 3:10.617236 4:-6.6819506 5:6.083211 6:0.53527445 7:5.4777794 8:-4.702817 9:5.349591 10:-0.91034466 11:10.430033 12:-3.9582644 13:5.2203646 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:318.6779 2:17.043476 3:11.425095 4:-4.7382746 5:5.9695344 6:-1.4923437 7:5.1019363 8:-4.177604 9:7.5509 10:-1.378974 11:8.319363 12:-2.827231 13:6.715125 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:320.92383 2:18.466465 3:11.508274 4:-6.052688 5:6.376021 6:-2.270619 7:5.3123903 8:-4.0484176 9:6.6119537 10:-1.7994297 11:8.535877 12:-3.248485 13:5.1524806 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:322.68384 2:15.710644 3:13.828058 4:-5.3299794 5:4.3322926 6:-1.0271192 7:6.348712 8:-2.6411197 9:5.951168 10:-1.6900617 11:8.504316 12:-1.9866989 13:4.8050814 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:330.882 2:14.309323 3:17.955708 4:-2.2573864 5:5.384129 6:-0.61124766 7:4.0871906 8:-4.159106 9:4.2743726 10:-4.388354 11:5.792187 12:-1.9399103 13:4.3787704 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:328.6896 2:21.987144 3:18.036354 4:-2.8102367 5:5.148408 6:-4.177965 7:4.7741556 8:-5.2265944 9:5.0972953 10:-4.9374094 11:6.168379 12:-3.803931 13:5.457649 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:336.51855 2:24.426723 3:16.479303 4:-7.5476055 5:2.4912903 6:-6.1342072 7:4.7018156 8:-5.916793 9:4.471819 10:-4.059016 11:6.5179186 12:-3.578185 13:5.607857 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:333.30765 2:25.150484 3:17.935335 4:-7.5469117 5:2.0979877 6:-5.3846717 7:3.8754287 8:-4.5946827 9:3.700045 10:-3.827249 11:7.043284 12:-4.965829 13:5.754849 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:335.50394 2:22.96584 3:18.814272 4:-4.509355 5:0.507456 6:-5.3196726 7:4.0871825 8:-4.3687096 9:5.9589643 10:-4.0571885 11:6.6417894 12:-6.134986 13:5.613628 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:335.3823 2:24.739906 3:16.817787 4:-4.620403 5:1.2236248 6:-6.3067894 7:4.153447 8:-3.8223085 9:7.17586 10:-4.660477 11:7.0356083 12:-6.4039116 13:5.6456566 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:336.0659 2:25.498299 3:17.205103 4:-5.8410354 5:0.880759 6:-4.6304336 7:3.958613 8:-3.7340577 9:7.8152194 10:-5.62987 11:4.844853 12:-7.040458 13:7.0766463 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:339.5762 2:23.016014 3:17.237455 4:-4.1436157 5:-0.9080938 6:-4.695427 7:5.27807 8:-1.5185407 9:6.240739 10:-6.871245 11:4.8115664 12:-7.253001 13:6.6092577 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:337.4673 2:22.822432 3:17.305332 4:-3.7678978 5:0.51232374 6:-1.291274 7:3.5063264 8:-2.981484 9:6.968533 10:-7.1093564 11:4.3933473 12:-9.912323 13:5.024411 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:337.1073 2:22.995916 3:15.683261 4:-4.120953 5:1.9145252 6:-0.31568336 7:5.391499 8:-4.156243 9:7.6034613 10:-7.0248713 11:2.8067622 12:-10.095404 13:5.969442 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:339.21973 2:21.735725 3:14.002859 4:-3.6832142 5:4.4489093 6:0.10133917 7:7.860151 8:-3.1143599 9:7.389473 10:-7.499752 11:2.246795 12:-8.229232 13:3.920138 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:332.21277 2:20.787405 3:16.443258 4:-0.31134185 5:3.8795168 6:-0.88705194 7:10.267332 8:-1.1228956 9:8.518387 10:-8.166141 11:2.7641428 12:-7.405995 13:3.9189584 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:325.97864 2:19.580612 3:16.686977 4:-1.6014833 5:5.4025226 6:0.8998082 7:12.075364 8:0.14883798 9:8.662333 10:-5.696148 11:3.643416 12:-8.150556 13:3.5957003 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:316.43073 2:15.652863 3:17.543285 4:3.0437262 5:6.548865 6:-2.0827012 7:10.650598 8:-0.85813415 9:7.792553 10:-2.9574783 11:4.562673 12:-7.5431223 13:2.444646 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:309.6027 2:12.576561 3:17.112415 4:1.9800742 5:6.0339756 6:-1.8773643 7:7.871953 8:-1.2777358 9:7.4779563 10:-2.0117168 11:4.849323 12:-5.7572017 13:2.5587604 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
2 1:304.83258 2:7.408348 3:15.147735 4:2.20146 5:4.9091372 6:-1.7745069 7:6.375289 8:-0.540536 9:6.33214 10:-1.2443175 11:5.9721985 12:-4.9629483 13:3.0333326 14:99.96185 15:5.57706 16:3.9469414 17:-1.4506158 18:1.2715838 19:1.3051152 20:2.7666414 21:-0.50293213 22:2.7613325 23:-1.7297639 24:1.4907581 25:-1.5909873 26:0.89521563 
