2 1:268.75656 2:-7.957423 3:8.051663 4:5.004703 5:0.51790845 6:-7.386152 7:2.8832781 8:-1.2989002 9:1.9003989 10:0.67117167 11:5.894639 12:-1.2809489 13:2.1962867 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:269.99945 2:-7.354841 3:6.610085 4:1.6117318 5:-0.4537118 6:-7.734734 7:1.8190954 8:-1.9390852 9:0.63957804 10:-0.8189317 11:3.1518648 12:-3.4483027 13:1.4491836 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:266.85654 2:-6.77867 3:6.5918756 4:2.8670003 5:1.0899324 6:-8.341174 7:1.4624299 8:-1.80928 9:3.0476208 10:0.2360371 11:2.0255291 12:-4.3406043 13:1.6294948 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:266.95038 2:-7.8902903 3:6.0068574 4:2.7211654 5:1.4906355 6:-6.837015 7:2.9597752 8:-0.837204 9:3.1807451 10:0.91008073 11:3.5352528 12:-2.6689124 13:3.399999 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:264.66998 2:-8.810496 3:5.8912086 4:3.32402 5:0.6675077 6:-8.182628 7:2.6241102 8:0.34400806 9:2.8219383 10:-0.6336821 11:3.9717164 12:-1.7691236 13:2.5542967 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:268.4585 2:-7.318384 3:6.685658 4:2.9345524 5:1.2087651 6:-7.15735 7:3.6630278 8:0.51398814 9:1.9769527 10:0.054008126 11:2.9272265 12:-3.1328146 13:-0.10259658 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:266.60336 2:-7.616664 3:6.139354 4:4.1889405 5:3.172174 6:-5.4199524 7:2.273882 8:-0.17117932 9:2.9639032 10:0.38983148 11:3.5244613 12:-2.1751637 13:2.2518346 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:264.5434 2:-10.158506 3:5.017996 4:1.731746 5:1.1964549 6:-4.763332 7:2.2097905 8:-1.8466808 9:0.76114434 10:-0.1005443 11:3.4211621 12:-2.2137802 13:2.7680743 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:264.9562 2:-9.741735 3:3.9964886 4:1.8324319 5:0.73961794 6:-6.034641 7:4.2451296 8:0.82301563 9:3.376379 10:0.37613207 11:2.7091608 12:-3.3989737 13:2.2973535 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
2 1:294.08008 2:-26.149628 3:8.9991665 4:8.086618 5:-2.6072078 6:-4.675875 7:3.2928848 8:0.84330857 9:-0.5708203 10:2.3091679 11:1.9769943 12:-1.6899594 13:2.600947 14:101.71435 15:6.331433 16:3.9307177 17:-1.9938438 18:2.6947033 19:0.6033973 20:2.4478009 21:-1.7958342 22:2.2604713 23:0.35090017 24:1.1796712 25:-1.6489016 26:1.0700184 
