2 1:321.54102 2:20.015831 3:12.733035 4:-9.879049 5:5.615212 6:2.5101418 7:5.1518955 8:-4.332125 9:9.300002 10:-1.6255962 11:5.4066253 12:-3.767997 13:6.308834 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:319.07724 2:23.70829 3:13.649508 4:-12.362452 5:5.9041176 6:2.8719447 7:5.8490276 8:-5.926698 9:9.278051 10:-0.23752533 11:5.3176284 12:-4.0743117 13:6.1137385 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:325.0433 2:23.882605 3:12.455413 4:-11.531077 5:5.971021 6:1.4619254 7:5.419174 8:-4.81209 9:8.240206 10:-0.22571957 11:5.4391203 12:-3.8517332 13:6.2579594 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:343.0775 2:17.874495 3:13.939734 4:-6.263812 5:3.8443766 6:1.0506585 7:5.453513 8:-5.587408 9:5.9502745 10:-2.221514 11:3.5789063 12:-4.6887875 13:3.6575258 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:337.6723 2:27.591356 3:20.019203 4:-10.614964 5:4.674672 6:-1.245228 7:4.3566227 8:-9.4113 9:7.003715 10:-2.610195 11:3.96882 12:-4.8144784 13:4.8772826 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:340.06635 2:26.255018 3:20.060492 4:-11.435765 5:3.2996585 6:-3.2681534 7:3.724134 8:-7.0148835 9:6.1674685 10:-2.8470683 11:3.9310608 12:-4.637113 13:2.7208943 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:338.9295 2:24.666767 3:21.483116 4:-11.524863 5:1.0534992 6:-1.3006805 7:4.059869 8:-6.0987005 9:5.8585463 10:-2.8705146 11:2.6902978 12:-5.3065176 13:0.5303307 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:339.62552 2:23.947348 3:21.626402 4:-11.75832 5:1.3972039 6:-1.2354109 7:4.7079315 8:-4.8394785 9:5.555048 10:-3.7835927 11:2.7386022 12:-6.1687183 13:0.7882323 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:345.03412 2:20.398726 3:20.225044 4:-9.936364 5:-0.7294177 6:1.75146 7:4.960162 8:-5.6396995 9:6.630972 10:-4.871679 11:3.1154444 12:-6.217933 13:0.4297616 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:338.81696 2:19.526045 3:22.42815 4:-10.323335 5:0.17102768 6:2.2384803 7:6.0423875 8:-6.0594 9:6.420799 10:-4.038249 11:2.5218804 12:-6.0493736 13:0.32413644 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
