2 1:258.84537 2:-9.739146 3:4.049964 4:1.0262054 5:2.5790079 6:-4.481161 7:1.8867441 8:-0.9105287 9:1.9681727 10:-0.97759914 11:1.4270374 12:-3.187245 13:2.8550296 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.9936 2:-8.585692 3:6.293328 4:3.97264 5:5.2107205 6:-3.4505346 7:1.575588 8:-1.9311391 9:1.2039963 10:-1.0472367 11:3.379888 12:-2.926473 13:2.09966 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.14398 2:-9.28404 3:7.5465593 4:3.3619912 5:3.3042126 6:-4.84302 7:1.6366354 8:-1.6913726 9:0.5532686 10:-0.3813855 11:3.1457517 12:-1.9795675 13:2.4665563 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:257.79025 2:-11.082901 3:5.353401 4:2.4910905 5:3.5236957 6:-5.207245 7:0.84449244 8:-1.752957 9:0.84884524 10:-0.22550952 11:1.5328195 12:-3.3753116 13:0.13981386 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.44122 2:-8.802718 3:7.277991 4:3.8855639 5:3.353783 6:-5.358998 7:1.574249 8:-1.3443916 9:1.0743402 10:-0.7835983 11:2.0758932 12:-2.9471264 13:2.4160793 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:281.87296 2:-3.8868313 3:5.96741 4:-3.7246063 5:-4.1058598 6:-6.655668 7:-0.72939914 8:-4.059217 9:5.263406 10:1.3969177 11:5.0298195 12:-2.309817 13:0.88070107 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:270.0956 2:-5.900384 3:4.736882 4:-2.6433897 5:-3.3584814 6:-7.739027 7:0.09087206 8:-1.9534134 9:3.869981 10:2.3333285 11:5.121945 12:-2.6935244 13:1.2970111 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.35297 2:-9.637516 3:4.6005607 4:0.16297376 5:-0.94760734 6:-6.516002 7:2.387158 8:-1.901602 9:1.9018193 10:1.3865074 11:2.961412 12:-2.6325347 13:1.6381103 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:263.31552 2:-7.529719 3:6.3889356 4:1.584363 5:0.83062464 6:-6.0606966 7:0.67075396 8:-3.4552367 9:1.0583216 10:0.47051963 11:2.9223952 12:-3.2383804 13:2.3273408 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:259.83127 2:-9.997614 3:6.2091193 4:2.8013172 5:2.487895 6:-5.2589145 7:2.3202202 8:-1.1586537 9:1.118051 10:-1.5759997 11:2.3346245 12:-3.5228832 13:-0.013014825 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
