1 1:260.31638 2:-9.199898 3:10.133767 4:-2.7588367 5:2.3975394 6:-2.655606 7:2.4280005 8:0.028144198 9:4.621404 10:1.7908139 11:1.9102831 12:-0.7415127 13:0.4131984 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:255.20903 2:-7.0578713 3:9.892836 4:-0.39988822 5:0.6118772 6:-1.3997749 7:2.9972897 8:-0.6171119 9:0.6774819 10:-2.2845943 11:1.508359 12:-2.2904432 13:2.866989 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:257.03732 2:-6.0783114 3:10.742114 4:0.25187618 5:0.68595856 6:-2.3481116 7:0.9731602 8:-3.1998777 9:1.3114682 10:-0.53685665 11:2.4352999 12:-3.3096745 13:0.9886459 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:259.27908 2:-9.160048 3:6.572238 4:1.0951349 5:1.9926397 6:-2.5987763 7:0.93454444 8:-2.3067958 9:4.3306055 10:-0.34821296 11:1.0147556 12:-1.9404382 13:1.0787377 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:260.8164 2:-9.662481 3:7.07793 4:1.0742111 5:2.0950143 6:-1.6061655 7:1.533659 8:-2.8001952 9:4.666617 10:0.3042255 11:1.4671382 12:-0.81080836 13:1.8151875 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:254.30823 2:-8.412471 3:7.6391773 4:-1.4262613 5:0.47330794 6:-3.6767678 7:-1.6689379 8:-2.6087432 9:2.7798803 10:-2.7702525 11:0.87009287 12:-2.9334915 13:1.9974074 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:258.27112 2:-8.031214 3:8.618457 4:-0.5678504 5:0.21846229 6:-2.400909 7:1.6736531 8:-0.9628647 9:1.8037996 10:-2.2385726 11:1.3603206 12:-2.6352825 13:1.8645134 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:266.0435 2:-7.043595 3:2.9558575 4:-2.186605 5:5.8388243 6:-1.3618647 7:-0.13613077 8:-0.17112033 9:4.0847588 10:-2.5200956 11:1.0586853 12:-1.6425292 13:5.1505866 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:305.81876 2:-5.6415854 3:-12.202353 4:-2.7771447 5:11.313151 6:-1.481321 7:5.924361 8:-1.8432128 9:3.3638957 10:-7.5401907 11:-3.5890598 12:-5.2568207 13:5.2920284 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:276.9199 2:-4.264566 3:-0.90710205 4:-2.9611585 5:6.8437886 6:-2.4521167 7:2.1803117 8:-0.777947 9:4.783302 10:-2.5804944 11:-0.16878347 12:-3.0391963 13:5.3397365 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:273.91504 2:-9.77558 3:-1.9343966 4:0.49924752 5:8.91085 6:-2.3293142 7:2.9286168 8:0.8439228 9:4.0015807 10:-2.5586863 11:-0.6355317 12:-2.9322834 13:4.796496 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:285.3696 2:-9.2550335 3:-1.8401767 4:1.2284452 5:7.3427143 6:-3.9705863 7:4.2221746 8:1.679899 9:2.816716 10:-1.6796712 11:-0.5876114 12:-2.213371 13:6.3443537 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:265.68732 2:-6.6916246 3:6.4948664 4:1.320303 5:2.631614 6:-2.7222242 7:3.2468357 8:-0.29456255 9:2.8181596 10:-2.006045 11:0.05424644 12:-1.7980542 13:4.431208 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:267.03693 2:-5.209535 3:5.364878 4:-2.2514067 5:3.2175648 6:-2.0563982 7:2.1959147 8:-1.7147455 9:2.5038366 10:-1.8193953 11:0.2942075 12:-1.8277285 13:4.1013203 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:278.799 2:-10.749609 3:4.679423 4:4.3084517 5:-1.6982484 6:-4.406823 7:7.099113 8:-1.9094594 9:4.3059816 10:-0.86892796 11:-0.7620441 12:-1.9643266 13:3.4692302 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:274.51202 2:-8.527454 3:1.151861 4:-0.42658943 5:2.2013838 6:-4.4270177 7:2.1416273 8:-1.1575003 9:7.219082 10:1.2855123 11:-0.6503189 12:-1.579074 13:4.6037097 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:265.28326 2:-4.451799 3:8.280248 4:0.031409375 5:2.1922255 6:-1.0153785 7:3.5486102 8:0.09300064 9:4.375703 10:-2.7949831 11:2.494398 12:-0.7968691 13:3.415705 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
1 1:265.9631 2:-5.555061 3:7.374081 4:-0.9075418 5:1.1651486 6:-2.3625586 7:3.9529562 8:0.98257655 9:5.0824056 10:-2.1702473 11:2.2171025 12:-0.6795464 13:2.4703078 14:91.007095 15:3.7824707 16:4.41544 17:-1.2082243 18:2.5182774 19:1.0859498 20:2.9325204 21:-0.44719753 22:2.1677043 23:-0.25750569 24:2.0918794 25:-1.0637975 26:1.1542144 
