1 1:317.47427 2:4.7780857 3:14.627055 4:-1.0110264 5:8.790875 6:-3.1223483 7:1.5710676 8:0.047391076 9:4.1217923 10:-4.9518986 11:6.61876 12:2.3891106 13:6.288391 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:326.9733 2:3.45779 3:13.613742 4:0.34784377 5:6.7037425 6:-3.7715588 7:1.0802865 8:0.06496616 9:4.497288 10:-4.757601 11:6.863277 12:1.6742445 13:5.518169 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:319.51154 2:6.2492704 3:16.624535 4:0.09552233 5:6.8668566 6:-5.3873124 7:1.9794313 8:-0.52093065 9:5.939695 10:-5.1734033 11:6.398216 12:2.9683993 13:6.046689 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:332.48828 2:7.7368336 3:20.676937 4:4.171299 5:5.822368 6:-4.7310195 7:0.42077965 8:-3.4582086 9:4.6810493 10:-6.0123935 11:4.4366517 12:-0.10458193 13:4.0500526 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:349.41678 2:10.268383 3:21.625738 4:6.8654184 5:2.9498513 6:-9.658831 7:-2.5646064 8:-2.1044219 9:5.3959403 10:-5.440501 11:5.266998 12:-1.7738389 13:0.27661243 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:355.53558 2:10.725454 3:20.376299 4:6.9070315 5:1.7066953 6:-12.268725 7:-0.69891053 8:-1.3308578 9:5.2181664 10:-6.0528607 11:4.5494895 12:-2.5323842 13:-1.4970046 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:361.56784 2:9.983265 3:18.471676 4:7.360728 5:2.5561128 6:-12.70225 7:0.33404818 8:-0.96433836 9:5.0745206 10:-7.5274487 11:4.2723265 12:-2.8665655 13:-3.9493852 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:363.368 2:9.679223 3:18.438047 4:4.4676404 5:2.8644617 6:-9.58937 7:-0.81740916 8:0.022439372 9:4.6752377 10:-6.467929 11:3.595476 12:-4.6677623 13:-2.2507632 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:367.34097 2:9.913997 3:17.689943 4:3.172324 5:2.9333305 6:-8.982333 7:1.1687024 8:0.20916246 9:2.4526691 10:-4.856296 11:2.6793325 12:-5.188024 13:-1.7959853 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:370.15463 2:8.060148 3:16.080385 4:3.7327204 5:3.7201126 6:-7.106647 7:1.5322428 8:0.8150817 9:0.71433794 10:-6.6835566 11:4.449381 12:-5.0182557 13:-1.3801268 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:371.95258 2:5.5408044 3:14.137647 4:4.9584937 5:4.2233605 6:-3.6661072 7:3.250127 8:-1.349645 9:2.3117568 10:-8.574502 11:2.220506 12:-2.4731033 13:-1.4799943 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:371.89087 2:3.796226 3:10.9592705 4:4.475126 5:7.1637397 6:-0.53263444 7:3.9424815 8:-3.4910128 9:3.173537 10:-7.2212863 11:0.5474757 12:-2.5522282 13:0.15212415 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:371.1272 2:3.3404624 3:13.382892 4:4.6160755 5:4.7104483 6:-3.0053027 7:5.241356 8:0.36931425 9:2.628973 10:-7.4593263 11:1.6134336 12:-3.4613059 13:-1.2741091 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:371.5017 2:3.749648 3:13.360459 4:4.467301 5:5.301577 6:-0.20104414 7:5.454763 8:0.04752339 9:3.1734657 10:-9.55137 11:2.5990436 12:-2.3775818 13:-1.4900677 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:367.4999 2:4.4986005 3:14.745356 4:2.731398 5:5.9487534 6:1.7416544 7:5.1555934 8:1.217403 9:3.9349601 10:-7.3632994 11:2.2163854 12:-3.436231 13:1.0602586 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:368.44568 2:2.7293074 3:14.345387 4:3.741927 5:6.3449197 6:2.8362985 7:3.5456564 8:1.0999674 9:7.171709 10:-7.0593147 11:0.6035822 12:-3.1396835 13:0.97124857 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:362.14706 2:2.5064495 3:14.463167 4:1.8046292 5:7.443575 6:3.1106281 7:3.622762 8:0.42464772 9:4.5692425 10:-7.0744257 11:1.8999234 12:-1.156031 13:1.3739582 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:355.7924 2:1.0645751 3:17.69704 4:3.026193 5:4.801743 6:2.6549308 7:3.203956 8:-0.16518459 9:6.4305296 10:-5.8983393 11:0.21921529 12:-2.3471367 13:1.3366394 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
