2 1:288.1548 2:-2.3371117 3:7.094552 4:-2.0652187 5:-0.21255812 6:0.007370895 7:2.6428182 8:-3.5242224 9:1.9744767 10:-1.247801 11:5.2491746 12:-2.118436 13:1.4409539 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:292.57062 2:-0.857198 3:8.159303 4:-2.3858857 5:-0.2684358 6:-1.8510981 7:2.699013 8:-1.5249892 9:1.7423767 10:-1.3871796 11:4.716126 12:-3.5233102 13:1.5876358 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:285.28522 2:-1.8857964 3:8.414918 4:-1.4451988 5:1.0747263 6:-1.7086769 7:2.7841933 8:-2.1635904 9:1.34738 10:-2.2223678 11:3.4748328 12:-2.1115613 13:1.4870809 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:282.17514 2:-3.745059 3:8.470391 4:-1.3682314 5:1.6255682 6:-0.111744225 7:3.4000819 8:-1.8442341 9:0.7152847 10:-2.1414955 11:3.1885974 12:-2.2685933 13:1.6618382 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:281.8487 2:-2.8712897 3:8.6806555 4:-1.8195415 5:-1.559507 6:-3.8220997 7:3.8164222 8:-0.97439075 9:0.50214195 10:-2.1068752 11:2.6392722 12:-2.0301702 13:2.4314334 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:282.09836 2:-4.309967 3:4.767308 4:-2.4294062 5:-0.019234814 6:-1.2208997 7:6.309924 8:1.1693543 9:3.3499825 10:-2.764274 11:2.6422136 12:-2.7526526 13:1.6829538 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:286.14722 2:-1.6639346 3:6.235455 4:-3.0547693 5:-0.30561757 6:-1.4226941 7:5.456071 8:-0.55758953 9:3.0521939 10:-3.1983993 11:2.6066475 12:-0.6284845 13:1.6299286 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:289.53052 2:-1.1758071 3:4.707394 4:-1.9294405 5:-0.9280246 6:-2.2984543 7:5.7257285 8:-1.3309629 9:1.2768148 10:-3.0390122 11:4.4719653 12:-0.5109652 13:2.894765 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:288.09445 2:-2.3349276 3:4.387857 4:-3.7583685 5:-1.1739634 6:-2.6013796 7:6.897762 8:0.25958595 9:-0.7300965 10:-6.1160946 11:2.3001707 12:-2.5242844 13:2.3674512 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
2 1:288.33893 2:-2.1835787 3:9.093038 4:0.045868512 5:3.605742 6:-2.0504606 7:6.872 8:2.4790542 9:3.1844044 10:-1.4920325 11:4.3444204 12:-2.3755536 13:2.329732 14:98.49917 15:0.62210524 16:2.902118 17:0.103303306 18:0.9395954 19:-0.05438918 20:1.6459824 21:-1.5306349 22:0.9417736 23:-0.48778632 24:1.1799482 25:-0.80512863 26:-0.0854796 
