2 1:268.83414 2:-6.4236636 3:4.6922045 4:-0.47439128 5:0.9176172 6:-3.3284185 7:4.59918 8:-0.002483657 9:1.5559218 10:-2.1730623 11:1.3469324 12:-3.7182205 13:1.9279939 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:267.22388 2:-9.253972 3:4.348265 4:-0.17356679 5:0.3683893 6:-4.452516 7:2.8477073 8:0.51242846 9:1.988494 10:-3.089334 11:-0.099601425 12:-3.9585865 13:1.6107802 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:268.5172 2:-6.2767754 3:6.789673 4:0.7749298 5:2.1437373 6:-3.1436806 7:4.7230463 8:0.51161057 9:2.0054698 10:-2.6083663 11:0.5808975 12:-3.05884 13:2.8833485 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:266.97736 2:-6.5509667 3:5.2673764 4:-0.16314813 5:1.326348 6:-2.7860026 7:2.605105 8:-1.0809406 9:1.7065134 10:-2.7483172 11:1.2522374 12:-3.562639 13:1.7912643 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:268.963 2:-5.463583 3:6.084696 4:-0.7853251 5:1.4032446 6:-3.0303245 7:4.525017 8:-0.9161895 9:-1.1589795 10:-4.0827637 11:0.77282935 12:-2.3835168 13:3.0615585 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:272.99362 2:-5.66995 3:6.360629 4:-0.8635171 5:2.6997416 6:-3.634272 7:4.6643486 8:-0.40314254 9:0.5113 10:-3.1384265 11:0.07740037 12:-1.0212432 13:1.5340474 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:292.1618 2:-18.766083 3:8.853235 4:2.8563292 5:-2.6407006 6:-1.7722331 7:5.661969 8:-1.7139739 9:-1.4839627 10:-2.7342505 11:-1.8985116 12:1.0487723 13:0.33209336 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:287.70483 2:-18.140089 3:7.2410436 4:0.9820141 5:-4.11013 6:-1.1358742 7:5.7763643 8:-2.66877 9:-0.68575454 10:-1.276006 11:-0.7318135 12:1.2928178 13:1.9920402 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:283.09534 2:-17.856005 3:8.384144 4:2.445799 5:-2.7274222 6:-1.1741099 7:6.7440553 8:0.7628507 9:1.3468539 10:-0.5150264 11:-1.0403364 12:-0.1780753 13:0.8541187 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
2 1:275.85324 2:-17.79184 3:7.905917 4:3.3643427 5:0.02308425 6:0.50150186 7:5.6895566 8:-1.4730269 9:1.7531102 10:-0.49437174 11:-0.5213242 12:0.8797928 13:-0.08025351 14:111.28511 15:0.3111314 16:4.567859 17:2.084787 18:2.1393702 19:0.26622272 20:1.0992008 21:-1.0424798 22:1.5928314 23:-1.8040589 24:1.450329 25:-0.41973466 26:-0.23177858 
