1 1:292.91986 2:-5.8877335 3:-4.3337145 4:2.3859024 5:6.3458853 6:0.2584455 7:5.6644764 8:-1.4347138 9:6.332156 10:-1.6034542 11:3.5273404 12:-3.1660302 13:3.6564128 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:293.2745 2:-4.739361 3:-2.9561675 4:3.1429212 5:7.210745 6:-0.9008016 7:5.1610603 8:-1.4311212 9:5.239236 10:-2.4058487 11:2.357558 12:-4.3442783 13:3.004657 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:292.98358 2:-4.1371865 3:-2.9664392 4:2.8889534 5:5.9209476 6:-2.7176995 7:3.4382854 8:-2.989161 9:5.9411683 10:-0.5656521 11:4.114186 12:-2.4862885 13:3.9766681 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:289.53476 2:-5.830619 3:-3.5443838 4:0.5511953 5:6.7583737 6:-1.5616535 7:4.5428557 8:-2.277495 9:5.130961 10:-0.27572727 11:2.5882435 12:-2.969662 13:3.7550826 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:288.97733 2:-4.1528907 3:-2.0135667 4:0.92066556 5:7.1867247 6:0.36683667 7:5.591426 8:-2.1150212 9:5.4217496 10:-0.4981795 11:2.0340574 12:-2.2923205 13:3.7158477 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:288.14594 2:-4.69771 3:-1.9458368 4:1.7195716 5:7.9437613 6:-3.1453576 7:2.139882 8:-2.562082 9:4.9035797 10:-1.6446366 11:2.6095378 12:-3.880283 13:2.7088892 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:287.86823 2:-3.3048394 3:0.959811 4:2.6546805 5:6.3773065 6:-3.676369 7:3.3112984 8:-1.2243046 9:6.2532296 10:0.48494366 11:3.6640344 12:-2.9043794 13:2.3634596 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:286.28613 2:-4.1933503 3:-0.025202317 4:1.8232561 5:8.673255 6:-1.2876537 7:2.772885 8:-1.7431523 9:5.353194 10:0.04360324 11:1.9228598 12:-3.4380922 13:4.1727934 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:289.08102 2:-4.1277313 3:-0.44810125 4:1.60215 5:6.5846415 6:-3.1120021 7:2.8573768 8:-1.5662707 9:4.8353667 10:-0.40697885 11:2.7910717 12:-3.6665916 13:1.7415458 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:294.60925 2:1.394048 3:5.975354 4:4.1637077 5:11.72283 6:-0.9750146 7:3.264522 8:-1.2949685 9:4.224604 10:-1.173533 11:5.6366515 12:-2.415872 13:4.5498385 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:307.18307 2:9.377416 3:11.5055275 4:3.812636 5:12.379729 6:-1.4769994 7:4.542697 8:-3.0124502 9:4.341762 10:-2.9240546 11:5.703223 12:-2.7984593 13:5.997969 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:308.89505 2:12.043682 3:13.119185 4:3.612528 5:9.830195 6:-2.3025641 7:3.3083372 8:-3.791355 9:5.3213673 10:-2.0716867 11:6.528161 12:-2.5166163 13:6.6467705 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:311.72095 2:13.817525 3:14.091108 4:2.3110943 5:8.551358 6:-3.6594653 7:4.0952635 8:-3.3913093 9:5.5051136 10:-1.7909749 11:6.285616 12:-3.1684387 13:6.6165595 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:321.80453 2:16.832956 3:16.912622 4:0.4502861 5:8.732531 6:-3.0930943 7:5.0356793 8:-3.7510405 9:3.3363988 10:-4.978639 11:4.779702 12:-3.0647414 13:6.063662 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:325.72052 2:20.796215 3:18.950064 4:-0.62006307 5:6.7806263 6:-4.3384132 7:4.9067473 8:-5.902422 9:2.4389384 10:-5.7799406 11:5.4927087 12:-2.634732 13:6.219881 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:330.17538 2:22.383457 3:18.452925 4:-2.1761386 5:4.7159524 6:-6.153283 7:2.8446229 8:-6.430776 9:2.962526 10:-5.631549 11:6.311475 12:-2.475727 13:6.341478 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:334.6198 2:23.848827 3:19.008741 4:-6.118893 5:4.550199 6:-6.303591 7:4.5488 8:-5.5653243 9:3.1452398 10:-5.442998 11:6.1049585 12:-2.4421854 13:4.6080317 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
1 1:330.30902 2:24.65771 3:18.564247 4:-3.5998209 5:3.3800473 6:-4.794313 7:3.7025406 8:-7.0449753 9:4.645346 10:-5.336542 11:7.44144 12:-5.6510544 13:4.0749135 14:104.403534 15:6.1184516 16:3.3532922 17:-1.9127353 18:1.5820115 19:1.7663851 20:2.2413092 21:-1.6536163 22:2.2957046 23:-1.8700975 24:0.97177577 25:-1.846103 26:1.292256 
