1 1:267.59155 2:-2.74133 3:6.353374 4:-3.0042958 5:3.355677 6:-2.278086 7:-1.6313925 8:-3.9674444 9:5.91904 10:1.0855111 11:2.1446671 12:-1.5196482 13:4.774646 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:269.49838 2:-1.6961066 3:5.9104457 4:-3.6145303 5:2.7815604 6:-0.6222386 7:-0.36582237 8:-4.1129208 9:5.0540104 10:0.2825755 11:1.9736048 12:-2.1235406 13:4.6871104 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:295.54172 2:8.652167 3:10.354023 4:0.99503464 5:13.736111 6:2.719718 7:3.889915 8:-4.05043 9:2.0886407 10:-4.7248483 11:4.1795697 12:-3.5323808 13:1.0554109 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:282.86172 2:4.101085 3:12.174371 4:0.38065216 5:12.293255 6:3.6459517 7:2.8201418 8:-3.1374176 9:4.3485065 10:-0.8578343 11:2.171114 12:-4.286927 13:2.8235981 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:288.32288 2:7.2272844 3:14.997448 4:1.087838 5:10.762437 6:1.4263813 7:5.44193 8:-2.8955016 9:6.8069415 10:-1.1898056 11:5.3470383 12:-1.9349918 13:5.3548203 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:300.8709 2:14.03596 3:16.912447 4:-1.431308 5:11.143972 6:1.6896365 7:2.659858 8:-6.427678 9:7.817176 10:-0.79990816 11:5.6985955 12:-2.937951 13:6.7390366 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:306.83643 2:17.707844 3:15.23436 4:-5.5160184 5:10.375451 6:1.9179556 7:2.7344217 8:-6.189458 9:7.5167603 10:-1.1598909 11:5.036031 12:-2.4742022 13:7.2512116 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:307.11734 2:18.428215 3:16.982355 4:-3.2802186 5:9.565541 6:0.8746733 7:2.6847847 8:-5.47307 9:7.2973056 10:-1.7897133 11:5.9924703 12:-3.0078988 13:8.280064 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:306.6341 2:18.122194 3:17.665691 4:-5.488932 5:8.008358 6:1.5810109 7:3.837076 8:-4.366305 9:6.4780188 10:-3.4427392 11:6.198542 12:-1.0692003 13:7.8838143 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
1 1:313.33057 2:16.334475 3:17.548468 4:-3.2249844 5:7.8015747 6:0.4271021 7:4.2684965 8:-3.5660536 9:7.1566706 10:-2.8715007 11:5.5284157 12:-2.5627315 13:8.426178 14:105.00332 15:7.1400185 16:4.126022 17:-3.34292 18:1.0415394 19:2.5817847 20:2.9346416 21:-1.2771635 22:3.0093646 23:-2.2291126 24:1.5600775 25:-1.0764644 26:0.91805804 
