2 1:334.08313 2:18.749607 3:20.15721 4:-0.39977425 5:-2.1359894 6:-5.49284 7:6.0191536 8:-6.4226336 9:3.4894218 10:-4.810993 11:5.597297 12:-3.07814 13:3.896841 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:334.36853 2:20.449665 3:18.304907 4:-1.3634065 5:-2.357889 6:-4.9926987 7:6.3461924 8:-6.167797 9:4.1924644 10:-4.6090064 11:5.5930877 12:-4.3131957 13:4.2669463 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:333.36884 2:21.111738 3:17.119131 4:-2.0280743 5:-2.2627933 6:-7.269422 7:7.279518 8:-4.471898 9:3.6036904 10:-5.4717355 11:5.3298573 12:-5.698555 13:4.4473033 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:335.40607 2:22.587866 3:16.06191 4:-5.340621 5:-2.712922 6:-5.187212 7:8.736613 8:-4.4511952 9:3.638451 10:-6.372686 11:4.286382 12:-5.546809 13:3.7716858 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:336.95 2:23.96132 3:16.152018 4:-7.18678 5:-1.049755 6:-2.9307451 7:9.670078 8:-3.2334716 9:3.3502884 10:-7.65166 11:3.4149218 12:-6.569132 13:4.6744494 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:338.81952 2:22.947493 3:15.8989525 4:-5.831276 5:0.6261208 6:-1.5466284 7:10.356148 8:-2.6827564 9:3.583638 10:-9.092591 11:2.2865674 12:-6.5706124 13:4.899961 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:343.3246 2:17.54563 3:19.034843 4:-6.64526 5:1.9925848 6:1.6201738 7:11.969988 8:-3.052602 9:2.5673528 10:-8.685638 11:-0.083016396 12:-4.348639 13:3.5039418 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:341.77655 2:16.241224 3:18.243341 4:-6.2233934 5:3.4756484 6:4.738077 7:12.871464 8:-3.5845041 9:2.1345131 10:-7.8871465 11:1.6021795 12:-4.6534386 13:3.3789783 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:335.9339 2:19.506342 3:13.616693 4:-5.015634 5:5.894336 6:4.9980173 7:13.827004 8:-2.6737125 9:2.6287823 10:-7.9762754 11:5.0033116 12:-4.8320665 13:4.193634 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
2 1:334.40146 2:18.485918 3:11.546073 4:-6.292171 5:7.9450517 6:6.247277 7:14.124042 8:-2.4914591 9:3.5034702 10:-5.834621 11:5.389811 12:-4.5870852 13:4.3204484 14:102.35778 15:6.016246 16:3.0913756 17:-1.9799467 18:1.8626329 19:1.0318887 20:1.7562625 21:-1.3039455 22:2.7886033 23:-1.643161 24:1.0293869 25:-1.9836694 26:1.5181421 
