2 1:283.69748 2:-1.9272938 3:3.5500906 4:-3.2613547 5:3.0387363 6:-1.8032495 7:2.5491395 8:-3.280336 9:3.1554513 10:-0.7166086 11:1.7013136 12:-4.4071097 13:0.63404506 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:280.9677 2:-5.8515778 3:1.5227293 4:-3.3178227 5:5.1596336 6:-1.1096156 7:0.80836886 8:-5.4632726 9:0.16808055 10:-1.5628445 11:1.5388507 12:-4.8941274 13:-1.4136474 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:280.32437 2:-7.5847216 3:0.2870829 4:-2.2596672 5:5.9833384 6:-0.7286045 7:2.1529305 8:-2.5842423 9:2.1578734 10:-1.8658783 11:2.0200906 12:-3.667464 13:-0.98152614 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:283.27618 2:-5.982661 3:1.4457703 4:-2.0600538 5:4.7566867 6:-0.5989618 7:2.327564 8:-2.7044842 9:1.8742508 10:-2.1623402 11:2.393421 12:-2.7876976 13:0.39619094 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:293.19385 2:-2.7443552 3:3.8922656 4:-2.7436423 5:1.2669233 6:-3.2554264 7:2.3015406 8:-0.657245 9:4.507802 10:-0.18474488 11:3.775503 12:-1.9376035 13:1.3380421 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:295.09384 2:-0.8442883 3:5.816828 4:-3.6675763 5:0.7926252 6:-4.3260236 7:1.0198803 8:-2.5782492 9:3.3244894 10:-0.84701514 11:3.3114982 12:-1.0977758 13:0.9880892 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:299.83282 2:1.5206225 3:8.132759 4:-2.5746913 5:2.6607568 6:-1.6943184 7:2.0258198 8:-2.5478792 9:2.314419 10:-2.422362 11:3.814518 12:-1.793756 13:1.7870879 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:303.01428 2:0.41085672 3:7.683831 4:-0.99343836 5:1.7395484 6:-1.1856402 7:3.959581 8:-1.6342877 9:3.4025712 10:-2.7797036 11:2.312175 12:-2.4119897 13:1.9387406 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:297.03033 2:-3.5740347 3:6.259231 4:-2.7280016 5:0.029637264 6:-3.2844088 7:2.1820247 8:-0.80965817 9:3.961689 10:-1.2483319 11:1.4114056 12:-1.7030513 13:2.65937 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:288.7351 2:-7.299621 3:3.8525252 4:-3.0067153 5:1.7395141 6:-3.3007033 7:2.352352 8:0.7379804 9:3.4517424 10:-1.9034593 11:0.2960065 12:-2.9112046 13:3.2425015 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
