2 1:348.7227 2:25.678837 3:17.463337 4:-10.83945 5:2.8312976 6:-0.118093036 7:6.8869452 8:-7.7264476 9:2.951456 10:-0.41370484 11:2.701349 12:-9.002593 13:1.2717686 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:353.52353 2:19.174955 3:17.694752 4:-7.4181714 5:1.049782 6:1.2627892 7:6.3025627 8:-7.7755094 9:6.067532 10:-3.4716616 11:3.321684 12:-6.182654 13:-2.099213 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:347.8232 2:20.043648 3:18.216682 4:-10.321359 5:3.436535 6:2.3334482 7:6.760844 8:-7.534414 9:3.4407346 10:-1.0317823 11:3.2255769 12:-5.7167206 13:-0.82290643 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:347.68814 2:17.408583 3:16.530592 4:-6.2851562 5:2.7675478 6:3.5753744 7:5.63039 8:-5.8361826 9:3.8796027 10:-2.9384677 11:4.6009345 12:-6.8592424 13:0.83847046 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:343.40137 2:19.214857 3:18.007637 4:-7.6472588 5:2.893134 6:4.622314 7:7.36874 8:-5.6844983 9:2.6149282 10:-2.4846287 11:6.221075 12:-7.1740317 13:0.40040433 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:348.32507 2:16.137625 3:15.671158 4:-6.1557775 5:4.167318 6:5.3230476 7:5.920474 8:-2.956788 9:4.80818 10:-4.198675 11:2.850882 12:-5.734532 13:2.6160817 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:345.9079 2:16.384813 3:16.648083 4:-6.9976597 5:4.2457952 6:4.465482 7:8.537226 8:-2.2592192 9:3.0480468 10:-2.2951424 11:3.4702718 12:-5.078407 13:1.0049117 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:341.9756 2:18.719442 3:17.177525 4:-8.079403 5:4.213796 6:5.3280325 7:9.644426 8:-1.5486333 9:3.6266663 10:-2.2547712 11:4.2728615 12:-7.54475 13:2.42751 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:334.19635 2:18.50013 3:20.189642 4:-8.302461 5:3.1531012 6:4.2097807 7:11.150189 8:-0.92769915 9:4.6256833 10:-1.8750231 11:3.677493 12:-7.2510686 13:1.6610663 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
2 1:332.36874 2:17.301455 3:18.962042 4:-5.6765137 5:3.8998652 6:1.6013724 7:9.749165 8:0.2812227 9:5.8562994 10:-1.7433585 11:2.5292954 12:-7.2776847 13:2.0814674 14:100.81197 15:7.833919 16:4.43583 17:-1.8729787 18:1.3254111 19:-0.1566256 20:2.1152723 21:-3.6906908 22:1.3040133 23:-0.5644155 24:1.6136041 25:-1.4330977 26:1.332154 
