2 1:291.65366 2:-2.2936175 3:3.6607463 4:-4.281405 5:-1.8185545 6:-1.945397 7:5.556086 8:-0.49792585 9:1.9148709 10:-4.476432 11:1.6789969 12:-0.42117548 13:3.1701083 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:288.49268 2:-5.1889186 3:4.8391075 4:-1.0052534 5:-1.3784075 6:-1.4673831 7:3.1877973 8:-3.4337056 9:1.3569615 10:-3.923435 11:1.7365152 12:-0.4482613 13:2.9678648 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:289.23386 2:-4.8916063 3:6.0095515 4:-2.9660842 5:-2.1361308 6:-0.05753747 7:4.7001753 8:-0.016800094 9:1.7766799 10:-3.0905588 11:3.2301056 12:-1.3675168 13:3.813767 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:305.32675 2:3.2070487 3:10.105696 4:-0.49399188 5:2.4401293 6:0.53565234 7:5.9517374 8:-0.7049803 9:3.7957587 10:-3.5760033 11:5.165842 12:-0.5098102 13:5.667132 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:307.9079 2:4.0155363 3:12.753705 4:1.2577102 5:5.914158 6:2.9445422 7:9.149584 8:-0.61679 9:3.920476 10:-5.655777 11:4.921742 12:-0.023690341 13:6.42226 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:309.42374 2:1.4139495 3:12.048694 4:0.32343704 5:6.617589 6:1.9315196 7:7.886351 8:1.00325 9:3.846613 10:-5.3923187 11:5.390228 12:1.109655 13:7.4103885 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:315.163 2:6.692948 3:15.63562 4:0.4224641 5:9.180619 6:-0.98805976 7:4.849645 8:-0.104060486 9:2.1239781 10:-4.3461623 11:7.427449 12:1.1538812 13:8.571124 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:311.29187 2:6.935403 3:17.855927 4:2.605789 5:9.0087385 6:-0.6224749 7:4.51368 8:-0.6876954 9:2.8787982 10:-4.662386 11:9.581482 12:-1.4566674 13:8.895408 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:333.4647 2:9.773042 3:23.400888 4:3.0009592 5:8.622667 6:-0.914342 7:2.511999 8:-2.5177522 9:0.87927294 10:-6.0352435 11:6.4344573 12:-1.1991963 13:4.784562 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:354.2007 2:11.042858 3:24.055054 4:1.1821234 5:4.3140535 6:-3.1374898 7:1.4049219 8:-4.179255 9:1.6249712 10:-4.5977387 11:5.8108163 12:-1.088068 13:-0.10858446 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:366.45898 2:10.239152 3:21.23589 4:2.7813735 5:2.5438297 6:-3.9816148 7:2.0530932 8:-4.578296 9:3.614926 10:-6.3333464 11:4.0554805 12:-0.47570556 13:-0.6310016 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:369.41275 2:10.80644 3:19.488523 4:1.1449497 5:5.0252833 6:-6.2762146 7:3.6320426 8:-4.1893177 9:2.5521138 10:-5.3687916 11:3.0351195 12:-0.87658614 13:-1.1383867 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:373.5714 2:10.792887 3:17.734135 4:2.3143728 5:4.60095 6:-8.035623 7:4.05108 8:-2.4868026 9:4.0015535 10:-4.786526 11:2.3778188 12:-4.895888 13:-0.0697066 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:374.00693 2:10.221134 3:16.760275 4:3.2042034 5:5.426837 6:-7.502031 7:3.8130524 8:-2.4415252 9:5.1127424 10:-6.2719173 11:2.2051983 12:-4.838241 13:-1.2966074 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:370.59045 2:10.768664 3:17.778164 4:1.611111 5:4.772235 6:-3.7260482 7:4.1283274 8:-1.6596861 9:4.726788 10:-8.258331 11:3.21248 12:-4.923326 13:-0.8699899 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:378.0287 2:8.187446 3:14.835717 4:3.0714715 5:4.3944774 6:-1.986604 7:7.449338 8:-1.9048169 9:2.824287 10:-7.2522473 11:2.5419233 12:-6.4237266 13:-0.40006295 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:376.97818 2:7.581409 3:15.795186 4:3.8229861 5:3.2241971 6:2.0049024 7:7.9331875 8:-1.7637058 9:3.0273507 10:-8.870191 11:2.614887 12:-6.846554 13:-0.2849496 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
2 1:378.1889 2:6.629839 3:14.450877 4:4.5864153 5:1.840071 6:4.6719966 7:7.939196 8:-0.8122772 9:3.6963794 10:-10.255464 11:4.050951 12:-6.1373935 13:1.5682702 14:87.94692 15:1.7321956 16:4.737765 17:1.5227981 18:2.8915763 19:-1.0092622 20:1.3702282 21:-0.7791746 22:0.87676513 23:-1.5860164 24:0.9315822 25:-0.6201095 26:1.8242334 
