2 1:282.41397 2:-5.415937 3:2.5300376 4:5.960294 5:4.701216 6:-5.636806 7:5.4030433 8:-1.8818929 9:3.9285362 10:-1.2876323 11:0.75382185 12:-2.679697 13:1.7370656 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:266.2607 2:-6.5668736 3:5.181254 4:1.5173196 5:1.1038021 6:-5.199653 7:5.200627 8:-0.28669605 9:3.4973602 10:-2.1193852 11:1.7373598 12:-2.880887 13:1.5550553 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:279.69507 2:-5.1148505 3:-2.1161623 4:-6.9203987 5:-0.8553361 6:-4.506236 7:6.0528293 8:0.9439266 9:4.581157 10:-5.66218 11:-0.95883393 12:-1.3930812 13:3.7499595 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:272.57333 2:-5.8088255 3:2.2270656 4:-3.6001494 5:0.04944432 6:-2.9853945 7:6.969716 8:3.0539782 9:4.1254783 10:-2.8267188 11:0.6783669 12:-1.966396 13:3.8988588 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:270.7547 2:-4.9230494 3:4.535222 4:-1.1184617 5:2.3837302 6:-3.0113344 7:6.077515 8:0.2343007 9:1.7285607 10:-1.7662054 11:2.670515 12:-2.701107 13:3.3695238 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:269.82263 2:-5.3434606 3:7.034584 4:0.40787885 5:0.9986059 6:-3.3033228 7:5.90353 8:0.98602265 9:3.525661 10:-0.4316227 11:2.9385839 12:-2.6150641 13:3.0220797 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:285.2512 2:2.9300356 3:10.778151 4:0.88181335 5:3.7761188 6:-2.5832694 7:6.927957 8:-0.51555574 9:4.747875 10:-1.5106171 11:5.841226 12:-2.3723238 13:3.4047194 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:310.24692 2:15.029374 3:12.464953 4:-3.9549608 5:6.4712825 6:-1.2285738 7:6.219766 8:-3.3216784 9:7.5265737 10:-0.6309338 11:6.809392 12:-4.0036774 13:5.3325777 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:322.27295 2:19.871 3:9.954226 4:-8.882556 5:5.188163 6:0.27103555 7:6.251123 8:-5.028909 9:7.8693647 10:-0.34410065 11:6.0377975 12:-4.4933763 13:5.56453 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:327.75317 2:22.458212 3:9.528446 4:-10.136117 5:5.579005 6:-0.060736574 7:6.864365 8:-5.4491515 9:7.4795094 10:-0.3597971 11:5.948525 12:-5.139553 13:5.4714375 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:327.66376 2:22.598461 3:9.659462 4:-10.335845 5:5.7143917 6:1.5420358 7:7.205191 8:-6.407522 9:7.8049216 10:0.36716014 11:5.5996847 12:-5.1857395 13:5.7977033 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:329.36044 2:21.702818 3:10.480056 4:-10.145758 5:5.9803214 6:1.7863878 7:6.4481378 8:-5.855986 9:7.4666867 10:-0.49343237 11:6.7653685 12:-5.4749455 13:5.730333 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:327.77206 2:21.373625 3:11.468198 4:-9.234497 5:5.9769344 6:0.033816535 7:7.353193 8:-5.112333 9:6.3261356 10:0.06142485 11:6.376345 12:-4.584946 13:5.2792754 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:341.31302 2:16.450386 3:12.680174 4:-6.0374722 5:5.205081 6:2.013689 7:6.7919693 8:-5.555346 9:6.0910344 10:-2.0098221 11:3.5947917 12:-4.2361403 13:2.9703925 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:341.27032 2:24.284468 3:19.171535 4:-9.105192 5:5.1481256 6:-1.6182483 7:4.6580095 8:-9.741925 9:5.809901 10:-2.2675073 11:4.1806984 12:-5.733875 13:3.6964316 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:343.9993 2:21.693707 3:17.625101 4:-7.95941 5:2.5027008 6:-4.185923 7:3.546666 8:-7.159279 9:5.5247874 10:-3.08255 11:5.243849 12:-4.6319323 13:1.9857702 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:345.9383 2:20.19906 3:19.484318 4:-8.427923 5:1.0348302 6:-3.2787826 7:4.6014132 8:-6.271005 9:6.3380046 10:-2.3051047 11:2.0729444 12:-4.3896093 13:0.9325782 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:340.96814 2:23.38636 3:18.527538 4:-9.421991 5:1.7365565 6:-3.7278385 7:5.3381085 8:-5.6300793 9:5.9304624 10:-2.402654 11:2.430646 12:-5.748373 13:1.1668483 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
2 1:336.07303 2:21.819721 3:18.70744 4:-7.6722946 5:0.9753183 6:-2.3273718 7:6.793335 8:-6.414381 9:7.6484466 10:-2.5828753 11:1.595022 12:-6.7595253 13:0.9869894 14:95.77325 15:5.2559705 16:5.225022 17:0.7633982 18:1.6436079 19:-0.46082395 20:2.1289132 21:-3.4333544 22:0.55308723 23:-1.1296737 24:1.2259113 25:-0.70357585 26:1.6238538 
