1 1:260.90048 2:-6.86969 3:9.70126 4:-0.2526627 5:0.35218528 6:-1.6257902 7:4.290921 8:0.37246746 9:3.3888774 10:-1.1632365 11:2.339026 12:-1.4509649 13:2.087138 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:256.8927 2:-8.729242 3:8.731315 4:-2.2764108 5:-0.65864265 6:-2.6804857 7:2.6927555 8:-0.27935958 9:1.9841785 10:-1.4564849 11:1.4590576 12:-2.1042717 13:1.6190886 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:260.45517 2:-10.186816 3:9.854801 4:-2.8080375 5:1.6275227 6:-1.2256997 7:0.9530407 8:-0.7275005 9:2.2542202 10:-0.8919231 11:1.3931508 12:-0.13288204 13:0.9075357 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:259.878 2:-6.9329367 3:11.215409 4:0.54945076 5:3.867834 6:-0.28743917 7:2.1307287 8:-0.83155537 9:1.7484303 10:0.280194 11:3.465477 12:-1.3125936 13:1.0466304 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:258.6167 2:-8.171934 3:7.7690763 4:-3.5859408 5:-0.01679149 6:-2.1586957 7:1.3445425 8:0.4236532 9:4.257425 10:0.29540297 11:4.2077127 12:-0.81528383 13:2.731829 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:260.473 2:-9.020752 3:8.127038 4:0.5070536 5:0.46481174 6:-1.9871799 7:3.9146209 8:-0.037423197 9:4.517154 10:-0.086194046 11:2.6374257 12:0.24735872 13:2.6560442 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:280.0436 2:-13.52792 3:3.4798343 4:9.090508 5:1.3211758 6:-4.8631725 7:7.0548687 8:-3.8755312 9:4.2182503 10:-2.1865072 11:1.189052 12:1.70923 13:2.0033329 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:258.74295 2:-10.484781 3:6.939378 4:1.8888439 5:1.0042977 6:-1.955787 7:2.3612807 8:-1.6412939 9:3.917849 10:-0.20303053 11:1.7812687 12:-1.3909843 13:2.9243228 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:259.87054 2:-7.9279637 3:7.3994946 4:-1.0166354 5:1.8625145 6:-2.220658 7:1.1628019 8:-0.9139712 9:2.44185 10:-1.8618319 11:1.753385 12:-1.2811464 13:0.7733998 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.63794 2:-7.064373 3:5.479115 4:2.3147783 5:4.1280723 6:-1.85485 7:1.5414275 8:-2.2932417 9:3.161158 10:-1.9486077 11:1.3859315 12:-0.0314819 13:1.7116761 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:258.2408 2:-5.9392843 3:11.097357 4:-0.15913945 5:1.8443934 6:-1.3517832 7:2.2037427 8:-0.43026495 9:3.6649454 10:-1.1044104 11:2.3596625 12:-1.0085431 13:1.4544423 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:257.66418 2:-8.032153 3:9.159585 4:-0.5183411 5:-0.34061146 6:-3.4169946 7:2.0129175 8:-0.48149097 9:2.6658869 10:-1.099187 11:1.9020877 12:-1.9768859 13:1.6300812 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:255.59924 2:-7.6228256 3:8.529782 4:-1.688996 5:1.2976233 6:-1.918687 7:2.121936 8:-0.8581108 9:1.8724757 10:-1.0768006 11:1.6881698 12:-1.4069709 13:1.9264845 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:255.97061 2:-8.360568 3:10.26219 4:-0.53377414 5:1.2474296 6:-1.2029705 7:4.4129095 8:1.5184956 9:2.959257 10:-1.5629325 11:2.3310332 12:-1.373345 13:1.3975604 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:257.061 2:-7.2108517 3:7.3269053 4:-2.4505281 5:1.2298751 6:-0.89208543 7:4.0846105 8:0.36844125 9:2.188135 10:-0.48185313 11:2.6756318 12:-1.9555235 13:2.029792 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:260.81168 2:-6.4954057 3:7.4447713 4:-0.2599941 5:4.2097135 6:-0.80241436 7:3.4359245 8:1.317055 9:4.610989 10:-0.35892102 11:2.9307735 12:0.35216945 13:2.6761546 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:264.0889 2:-6.621815 3:4.3684516 4:-2.4721627 5:4.1970224 6:-0.36139968 7:2.1404915 8:1.0383362 9:5.0221987 10:-2.163041 11:1.9504522 12:0.0024665873 13:2.2271926 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:260.82037 2:-7.1530247 3:8.507551 4:-0.24060601 5:2.0810325 6:-0.7602479 7:4.2704864 8:1.3110427 9:5.5666237 10:-2.1015704 11:1.542705 12:-1.3128282 13:2.2373269 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
