2 1:209.15964 2:5.346459 3:5.857725 4:-1.3066105 5:5.1432037 6:1.9583416 7:1.4286612 8:-5.2862372 9:2.0738888 10:-2.8305702 11:3.2741432 12:-3.140115 13:4.6943226 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.15964 2:5.346459 3:5.857725 4:-1.3066105 5:5.1432037 6:1.9583416 7:1.4286612 8:-5.2862372 9:2.0738888 10:-2.8305702 11:3.2741432 12:-3.140115 13:4.6943226 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.29742 2:5.033557 3:-0.630533 4:-2.088048 5:5.3152447 6:-1.5837497 7:2.4139168 8:-5.126479 9:2.8754528 10:-3.7855084 11:4.081773 12:-2.943579 13:2.8779895 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.29742 2:5.033557 3:-0.630533 4:-2.088048 5:5.3152447 6:-1.5837497 7:2.4139168 8:-5.126479 9:2.8754528 10:-3.7855084 11:4.081773 12:-2.943579 13:2.8779895 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:206.53883 2:4.475923 3:1.5688151 4:-1.4535916 5:5.66728 6:-1.8502512 7:4.347321 8:-3.3938036 9:2.5503032 10:-3.756071 11:-0.16129786 12:-1.6382035 13:2.3489673 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:206.53883 2:4.475923 3:1.5688151 4:-1.4535916 5:5.66728 6:-1.8502512 7:4.347321 8:-3.3938036 9:2.5503032 10:-3.756071 11:-0.16129786 12:-1.6382035 13:2.3489673 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:210.88841 2:7.6914687 3:3.03558 4:-2.7074442 5:6.3742766 6:-0.71198195 7:4.378228 8:-2.4544277 9:3.391063 10:-3.0619302 11:3.951298 12:-2.1671283 13:1.9481362 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:210.88841 2:7.6914687 3:3.03558 4:-2.7074442 5:6.3742766 6:-0.71198195 7:4.378228 8:-2.4544277 9:3.391063 10:-3.0619302 11:3.951298 12:-2.1671283 13:1.9481362 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.4996 2:5.7750974 3:3.0914621 4:-1.1916513 5:3.3844712 6:-2.1850142 7:2.6010106 8:-3.4762316 9:1.1816819 10:-4.072666 11:6.5072637 12:-3.7937613 13:2.7416267 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.4996 2:5.7750974 3:3.0914621 4:-1.1916513 5:3.3844712 6:-2.1850142 7:2.6010106 8:-3.4762316 9:1.1816819 10:-4.072666 11:6.5072637 12:-3.7937613 13:2.7416267 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.13313 2:5.3918805 3:0.56834096 4:-2.3500888 5:3.275815 6:-1.4385415 7:3.801888 8:-3.896299 9:1.6610761 10:-3.6471317 11:4.858764 12:-2.617004 13:3.3598976 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.13313 2:5.3918805 3:0.56834096 4:-2.3500888 5:3.275815 6:-1.4385415 7:3.801888 8:-3.896299 9:1.6610761 10:-3.6471317 11:4.858764 12:-2.617004 13:3.3598976 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.06606 2:6.836091 3:0.9780137 4:-1.5810491 5:4.28273 6:-2.0469904 7:2.0693238 8:-3.7061567 9:2.3097885 10:-4.759419 11:2.7734 12:-1.4498488 13:4.449283 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.06606 2:6.836091 3:0.9780137 4:-1.5810491 5:4.28273 6:-2.0469904 7:2.0693238 8:-3.7061567 9:2.3097885 10:-4.759419 11:2.7734 12:-1.4498488 13:4.449283 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:210.25526 2:6.5019574 3:0.27767253 4:-1.7049507 5:6.0394115 6:-1.9399948 7:1.9991416 8:-4.934985 9:2.0207548 10:-3.767652 11:4.591011 12:-2.1004157 13:3.230136 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
