1 1:208.47649 2:9.924527 3:6.1848927 4:-1.9454314 5:7.2957544 6:-1.5587257 7:4.5896487 8:-4.3729043 9:1.8322352 10:-0.3854317 11:3.2410731 12:-3.675615 13:4.2924533 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:208.47649 2:9.924527 3:6.1848927 4:-1.9454314 5:7.2957544 6:-1.5587257 7:4.5896487 8:-4.3729043 9:1.8322352 10:-0.3854317 11:3.2410731 12:-3.675615 13:4.2924533 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.53552 2:6.8258333 3:3.7753794 4:-3.1080148 5:2.3716333 6:-1.2401115 7:7.973773 8:-0.1924291 9:3.054351 10:-2.9256315 11:3.8676367 12:-2.7876265 13:2.668267 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.53552 2:6.8258333 3:3.7753794 4:-3.1080148 5:2.3716333 6:-1.2401115 7:7.973773 8:-0.1924291 9:3.054351 10:-2.9256315 11:3.8676367 12:-2.7876265 13:2.668267 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.27339 2:8.147994 3:9.0038185 4:1.1302613 5:5.495733 6:-2.4391596 7:1.4406623 8:-2.9891987 9:3.6082397 10:-1.8398801 11:1.9310232 12:-4.543849 13:4.594192 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.27339 2:8.147994 3:9.0038185 4:1.1302613 5:5.495733 6:-2.4391596 7:1.4406623 8:-2.9891987 9:3.6082397 10:-1.8398801 11:1.9310232 12:-4.543849 13:4.594192 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.3487 2:8.758301 3:6.5053563 4:-2.7171307 5:6.8924274 6:-0.19995819 7:1.4523249 8:-3.619767 9:6.991271 10:-1.7857864 11:3.6118627 12:-3.1941228 13:1.3736007 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.3487 2:8.758301 3:6.5053563 4:-2.7171307 5:6.8924274 6:-0.19995819 7:1.4523249 8:-3.619767 9:6.991271 10:-1.7857864 11:3.6118627 12:-3.1941228 13:1.3736007 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:210.90762 2:9.492938 3:8.522306 4:-0.74483764 5:5.7256746 6:-1.9274313 7:1.0630907 8:-3.0550854 9:3.4777293 10:-3.3482323 11:4.26915 12:-5.0731993 13:2.974109 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:210.90762 2:9.492938 3:8.522306 4:-0.74483764 5:5.7256746 6:-1.9274313 7:1.0630907 8:-3.0550854 9:3.4777293 10:-3.3482323 11:4.26915 12:-5.0731993 13:2.974109 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
