2 1:215.6765 2:1.2967436 3:4.089589 4:0.14645329 5:2.151256 6:-1.3760303 7:-1.7533411 8:-6.41406 9:2.33242 10:-0.79386175 11:1.5618417 12:-4.8561754 13:3.9568353 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:215.6765 2:1.2967436 3:4.089589 4:0.14645329 5:2.151256 6:-1.3760303 7:-1.7533411 8:-6.41406 9:2.33242 10:-0.79386175 11:1.5618417 12:-4.8561754 13:3.9568353 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.42775 2:-3.4235897 3:1.5295826 4:-1.8114083 5:2.4338815 6:0.8325155 7:2.8965604 8:-4.442726 9:1.4440279 10:-2.0208237 11:2.5943847 12:-3.790441 13:2.4080472 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.42775 2:-3.4235897 3:1.5295826 4:-1.8114083 5:2.4338815 6:0.8325155 7:2.8965604 8:-4.442726 9:1.4440279 10:-2.0208237 11:2.5943847 12:-3.790441 13:2.4080472 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:210.12543 2:-3.2887464 3:0.9809395 4:-2.6458058 5:1.8990191 6:0.299306 7:3.7766294 8:-4.0634866 9:1.8773167 10:-2.3166418 11:1.8461679 12:-4.573315 13:0.049381 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:210.12543 2:-3.2887464 3:0.9809395 4:-2.6458058 5:1.8990191 6:0.299306 7:3.7766294 8:-4.0634866 9:1.8773167 10:-2.3166418 11:1.8461679 12:-4.573315 13:0.049381 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:212.77777 2:-4.416915 3:3.401438 4:-0.97722375 5:4.8922634 6:-0.83457696 7:-1.0851283 8:-2.4882076 9:0.3852133 10:-0.8036405 11:4.462091 12:-3.091252 13:2.069839 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:212.77777 2:-4.416915 3:3.401438 4:-0.97722375 5:4.8922634 6:-0.83457696 7:-1.0851283 8:-2.4882076 9:0.3852133 10:-0.8036405 11:4.462091 12:-3.091252 13:2.069839 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:225.6348 2:-9.676246 3:5.2434278 4:6.0034604 5:-2.7595043 6:-2.8283107 7:0.17185545 8:-5.2334127 9:1.3118525 10:-6.780895 11:3.946687 12:-3.3777041 13:-0.30724517 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:225.6348 2:-9.676246 3:5.2434278 4:6.0034604 5:-2.7595043 6:-2.8283107 7:0.17185545 8:-5.2334127 9:1.3118525 10:-6.780895 11:3.946687 12:-3.3777041 13:-0.30724517 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
