1 1:208.16603 2:2.6703012 3:0.4379314 4:-4.966467 5:1.1234157 6:-6.31153 7:-0.6883753 8:-3.2668264 9:2.730719 10:-0.22422831 11:4.6463723 12:-2.9105542 13:5.546712 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.58371 2:2.7062256 3:-0.024417542 4:-2.7411325 5:2.9478025 6:-3.4604645 7:2.0821764 8:-4.1669216 9:4.5331583 10:-0.43105012 11:3.899628 12:-1.3366247 13:2.922723 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:210.58371 2:2.7062256 3:-0.024417542 4:-2.7411325 5:2.9478025 6:-3.4604645 7:2.0821764 8:-4.1669216 9:4.5331583 10:-0.43105012 11:3.899628 12:-1.3366247 13:2.922723 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:211.02472 2:6.8655725 3:1.8812478 4:0.8341701 5:4.662187 6:0.37473235 7:1.1100523 8:-7.0980306 9:3.7743201 10:-3.1298122 11:4.352868 12:-3.5013273 13:1.9065368 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:211.02472 2:6.8655725 3:1.8812478 4:0.8341701 5:4.662187 6:0.37473235 7:1.1100523 8:-7.0980306 9:3.7743201 10:-3.1298122 11:4.352868 12:-3.5013273 13:1.9065368 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:207.82553 2:3.8239644 3:-0.43467504 4:-4.414337 5:0.17771745 6:-3.5330582 7:1.634988 8:-5.3902717 9:2.1873057 10:-0.06552912 11:3.964736 12:-3.0809355 13:3.5425053 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:207.82553 2:3.8239644 3:-0.43467504 4:-4.414337 5:0.17771745 6:-3.5330582 7:1.634988 8:-5.3902717 9:2.1873057 10:-0.06552912 11:3.964736 12:-3.0809355 13:3.5425053 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:204.64642 2:2.4311056 3:-0.023340102 4:-3.3343425 5:4.7808523 6:-3.2892778 7:-0.13288264 8:-3.5573795 9:4.2174773 10:-0.31694043 11:4.416518 12:-1.538408 13:3.2337904 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:204.64642 2:2.4311056 3:-0.023340102 4:-3.3343425 5:4.7808523 6:-3.2892778 7:-0.13288264 8:-3.5573795 9:4.2174773 10:-0.31694043 11:4.416518 12:-1.538408 13:3.2337904 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.51056 2:5.000749 3:2.71783 4:-1.030157 5:7.714265 6:-2.5575128 7:-2.085121 8:-3.8368132 9:2.4612982 10:-3.8221014 11:3.3739135 12:-1.2438186 13:1.8883144 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.51056 2:5.000749 3:2.71783 4:-1.030157 5:7.714265 6:-2.5575128 7:-2.085121 8:-3.8368132 9:2.4612982 10:-3.8221014 11:3.3739135 12:-1.2438186 13:1.8883144 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:204.0312 2:1.9507279 3:-0.89300245 4:-3.4478161 5:1.6031648 6:-7.051833 7:0.9312231 8:-4.3384857 9:4.1521554 10:1.1189514 11:3.9408445 12:-1.5613142 13:3.3988314 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:204.0312 2:1.9507279 3:-0.89300245 4:-3.4478161 5:1.6031648 6:-7.051833 7:0.9312231 8:-4.3384857 9:4.1521554 10:1.1189514 11:3.9408445 12:-1.5613142 13:3.3988314 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.78575 2:2.6279795 3:-0.99806833 4:-1.3340636 5:5.0950933 6:-2.8232672 7:0.72466177 8:-3.5254824 9:4.4506392 10:1.5525346 11:6.514414 12:0.3845881 13:3.1564372 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.78575 2:2.6279795 3:-0.99806833 4:-1.3340636 5:5.0950933 6:-2.8232672 7:0.72466177 8:-3.5254824 9:4.4506392 10:1.5525346 11:6.514414 12:0.3845881 13:3.1564372 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:214.41933 2:6.6984987 3:1.115244 4:-2.2653344 5:5.2712193 6:-2.3108475 7:2.8663793 8:-3.338903 9:0.9718445 10:-2.6133413 11:5.1230936 12:-3.2709002 13:3.8311894 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:214.41933 2:6.6984987 3:1.115244 4:-2.2653344 5:5.2712193 6:-2.3108475 7:2.8663793 8:-3.338903 9:0.9718445 10:-2.6133413 11:5.1230936 12:-3.2709002 13:3.8311894 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
