1 1:237.78912 2:8.145081 3:2.7486818 4:-6.6470356 5:6.072582 6:-1.0157014 7:3.5459917 8:-1.2741449 9:2.222629 10:-5.5065284 11:5.1505275 12:1.1028056 13:3.692943 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:233.43617 2:7.136341 3:1.540539 4:-6.6457376 5:3.8127935 6:-2.4097424 7:2.841439 8:-4.027452 9:2.509201 10:-3.6171048 11:5.856472 12:0.61511326 13:3.630221 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:234.91093 2:5.5024643 3:1.6395628 4:-5.283624 5:4.814711 6:0.30784768 7:2.1030421 8:-6.4706297 9:2.6275911 10:-2.1235943 11:6.242756 12:-1.138681 13:3.682444 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:234.05145 2:5.4740953 3:0.14487818 4:-8.904343 5:1.885406 6:-1.4858195 7:1.4015722 8:-6.3091874 9:3.1902988 10:-3.3604882 11:5.3510747 12:0.30921698 13:3.7619193 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:239.57721 2:3.51828 3:4.9429765 4:-9.596708 5:4.8295097 6:0.794677 7:-0.5739974 8:-4.322764 9:1.6310148 10:-3.3850434 11:1.8075161 12:-0.97220486 13:2.7295935 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:246.04079 2:3.0046902 3:3.788729 4:-7.7955985 5:4.506047 6:-1.5592247 7:1.4634022 8:-3.0127168 9:0.40588954 10:-3.27397 11:1.9473498 12:-2.6259506 13:2.5990689 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:259.57092 2:0.39823174 3:3.0657527 4:-4.381307 5:3.5247073 6:-3.9871094 7:4.2080226 8:-1.2365918 9:-1.5574108 10:-2.4066322 11:2.269925 12:-3.3929555 13:2.5747957 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:261.5043 2:1.6757965 3:4.8786144 4:-3.6605353 5:5.1887426 6:-3.12021 7:2.1519477 8:-4.5016747 9:-1.1537985 10:-0.943874 11:3.1685731 12:-2.7584333 13:2.5119781 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:255.60983 2:-1.7850596 3:6.486272 4:-5.9537516 5:3.7849188 6:0.659836 7:-2.7532814 8:-2.7224762 9:2.6307032 10:-1.5730287 11:4.271987 12:-1.0727789 13:4.4080753 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:253.56523 2:-1.3122234 3:7.6385093 4:-6.9469695 5:3.8378394 6:-0.22115052 7:-3.4547567 8:-0.97730833 9:2.088077 10:-3.2246382 11:2.0901673 12:-2.7369592 13:3.1212063 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
