2 1:299.93195 2:19.091696 3:3.7402961 4:1.7523766 5:10.608694 6:0.994782 7:9.112505 8:-4.90294 9:4.120209 10:-5.6935477 11:1.89529 12:-4.4888406 13:6.3139296 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:302.82452 2:19.507788 3:1.2494856 4:2.6379404 5:9.62328 6:-0.60530496 7:9.33629 8:-5.90901 9:5.5787764 10:-6.786772 11:2.1470068 12:-4.6160064 13:4.9042063 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:306.76242 2:22.370771 3:-2.1593788 4:3.351006 5:11.356228 6:-3.2154293 7:10.902593 8:-5.6439996 9:4.2121806 10:-4.684991 11:0.6476613 12:-5.237156 13:5.429504 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:307.02292 2:21.76662 3:-1.0611807 4:3.1816974 5:11.692876 6:-3.4401035 7:11.122191 8:-5.799869 9:4.3281507 10:-4.3970437 11:0.88516325 12:-5.467586 13:4.870115 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:311.48648 2:21.541927 3:-1.9321183 4:4.119949 5:10.361127 6:-2.7468011 7:10.783747 8:-4.535306 9:4.1532383 10:-4.6573353 11:2.2558987 12:-6.2881083 13:5.765908 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:313.12292 2:20.27857 3:-0.51884395 4:3.5351975 5:10.751187 6:-3.4209757 7:10.994667 8:-4.4525914 9:4.6105323 10:-4.0435843 11:2.0825057 12:-5.7673297 13:4.6631293 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:312.29233 2:23.121216 3:-2.1133077 4:4.7055492 5:10.10791 6:-4.0054708 7:11.663577 8:-5.010153 9:5.267624 10:-4.569431 11:2.617219 12:-6.23954 13:5.3874226 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:316.9328 2:24.128546 3:-1.5634658 4:4.2638826 5:8.717222 6:-6.219794 7:10.364173 8:-5.4872637 9:5.3149705 10:-3.3946128 11:3.5826817 12:-5.8898525 13:5.9821997 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:332.2024 2:27.551542 3:1.6296681 4:1.1641834 5:1.7689518 6:-11.216219 7:11.241076 8:-6.3419533 9:2.881061 10:-2.5285385 11:4.4482636 12:-9.271641 13:7.865484 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:337.98227 2:28.156284 3:1.551979 4:0.08525428 5:0.2739198 6:-11.260564 7:12.798198 8:-6.315954 9:2.670254 10:-2.1230304 11:4.4717317 12:-9.722924 13:9.222959 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
