1 1:225.79816 2:3.2919762 3:4.363933 4:-2.9076695 5:2.7197983 6:0.62460035 7:4.0771437 8:-2.4119332 9:1.6893954 10:-2.918826 11:1.4847955 12:-2.4537 13:3.9283164 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.64568 2:2.2255876 3:1.7815329 4:-5.3412075 5:-0.22956795 6:0.039617147 7:6.130745 8:-1.395286 9:1.8065604 10:-1.4073975 11:4.3826313 12:-1.5657067 13:2.7333713 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:223.7887 2:2.0320568 3:4.836452 4:-3.618208 5:3.142262 6:-0.70206124 7:3.3946476 8:-0.97772473 9:0.24903749 10:-2.281185 11:4.0964255 12:-1.6509888 13:3.758178 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.03024 2:2.5585403 3:5.7157545 4:-4.209592 5:3.0814261 6:0.29203135 7:5.5752435 8:0.026824115 9:1.8268291 10:-1.774571 11:3.5781815 12:-1.4150747 13:3.6546888 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.16982 2:2.615244 3:3.2623682 4:-2.2586997 5:3.8933032 6:-0.59551716 7:3.5921917 8:-1.6881558 9:3.3764687 10:-0.67083186 11:4.8919706 12:-2.195788 13:2.5058563 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.24507 2:-0.04729619 3:3.1709611 4:-1.1355462 5:5.4922457 6:-2.1428814 7:2.5536652 8:-0.60012203 9:3.8912275 10:1.0868142 11:6.572877 12:-0.8929571 13:2.2689548 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:224.7116 2:0.15980509 3:4.3591437 4:-2.5785575 5:-0.48803735 6:-3.2996218 7:5.3053904 8:-1.197586 9:5.197893 10:-1.2806726 11:4.3788943 12:-0.8554829 13:3.170008 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.2024 2:1.4614469 3:2.7771678 4:-2.3476832 5:1.7794644 6:-2.0579612 7:5.3253655 8:-2.4254732 9:3.760133 10:-1.5365796 11:5.369999 12:-0.09069839 13:4.488856 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.41289 2:3.435286 3:3.4289632 4:-3.1728554 5:4.609696 6:0.48805556 7:4.8849096 8:-1.5539843 9:3.7502477 10:-1.533684 11:3.360073 12:-3.0419939 13:3.2523572 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:230.14119 2:3.8799946 3:4.6805944 4:-4.5160427 5:3.6296415 6:0.15773754 7:3.8445952 8:-2.867419 9:1.576912 10:-2.2041352 11:3.1284056 12:-2.19776 13:3.1447437 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.18402 2:1.0250129 3:2.2178369 4:-4.9965987 5:4.0538077 6:0.73802966 7:5.8591623 8:-1.0473632 9:4.4975014 10:-1.2569741 11:3.607656 12:-1.3291523 13:1.4051441 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.48972 2:3.2525818 3:5.075836 4:-2.8555508 5:3.4385097 6:-0.8760477 7:6.3439455 8:-0.9623221 9:4.217288 10:-0.0377387 11:4.6461005 12:-0.25308707 13:3.9473994 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:233.86525 2:4.052842 3:4.7158957 4:-2.1369727 5:3.723106 6:0.843078 7:6.5845337 8:-1.0271174 9:4.0981956 10:0.2661645 11:5.908084 12:-2.8800194 13:3.441387 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:230.4092 2:3.0703018 3:2.413677 4:-4.4653616 5:1.604977 6:-6.529179E-4 7:5.2343235 8:-1.2342856 9:3.920006 10:-0.44730031 11:4.775319 12:-2.7202735 13:4.3209267 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.39401 2:-0.24387787 3:-0.5138437 4:-3.3522143 5:2.4272075 6:-0.62731516 7:4.59517 8:1.8532007 9:8.405167 10:-0.7823391 11:3.3575556 12:-1.5241683 13:5.037186 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:227.14398 2:0.47826827 3:0.3357882 4:-2.4575846 5:2.375192 6:0.5425198 7:6.738248 8:0.5867379 9:6.398832 10:-3.7651994 11:1.0375036 12:-2.9539278 13:3.4354048 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:228.62871 2:2.655855 3:4.3053694 4:-1.2889184 5:2.6671896 6:0.08650237 7:6.0475197 8:-1.9989849 9:4.309559 10:-3.4435782 11:3.0589015 12:-2.5304072 13:2.35298 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.5613 2:4.481865 3:5.830992 4:-0.063999794 5:3.4948215 6:0.35396653 7:6.609144 8:-1.6080843 9:4.9668217 10:-1.3656673 11:3.7819865 12:-3.12322 13:2.1632922 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:252.56859 2:14.695304 3:11.684333 4:-0.098812506 5:7.767816 6:2.2539926 7:10.863436 8:-2.836392 9:6.021821 10:-5.7366457 11:1.8134178 12:-4.46552 13:3.6740108 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:260.6721 2:18.22542 3:12.59787 4:0.14689726 5:7.936471 6:1.0639715 7:10.662395 8:-3.257174 9:7.6915264 10:-5.121219 11:0.85848 12:-5.05118 13:4.4978476 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:270.87894 2:16.509382 3:6.6823897 4:1.480234 5:7.5119677 6:-1.640709 7:11.302069 8:-2.0163124 9:8.9951515 10:-4.070696 11:1.9689023 12:-5.1617513 13:3.155925 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:274.89075 2:16.66575 3:7.1439424 4:2.4774234 5:7.7764673 6:-2.5482886 7:10.342598 8:-1.7849624 9:9.4495125 10:-4.25039 11:1.9279621 12:-4.445314 13:3.0870132 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:272.60556 2:20.1787 3:5.739953 4:0.8708915 5:7.972053 6:-3.2232666 7:11.507141 8:-1.9992737 9:9.335775 10:-2.8507855 11:1.7144178 12:-5.1389074 13:4.9624224 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:275.56796 2:20.289026 3:6.511374 4:-0.55844 5:8.36512 6:-4.2504177 7:10.483093 8:-1.4421747 9:8.822459 10:-3.1070144 11:1.3856318 12:-4.0655813 13:4.9962363 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:278.8781 2:17.570532 3:9.840068 4:-2.56786 5:9.205932 6:-3.7218802 7:7.2928863 8:-1.9717677 9:9.356562 10:-5.0196424 11:1.799282 12:-1.6409899 13:4.7330027 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:287.00198 2:22.26934 3:12.368626 4:-4.1931987 5:8.255122 6:-7.648827 7:4.493318 8:-2.9940248 9:8.293505 10:-5.660026 11:2.8070123 12:-2.3088608 13:4.268515 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:295.75485 2:30.476225 3:8.723787 4:-4.179868 5:3.2324407 6:-11.191418 7:6.107194 8:-3.9704852 9:7.1778603 10:-5.5660663 11:5.3976197 12:-6.6446066 13:4.0523176 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
