1 1:201.72772 2:-3.606462 3:0.6801869 4:0.6402438 5:2.575589 6:1.380365 7:3.6340017 8:-1.028243 9:5.68109 10:-3.442256 11:4.034106 12:-2.3067667 13:2.5678515 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:221.40106 2:-6.4998584 3:-3.3045228 4:9.355743 5:2.0986645 6:-0.14584732 7:6.6808686 8:-1.3827884 9:7.3147526 10:-2.963904 11:4.968591 12:-5.224053 13:1.4419569 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:221.40106 2:-6.4998584 3:-3.3045228 4:9.355743 5:2.0986645 6:-0.14584732 7:6.6808686 8:-1.3827884 9:7.3147526 10:-2.963904 11:4.968591 12:-5.224053 13:1.4419569 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:207.00696 2:0.62785536 3:0.020581234 4:6.190494 5:5.914883 6:-4.717144 7:0.9793051 8:-1.475277 9:6.0634513 10:-5.562756 11:1.7285839 12:-1.6019137 13:4.1307783 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:207.00696 2:0.62785536 3:0.020581234 4:6.190494 5:5.914883 6:-4.717144 7:0.9793051 8:-1.475277 9:6.0634513 10:-5.562756 11:1.7285839 12:-1.6019137 13:4.1307783 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:208.41017 2:0.37446818 3:0.41182914 4:-1.0629481 5:4.1975737 6:-2.066549 7:1.7860668 8:-1.1491932 9:4.1434965 10:-2.4505289 11:3.3257763 12:-2.2474957 13:2.8617334 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:208.41017 2:0.37446818 3:0.41182914 4:-1.0629481 5:4.1975737 6:-2.066549 7:1.7860668 8:-1.1491932 9:4.1434965 10:-2.4505289 11:3.3257763 12:-2.2474957 13:2.8617334 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:201.2331 2:-3.2274063 3:0.34396735 4:-1.7273146 5:6.3793497 6:-3.6750526 7:-0.73654556 8:-0.9076512 9:4.161637 10:0.16126132 11:3.7327363 12:-1.6360002 13:5.1647267 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:201.2331 2:-3.2274063 3:0.34396735 4:-1.7273146 5:6.3793497 6:-3.6750526 7:-0.73654556 8:-0.9076512 9:4.161637 10:0.16126132 11:3.7327363 12:-1.6360002 13:5.1647267 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:207.71632 2:-0.3352854 3:0.53268725 4:3.8992195 5:6.791469 6:-0.13197418 7:4.520028 8:-2.2545838 9:2.1535857 10:-2.7412722 11:4.687595 12:-3.4164753 13:8.212357 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:207.71632 2:-0.3352854 3:0.53268725 4:3.8992195 5:6.791469 6:-0.13197418 7:4.520028 8:-2.2545838 9:2.1535857 10:-2.7412722 11:4.687595 12:-3.4164753 13:8.212357 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:221.22179 2:3.8983166 3:4.3167114 4:4.975365 5:11.757723 6:-0.10568376 7:5.1372957 8:-0.63303584 9:5.4994106 10:-5.779618 11:4.148404 12:-3.268493 13:4.3088655 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:221.22179 2:3.8983166 3:4.3167114 4:4.975365 5:11.757723 6:-0.10568376 7:5.1372957 8:-0.63303584 9:5.4994106 10:-5.779618 11:4.148404 12:-3.268493 13:4.3088655 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:242.89294 2:12.416566 3:6.8910136 4:5.633259 5:14.701496 6:-1.4158344 7:5.3549747 8:-4.2174177 9:4.9343195 10:-5.6337295 11:6.8944364 12:-6.3548007 13:5.393675 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:242.89294 2:12.416566 3:6.8910136 4:5.633259 5:14.701496 6:-1.4158344 7:5.3549747 8:-4.2174177 9:4.9343195 10:-5.6337295 11:6.8944364 12:-6.3548007 13:5.393675 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:274.10593 2:10.310437 3:3.9829237 4:2.832855 5:16.561838 6:0.16054878 7:2.7491367 8:-2.8619359 9:2.8268194 10:-8.685497 11:6.620299 12:-5.2467904 13:5.167896 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:274.10593 2:10.310437 3:3.9829237 4:2.832855 5:16.561838 6:0.16054878 7:2.7491367 8:-2.8619359 9:2.8268194 10:-8.685497 11:6.620299 12:-5.2467904 13:5.167896 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:284.20825 2:9.526011 3:0.012230182 4:0.22181818 5:13.246877 6:-1.0055399 7:3.4362352 8:-1.6769437 9:4.0644817 10:-8.107297 11:5.6368093 12:-6.5591965 13:4.9240165 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:284.20825 2:9.526011 3:0.012230182 4:0.22181818 5:13.246877 6:-1.0055399 7:3.4362352 8:-1.6769437 9:4.0644817 10:-8.107297 11:5.6368093 12:-6.5591965 13:4.9240165 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:283.48438 2:10.7574835 3:2.1090214 4:-0.0044678287 5:15.448542 6:-0.06314277 7:4.257494 8:-1.224855 9:3.5042956 10:-7.4421883 11:5.698234 12:-6.484035 13:6.159208 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:283.48438 2:10.7574835 3:2.1090214 4:-0.0044678287 5:15.448542 6:-0.06314277 7:4.257494 8:-1.224855 9:3.5042956 10:-7.4421883 11:5.698234 12:-6.484035 13:6.159208 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:291.407 2:10.837993 3:2.093533 4:-0.278945 5:15.225002 6:0.10330676 7:4.294003 8:-0.9076332 9:3.0288444 10:-7.7018003 11:5.110594 12:-6.459602 13:6.538658 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:291.407 2:10.837993 3:2.093533 4:-0.278945 5:15.225002 6:0.10330676 7:4.294003 8:-0.9076332 9:3.0288444 10:-7.7018003 11:5.110594 12:-6.459602 13:6.538658 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
