2 1:110.98574 2:3.19893 3:10.987873 4:-2.0766888 5:3.4359553 6:-3.3150234 7:-0.6939595 8:-2.2562952 9:3.5720315 10:0.19344011 11:4.8489594 12:-0.009919777 13:2.1987698 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:111.00897 2:0.58256805 3:7.846358 4:-1.3651102 5:0.6702683 6:-4.9024177 7:0.42849487 8:-3.887495 9:1.0561628 10:0.59323555 11:6.7972274 12:0.77660096 13:3.1976147 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:111.00897 2:0.58256805 3:7.846358 4:-1.3651102 5:0.6702683 6:-4.9024177 7:0.42849487 8:-3.887495 9:1.0561628 10:0.59323555 11:6.7972274 12:0.77660096 13:3.1976147 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:114.11288 2:1.4251331 3:4.3153634 4:-2.1167924 5:2.1240418 6:-3.4847858 7:-0.14450791 8:-5.220949 9:1.3325695 10:-0.52513915 11:5.2380843 12:0.5560163 13:4.8555846 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:114.11288 2:1.4251331 3:4.3153634 4:-2.1167924 5:2.1240418 6:-3.4847858 7:-0.14450791 8:-5.220949 9:1.3325695 10:-0.52513915 11:5.2380843 12:0.5560163 13:4.8555846 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:142.58717 2:10.164062 3:10.444815 4:-5.6571145 5:-4.1210027 6:-10.819057 7:-0.86614263 8:-3.821859 9:6.068502 10:-0.014696067 11:3.8533187 12:-1.4735792 13:3.3829732 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:142.58717 2:10.164062 3:10.444815 4:-5.6571145 5:-4.1210027 6:-10.819057 7:-0.86614263 8:-3.821859 9:6.068502 10:-0.014696067 11:3.8533187 12:-1.4735792 13:3.3829732 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:173.35046 2:12.733085 3:5.693511 4:-9.804686 5:-6.9380894 6:-12.652699 7:-3.1669364 8:-6.240325 9:0.70943385 10:-2.8433897 11:7.225905 12:-1.453238 13:5.1041417 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:173.35046 2:12.733085 3:5.693511 4:-9.804686 5:-6.9380894 6:-12.652699 7:-3.1669364 8:-6.240325 9:0.70943385 10:-2.8433897 11:7.225905 12:-1.453238 13:5.1041417 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:179.63133 2:15.617183 3:10.997916 4:-8.423634 5:-1.6027282 6:-5.666976 7:-2.599506 8:-7.305922 9:4.4511786 10:-2.979619 11:4.8769107 12:-1.8797405 13:5.7466416 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:179.63133 2:15.617183 3:10.997916 4:-8.423634 5:-1.6027282 6:-5.666976 7:-2.599506 8:-7.305922 9:4.4511786 10:-2.979619 11:4.8769107 12:-1.8797405 13:5.7466416 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:193.26016 2:20.047915 3:14.282062 4:-8.52898 5:-0.41819528 6:-8.839513 7:1.9071925 8:-5.5034513 9:6.3372083 10:1.0425894 11:8.34079 12:-3.2835147 13:6.30967 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:193.26016 2:20.047915 3:14.282062 4:-8.52898 5:-0.41819528 6:-8.839513 7:1.9071925 8:-5.5034513 9:6.3372083 10:1.0425894 11:8.34079 12:-3.2835147 13:6.30967 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:192.77814 2:18.239243 3:14.645031 4:-5.525842 5:-1.5677164 6:-11.598396 7:0.3809356 8:-9.313638 9:7.6513915 10:0.6521062 11:7.413821 12:-0.6585775 13:5.281103 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:192.77814 2:18.239243 3:14.645031 4:-5.525842 5:-1.5677164 6:-11.598396 7:0.3809356 8:-9.313638 9:7.6513915 10:0.6521062 11:7.413821 12:-0.6585775 13:5.281103 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:191.75015 2:13.850611 3:11.718651 4:-5.396204 5:0.7339164 6:-8.446669 7:-0.534681 8:-4.8368325 9:4.778888 10:-0.05213207 11:6.2025194 12:-0.60839343 13:4.781073 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
