2 1:229.74063 2:3.5728855 3:6.382731 4:-2.1029754 5:1.0452666 6:-2.535451 7:3.359653 8:-2.646469 9:3.1463425 10:-1.6053457 11:3.6988795 12:-1.7339119 13:3.4109237 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.09222 2:3.8185084 3:3.7550273 4:-3.6242282 5:1.2708274 6:-2.2027168 7:2.8148818 8:-2.8761957 9:2.6008282 10:-0.09097637 11:3.2945147 12:-2.5581915 13:4.3941097 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:237.05484 2:5.0006056 3:4.3579164 4:-4.072998 5:1.1414824 6:-5.4683065 7:1.5826644 8:-0.8831941 9:4.02056 10:-0.4341866 11:3.651542 12:-2.8598726 13:3.896182 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:239.26205 2:6.118687 3:7.1231346 4:-2.366007 5:1.6986939 6:-4.995166 7:1.5087355 8:-2.3354232 9:2.2593982 10:-2.3802314 11:1.0355363 12:-2.6141667 13:3.7990456 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:232.88257 2:5.5344787 3:2.8136554 4:-2.9942284 5:3.0730913 6:-1.1051561 7:5.184942 8:-1.3255779 9:3.0870168 10:-2.095331 11:5.0768466 12:-2.3732762 13:2.482717 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.7262 2:2.2818677 3:1.5087527 4:-4.205071 5:3.4512925 6:-1.5157602 7:3.4647665 8:-0.26682323 9:4.0942044 10:-3.0481362 11:3.6029537 12:-1.613766 13:2.928901 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:233.47783 2:1.8563966 3:2.3323789 4:-4.3737507 5:1.4889286 6:-0.61607265 7:2.897206 8:-0.9119536 9:2.994619 10:-3.4183104 11:3.9244366 12:-0.853033 13:3.2800589 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.5325 2:0.38504258 3:1.3371949 4:-6.513971 5:0.34437066 6:-1.1046065 7:3.5422747 8:-0.95291984 9:0.96557826 10:-3.947682 11:3.511556 12:-2.1880517 13:1.44816 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:230.69193 2:2.8801875 3:3.7365716 4:-1.9191978 5:0.70098364 6:-3.6116688 7:3.4044456 8:-4.42776 9:1.1650116 10:-3.2455437 11:3.189201 12:-1.469165 13:2.74276 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.6092 2:3.0850453 3:2.9931319 4:-3.3266532 5:1.7573988 6:-3.936629 7:2.5028262 8:-3.282965 9:1.2235745 10:-2.4676971 11:4.7337117 12:-1.4514344 13:2.8312654 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
