2 1:134.46364 2:0.27462944 3:8.626757 4:0.43714288 5:-0.62215954 6:-6.154444 7:1.6868421 8:-6.232299 9:2.0807683 10:1.0025278 11:3.8250685 12:-1.5694395 13:3.5887866 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:122.081726 2:-0.5422026 3:8.027066 4:1.7154258 5:2.2109118 6:-8.447954 7:3.4980357 8:-1.7394946 9:4.2025657 10:-1.4254925 11:3.823618 12:-2.1138124 13:3.4428637 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:122.081726 2:-0.5422026 3:8.027066 4:1.7154258 5:2.2109118 6:-8.447954 7:3.4980357 8:-1.7394946 9:4.2025657 10:-1.4254925 11:3.823618 12:-2.1138124 13:3.4428637 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:119.10953 2:-0.4912387 3:11.169347 4:-4.146197 5:1.089363 6:-4.631543 7:1.8571081 8:-2.313967 9:1.4143915 10:2.14915 11:-0.89252746 12:1.1949373 13:2.6259077 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:119.10953 2:-0.4912387 3:11.169347 4:-4.146197 5:1.089363 6:-4.631543 7:1.8571081 8:-2.313967 9:1.4143915 10:2.14915 11:-0.89252746 12:1.1949373 13:2.6259077 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:111.1468 2:0.78022426 3:8.794512 4:-0.205443 5:1.1286494 6:-5.103161 7:-0.19079068 8:-5.945841 9:0.25563213 10:-0.14967759 11:5.1414776 12:-2.0586562 13:3.6999502 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:111.1468 2:0.78022426 3:8.794512 4:-0.205443 5:1.1286494 6:-5.103161 7:-0.19079068 8:-5.945841 9:0.25563213 10:-0.14967759 11:5.1414776 12:-2.0586562 13:3.6999502 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:108.77036 2:-1.9805238 3:6.905338 4:1.9741584 5:1.809748 6:-3.023049 7:0.9285367 8:-5.528995 9:-0.9985471 10:0.38191962 11:5.9609256 12:-3.6304893 13:3.4985206 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:108.77036 2:-1.9805238 3:6.905338 4:1.9741584 5:1.809748 6:-3.023049 7:0.9285367 8:-5.528995 9:-0.9985471 10:0.38191962 11:5.9609256 12:-3.6304893 13:3.4985206 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:105.61235 2:-3.8872557 3:1.758061 4:-0.47843614 5:0.82160574 6:-4.2538857 7:2.5474017 8:-2.3507576 9:-0.55690026 10:-0.4491364 11:3.5794814 12:-1.8753814 13:6.3134727 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:105.61235 2:-3.8872557 3:1.758061 4:-0.47843614 5:0.82160574 6:-4.2538857 7:2.5474017 8:-2.3507576 9:-0.55690026 10:-0.4491364 11:3.5794814 12:-1.8753814 13:6.3134727 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:99.45294 2:-3.4932835 3:6.215426 4:-0.14595036 5:4.220222 6:-4.7590995 7:2.3134842 8:-1.2000495 9:3.4682229 10:-0.92116725 11:4.2446656 12:-2.066528 13:2.5077755 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:99.45294 2:-3.4932835 3:6.215426 4:-0.14595036 5:4.220222 6:-4.7590995 7:2.3134842 8:-1.2000495 9:3.4682229 10:-0.92116725 11:4.2446656 12:-2.066528 13:2.5077755 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:102.864365 2:-1.1034269 3:9.691846 4:1.1577821 5:3.732985 6:-1.2507541 7:3.658262 8:1.4520959 9:3.0108569 10:-1.2277077 11:4.231854 12:-3.2400992 13:1.438581 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:102.864365 2:-1.1034269 3:9.691846 4:1.1577821 5:3.732985 6:-1.2507541 7:3.658262 8:1.4520959 9:3.0108569 10:-1.2277077 11:4.231854 12:-3.2400992 13:1.438581 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:105.636475 2:0.49445656 3:4.6555357 4:-2.9238768 5:1.7671615 6:-3.0714614 7:2.7050457 8:-2.1135628 9:3.1688752 10:-0.34522715 11:1.2508566 12:-2.698498 13:3.7278244 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:105.636475 2:0.49445656 3:4.6555357 4:-2.9238768 5:1.7671615 6:-3.0714614 7:2.7050457 8:-2.1135628 9:3.1688752 10:-0.34522715 11:1.2508566 12:-2.698498 13:3.7278244 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:102.22459 2:1.4367068 3:6.356809 4:-2.3531904 5:0.35893863 6:-0.43842885 7:6.1962185 8:-3.3702116 9:1.4907053 10:-2.9606164 11:2.7421534 12:-1.9618683 13:2.8175611 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:102.22459 2:1.4367068 3:6.356809 4:-2.3531904 5:0.35893863 6:-0.43842885 7:6.1962185 8:-3.3702116 9:1.4907053 10:-2.9606164 11:2.7421534 12:-1.9618683 13:2.8175611 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:98.919914 2:-2.3150973 3:10.096996 4:2.1554635 5:1.4394716 6:-1.2307433 7:5.939231 8:-0.87223655 9:4.2556906 10:0.09240537 11:1.1846588 12:-3.467684 13:2.6912913 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:98.919914 2:-2.3150973 3:10.096996 4:2.1554635 5:1.4394716 6:-1.2307433 7:5.939231 8:-0.87223655 9:4.2556906 10:0.09240537 11:1.1846588 12:-3.467684 13:2.6912913 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:104.48358 2:-2.4467485 3:6.4193583 4:-0.8921198 5:1.4875578 6:-1.8401097 7:5.0641947 8:-0.4209328 9:2.66492 10:-1.7883507 11:1.5541402 12:-3.3519971 13:1.9336125 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
