2 1:232.49603 2:4.341933 3:2.761958 4:-5.9845185 5:1.6026121 6:-1.2858132 7:3.9195154 8:-3.0572717 9:2.7867713 10:-2.4454823 11:4.312567 12:-1.8202546 13:2.4462056 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:239.4759 2:4.0626807 3:5.3119383 4:-3.4353516 5:2.0136871 6:-2.6021676 7:2.673076 8:-2.5154083 9:2.6977437 10:-4.407019 11:1.1791648 12:-3.072377 13:1.8544354 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:237.42413 2:5.306156 3:4.801226 4:-4.252027 5:1.1375641 6:-3.1855285 7:2.4530582 8:-2.0140975 9:2.0609877 10:-3.9048495 11:2.8253894 12:-3.8016295 13:2.2954319 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:233.98355 2:5.4740767 3:3.942097 4:-6.2230597 5:1.9134567 6:-2.1400998 7:2.8714762 8:-1.7905706 9:4.3025804 10:-0.5443226 11:4.2154756 12:-3.2878792 13:2.5849378 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.79733 2:3.7029858 3:2.9620192 4:-4.6786757 5:1.1750149 6:-2.8856077 7:4.0466924 8:-2.33369 9:3.1124427 10:-2.1051836 11:4.806967 12:-2.115627 13:2.6892178 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.02676 2:2.0383346 3:1.5642778 4:-5.3370466 5:1.4816918 6:-1.3649089 7:5.6249404 8:-0.4712414 9:3.40989 10:-4.1542773 11:3.689588 12:-0.8062081 13:5.005547 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.95047 2:5.7028255 3:2.529033 4:-4.0125065 5:1.4992518 6:-1.9421824 7:4.598022 8:-1.2042739 9:4.0012956 10:-2.8992887 11:4.2676435 12:-1.9961103 13:4.786096 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:231.39238 2:6.536227 3:3.1087587 4:-3.0835822 5:-0.24689433 6:-3.2652583 7:5.6200356 8:-2.1370974 9:3.2027843 10:-1.2285525 11:4.425476 12:-3.5763998 13:5.329005 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:232.66489 2:6.2277546 3:0.8643942 4:-5.7698793 5:1.4314599 6:-1.3578898 7:5.4534416 8:-2.2458327 9:3.8365555 10:-3.3760114 11:3.0834894 12:-2.55183 13:4.7173114 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.53453 2:3.6313272 3:4.9673777 4:-5.7922435 5:1.3103906 6:-2.211828 7:4.136706 8:-0.121058896 9:4.395504 10:-1.3065715 11:4.572337 12:-1.8573387 13:2.0144036 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.9109 2:1.9943619 3:4.9117165 4:-2.8398662 5:2.1934767 6:-1.5230373 7:5.756638 8:0.18805738 9:3.7775908 10:-1.2849765 11:3.3930054 12:-2.2993166 13:3.4494438 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:232.75778 2:5.2977467 3:4.131802 4:-4.9966545 5:1.6465265 6:-1.286442 7:6.5225143 8:-0.80856276 9:3.048737 10:-1.3549876 11:3.4026074 12:-4.6918483 13:1.6597203 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.69647 2:3.3753433 3:3.049699 4:-4.494264 5:2.0266116 6:-2.0644596 7:4.0642266 8:-3.0936673 9:2.8935714 10:-0.28773054 11:5.050717 12:-1.9096745 13:2.3927903 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.95448 2:3.5321732 3:2.3329713 4:-2.4759288 5:2.3483372 6:-3.046302 7:2.764765 8:0.37760273 9:5.124585 10:-3.3278027 11:2.7283416 12:-2.4945228 13:2.5992553 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:232.39223 2:4.437912 3:4.259161 4:-2.3909383 5:1.4806074 6:-3.7901042 7:2.5049417 8:-1.2687521 9:4.7819543 10:-2.0974917 11:4.041668 12:-0.65579534 13:4.852335 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.72005 2:1.8051213 3:4.25772 4:-5.148941 5:1.1967756 6:-1.4511899 7:5.3581543 8:-3.8511424 9:1.8508412 10:0.7912754 11:2.6534607 12:-1.2502755 13:3.0665567 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.57404 2:1.8234234 3:3.3236837 4:-3.2505577 5:1.6669204 6:-0.5247261 7:6.1729765 8:-3.6910772 9:1.8383696 10:0.18145154 11:3.8902502 12:-0.7506444 13:3.7459822 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:233.03235 2:5.0299187 3:3.6834598 4:-2.1495626 5:2.5973313 6:-0.67937267 7:6.3192697 8:-0.8529349 9:5.2423882 10:-2.3198574 11:4.5404987 12:-2.341753 13:1.5907099 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:234.98152 2:5.89817 3:7.062829 4:-0.8634929 5:1.3129346 6:-3.0247905 7:4.9838214 8:-2.0361412 9:4.9666314 10:-2.356695 11:4.453212 12:-3.0179856 13:1.7270299 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:235.99321 2:7.584269 3:9.714343 4:1.006321 5:4.9153605 6:-2.78475 7:5.2773004 8:-1.4256307 9:3.9188504 10:-2.758278 11:3.3203666 12:-2.8045292 13:2.610034 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:250.28442 2:15.293098 3:11.864216 4:1.1215527 5:7.620942 6:-1.9441159 7:8.368811 8:-2.800951 9:4.9218297 10:-5.1165667 11:2.6714048 12:-4.2260838 13:4.431315 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:270.808 2:20.745861 3:8.316896 4:-0.532607 5:9.112201 6:-0.21568821 7:9.516144 8:-2.3627076 9:7.1266446 10:-7.354329 11:2.9803534 12:-4.5542026 13:4.987992 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:272.6972 2:19.963531 3:4.213469 4:-2.3234897 5:10.062952 6:-0.51531136 7:9.3640175 8:-1.1618733 9:7.9624586 10:-7.0579305 11:2.4850197 12:-4.6594977 13:5.0773935 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:273.5707 2:20.873478 3:5.6206384 4:-2.718849 5:9.689379 6:-0.8448597 7:8.148144 8:-0.8579896 9:9.12786 10:-6.8819885 11:1.7501625 12:-3.857631 13:3.589036 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:276.36447 2:20.90481 3:4.9065247 4:-2.6548016 5:7.679927 6:-0.99999994 7:7.4037466 8:-1.4418349 9:10.812624 10:-6.7700944 11:1.377664 12:-2.5741327 13:4.0291567 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:276.7564 2:21.764366 3:3.7292755 4:-4.2081766 5:9.574906 6:-2.151967 7:8.090381 8:-0.8994793 9:10.653118 10:-6.2582383 11:1.2785921 12:-2.452161 13:4.4130855 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:276.71802 2:22.721102 3:4.8619986 4:-5.1164484 5:9.501802 6:-2.396506 7:7.4152093 8:-0.66906 9:10.481596 10:-6.253863 11:1.5342166 12:-2.1665804 13:5.4502554 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:283.26053 2:25.922195 3:7.5760937 4:-4.0903964 5:8.349783 6:-5.6101027 7:3.9651265 8:-3.111496 9:8.236874 10:-5.215959 11:3.468457 12:-2.3631747 13:6.2369833 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:289.33972 2:27.881123 3:8.832 4:-3.8892162 5:5.6336784 6:-7.7509613 7:5.623552 8:-5.1994834 9:7.399808 10:-4.7823906 11:3.6298242 12:-3.6303172 13:5.395385 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:299.8644 2:30.432621 3:4.0282817 4:-5.696251 5:2.8082232 6:-12.082876 7:6.0618496 8:-4.7221193 9:8.866351 10:-5.5551176 11:5.380983 12:-5.1928487 13:4.014974 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:308.33044 2:28.806173 3:2.627548 4:-6.7263656 5:2.1740453 6:-12.767423 7:6.102258 8:-3.4095578 9:8.099125 10:-5.876581 11:6.0539846 12:-4.9866114 13:4.2037125 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
