2 1:107.725494 2:2.184904 3:1.6455461 4:-3.643808 5:-0.026362823 6:-6.092887 7:3.323669 8:-2.420259 9:3.9185424 10:-2.79845 11:-0.2688371 12:-4.317314 13:3.3106217 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:105.264046 2:-2.2342296 3:6.3349295 4:-2.055879 5:4.0958023 6:-2.684083 7:2.1611826 8:-1.3376598 9:4.8285327 10:-1.8074145 11:3.130994 12:-1.0030284 13:1.6215931 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:105.264046 2:-2.2342296 3:6.3349295 4:-2.055879 5:4.0958023 6:-2.684083 7:2.1611826 8:-1.3376598 9:4.8285327 10:-1.8074145 11:3.130994 12:-1.0030284 13:1.6215931 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:103.40544 2:-5.0057898 3:3.9495642 4:-4.4487877 5:2.7369385 6:-1.2945595 7:0.6480194 8:-2.7332366 9:1.5915345 10:-0.24820948 11:5.2896404 12:-1.93529 13:2.7016885 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:103.40544 2:-5.0057898 3:3.9495642 4:-4.4487877 5:2.7369385 6:-1.2945595 7:0.6480194 8:-2.7332366 9:1.5915345 10:-0.24820948 11:5.2896404 12:-1.93529 13:2.7016885 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:106.19019 2:-0.09940057 3:4.9408827 4:-5.2974925 5:4.2514243 6:-0.51300985 7:3.5768127 8:-1.9076788 9:-0.17208833 10:0.71220726 11:2.92853 12:-3.8357506 13:2.3866415 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:106.19019 2:-0.09940057 3:4.9408827 4:-5.2974925 5:4.2514243 6:-0.51300985 7:3.5768127 8:-1.9076788 9:-0.17208833 10:0.71220726 11:2.92853 12:-3.8357506 13:2.3866415 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:104.47124 2:0.88839185 3:5.225368 4:-5.3400335 5:3.9443738 6:0.41724423 7:-0.0144943055 8:-5.626029 9:5.5096774 10:-1.8962735 11:1.4180892 12:-2.739457 13:4.1563115 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:104.47124 2:0.88839185 3:5.225368 4:-5.3400335 5:3.9443738 6:0.41724423 7:-0.0144943055 8:-5.626029 9:5.5096774 10:-1.8962735 11:1.4180892 12:-2.739457 13:4.1563115 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:105.72113 2:-0.5687466 3:3.0664263 4:-4.1930456 5:1.6956943 6:-5.8103414 7:0.98491526 8:-1.8670219 9:2.8419075 10:-1.3231984 11:3.152624 12:0.83774924 13:3.5379922 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
