2 1:207.46008 2:-20.290134 3:5.087458 4:-3.275571 5:13.15698 6:-2.8803406 7:-9.847043 8:2.867176 9:-2.0077255 10:-1.888394 11:-2.1177478 12:0.31729186 13:2.566909 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:195.73018 2:-9.900246 3:3.06327 4:-4.795267 5:11.210322 6:-0.29807264 7:-8.160961 8:-1.4198637 9:-1.0552945 10:-2.3330755 11:0.6369212 12:2.5714333 13:4.692401 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:195.73018 2:-9.900246 3:3.06327 4:-4.795267 5:11.210322 6:-0.29807264 7:-8.160961 8:-1.4198637 9:-1.0552945 10:-2.3330755 11:0.6369212 12:2.5714333 13:4.692401 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:197.56134 2:-11.994543 3:-1.1989208 4:0.2834228 5:7.697684 6:-1.0999641 7:-5.8323646 8:-0.20295931 9:0.81131315 10:-0.31346527 11:3.96258 12:0.3270713 13:5.378782 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:197.56134 2:-11.994543 3:-1.1989208 4:0.2834228 5:7.697684 6:-1.0999641 7:-5.8323646 8:-0.20295931 9:0.81131315 10:-0.31346527 11:3.96258 12:0.3270713 13:5.378782 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:206.01408 2:-17.851538 3:-5.4399652 4:-2.7919657 5:7.999392 6:2.112629 7:-4.844068 8:3.133221 9:0.78881365 10:-0.49081522 11:3.939494 12:0.13692589 13:5.658572 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:206.01408 2:-17.851538 3:-5.4399652 4:-2.7919657 5:7.999392 6:2.112629 7:-4.844068 8:3.133221 9:0.78881365 10:-0.49081522 11:3.939494 12:0.13692589 13:5.658572 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:205.05632 2:-13.119242 3:-10.0123 4:-4.739076 5:6.731275 6:-1.3350883 7:-4.3268156 8:2.2167933 9:-0.99027085 10:-3.2594512 11:0.84571785 12:-4.2682934 13:3.762006 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:205.05632 2:-13.119242 3:-10.0123 4:-4.739076 5:6.731275 6:-1.3350883 7:-4.3268156 8:2.2167933 9:-0.99027085 10:-3.2594512 11:0.84571785 12:-4.2682934 13:3.762006 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:221.64449 2:-5.3733435 3:5.9606104 4:0.34776905 5:0.8672557 6:-3.2588115 7:0.38353536 8:1.8836511 9:-6.4431963 10:-2.7322464 11:0.9731727 12:-2.391186 13:5.1227894 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:221.64449 2:-5.3733435 3:5.9606104 4:0.34776905 5:0.8672557 6:-3.2588115 7:0.38353536 8:1.8836511 9:-6.4431963 10:-2.7322464 11:0.9731727 12:-2.391186 13:5.1227894 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
