2 1:163.38843 2:-1.4056268 3:4.096658 4:0.4171163 5:2.405171 6:-2.311195 7:4.3669066 8:-0.88999826 9:1.8747627 10:-1.723748 11:1.927357 12:-4.8641324 13:1.6030363 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:163.38843 2:-1.4056268 3:4.096658 4:0.4171163 5:2.405171 6:-2.311195 7:4.3669066 8:-0.88999826 9:1.8747627 10:-1.723748 11:1.927357 12:-4.8641324 13:1.6030363 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:164.4324 2:1.5310516 3:4.8268857 4:-2.8013687 5:3.112795 6:1.0411866 7:2.9721003 8:-2.788646 9:4.6132083 10:-2.2718515 11:2.53736 12:-2.5464008 13:2.505818 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:164.4324 2:1.5310516 3:4.8268857 4:-2.8013687 5:3.112795 6:1.0411866 7:2.9721003 8:-2.788646 9:4.6132083 10:-2.2718515 11:2.53736 12:-2.5464008 13:2.505818 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:160.18379 2:0.1982722 3:6.154738 4:-4.4279385 5:4.145806 6:-1.4059284 7:3.1505554 8:0.21068072 9:1.5689087 10:-5.097572 11:0.94239783 12:0.1744934 13:3.68641 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:160.18379 2:0.1982722 3:6.154738 4:-4.4279385 5:4.145806 6:-1.4059284 7:3.1505554 8:0.21068072 9:1.5689087 10:-5.097572 11:0.94239783 12:0.1744934 13:3.68641 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:160.77905 2:0.37645212 3:6.0404634 4:0.4671137 5:7.700056 6:3.884616 7:3.0958185 8:-3.4921856 9:4.8288617 10:-2.0961628 11:1.2269138 12:-2.0473506 13:2.812015 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:160.77905 2:0.37645212 3:6.0404634 4:0.4671137 5:7.700056 6:3.884616 7:3.0958185 8:-3.4921856 9:4.8288617 10:-2.0961628 11:1.2269138 12:-2.0473506 13:2.812015 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.70613 2:3.9490228 3:6.41288 4:1.1871287 5:2.2920568 6:-2.866987 7:3.2496314 8:-0.6560838 9:3.0691955 10:-0.11167539 11:4.038609 12:-2.1125498 13:3.3230147 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.70613 2:3.9490228 3:6.41288 4:1.1871287 5:2.2920568 6:-2.866987 7:3.2496314 8:-0.6560838 9:3.0691955 10:-0.11167539 11:4.038609 12:-2.1125498 13:3.3230147 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
