2 1:201.84247 2:9.057133 3:11.328054 4:-0.6203708 5:0.11920464 6:-0.9790391 7:3.6147609 8:-5.9025006 9:2.5493612 10:-2.5748541 11:1.8792608 12:-4.624032 13:2.0122278 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:201.84247 2:9.057133 3:11.328054 4:-0.6203708 5:0.11920464 6:-0.9790391 7:3.6147609 8:-5.9025006 9:2.5493612 10:-2.5748541 11:1.8792608 12:-4.624032 13:2.0122278 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:198.88101 2:6.270455 3:6.0081663 4:-2.3673887 5:1.7187648 6:-0.18785353 7:3.9317117 8:-2.230087 9:5.909906 10:-0.13364577 11:2.3930917 12:-2.214575 13:1.1253543 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:198.88101 2:6.270455 3:6.0081663 4:-2.3673887 5:1.7187648 6:-0.18785353 7:3.9317117 8:-2.230087 9:5.909906 10:-0.13364577 11:2.3930917 12:-2.214575 13:1.1253543 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.35126 2:9.53443 3:4.767455 4:1.036008 5:7.3006077 6:-2.433712 7:3.631208 8:-2.2403412 9:1.9496655 10:-5.6000824 11:2.328975 12:-1.4484376 13:2.942153 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.35126 2:9.53443 3:4.767455 4:1.036008 5:7.3006077 6:-2.433712 7:3.631208 8:-2.2403412 9:1.9496655 10:-5.6000824 11:2.328975 12:-1.4484376 13:2.942153 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:213.55461 2:7.4020553 3:6.648493 4:-2.6399462 5:2.7883584 6:-3.5188303 7:0.14143993 8:-1.3625529 9:5.771422 10:-4.2908072 11:1.9029441 12:-4.302113 13:4.3394914 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:213.55461 2:7.4020553 3:6.648493 4:-2.6399462 5:2.7883584 6:-3.5188303 7:0.14143993 8:-1.3625529 9:5.771422 10:-4.2908072 11:1.9029441 12:-4.302113 13:4.3394914 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.64932 2:6.024604 3:6.031852 4:-0.23017743 5:4.8402634 6:-3.532164 7:-1.1933525 8:-5.199691 9:1.0934044 10:-5.5077877 11:2.9827812 12:-2.6009047 13:3.7421775 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:204.64932 2:6.024604 3:6.031852 4:-0.23017743 5:4.8402634 6:-3.532164 7:-1.1933525 8:-5.199691 9:1.0934044 10:-5.5077877 11:2.9827812 12:-2.6009047 13:3.7421775 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
